office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,82,Steven F. Gorman,Democratic,county,Harrison,956
State Representative,82,Steven F. Gorman,Democratic,county,Pottawattamie,1248
State Representative,82,Paul A. Wilderdyke,Republican,county,Harrison,1202
State Representative,82,Paul A. Wilderdyke,Republican,county,Pottawattamie,1202
State Representative,82,Write-In,,county,Harrison,5
State Representative,82,Write-In,,county,Pottawattamie,2
