office,district,candidate,party,reporting_level,jurisdiction,votes
State Senate,43,Hubert Houser,Republican,county,Cass,1083
State Senate,43,Hubert Houser,Republican,county,Fremont,673
State Senate,43,Hubert Houser,Republican,county,Mills,1064
State Senate,43,Hubert Houser,Republican,county,Montgomery,665
State Senate,43,Hubert Houser,Republican,county,Pottawattamie,659
State Senate,43,John J. O'Brien,Democratic,county,Cass,677
State Senate,43,John J. O'Brien,Democratic,county,Fremont,333
State Senate,43,John J. O'Brien,Democratic,county,Mills,347
State Senate,43,John J. O'Brien,Democratic,county,Montgomery,164
State Senate,43,John J. O'Brien,Democratic,county,Pottawattamie,109
State Senate,43,Write-In,,county,Cass,0
State Senate,43,Write-In,,county,Fremont,0
State Senate,43,Write-In,,county,Mills,1
State Senate,43,Write-In,,county,Montgomery,4
State Senate,43,Write-In,,county,Pottawattamie,0
