office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,01,David Alan Dawson,,county,Woodbury,4013
State Representative,01,Jeremy Taylor,,county,Woodbury,4645
State Representative,01,Write-in,,county,Woodbury,5
State Representative,01,Over Votes,,county,Woodbury,2
State Representative,01,Under Votes,,county,Woodbury,176
State Representative,01,Total,,county,Woodbury,8841
State Representative,01,David Alan Dawson,,county,Grand Total,4013
State Representative,01,Jeremy Taylor,,county,Grand Total,4645
State Representative,01,Write-in,,county,Grand Total,5
State Representative,01,Over Votes,,county,Grand Total,2
State Representative,01,Under Votes,,county,Grand Total,176
State Representative,01,Total,,county,Grand Total,8841
State Representative,02,Chris Hall,,county,Woodbury,3438
State Representative,02,Cate Bryan,,county,Woodbury,2880
State Representative,02,Write-in,,county,Woodbury,10
State Representative,02,Over Votes,,county,Woodbury,2
State Representative,02,Under Votes,,county,Woodbury,158
State Representative,02,Total,,county,Woodbury,6488
State Representative,02,Chris Hall,,county,Grand Totals,3438
State Representative,02,Cate Bryan,,county,Grand Totals,2880
State Representative,02,Write-in,,county,Grand Totals,10
State Representative,02,Over Votes,,county,Grand Totals,2
State Representative,02,Under Votes,,county,Grand Totals,158
State Representative,02,Total,,county,Grand Totals,6488
State Representative,03,Chuck Soderberg,,county,Plymouth,5184
State Representative,03,Write-in,,county,Plymouth,26
State Representative,03,Over Votes,,county,Plymouth,0
State Representative,03,Under Votes,,county,Plymouth,935
State Representative,03,Total,,county,Plymouth,6145
State Representative,03,Chuck Soderberg,,county,Sioux,3868
State Representative,03,Write-in,,county,Sioux,17
State Representative,03,Over Votes,,county,Sioux,0
State Representative,03,Under Votes,,county,Sioux,558
State Representative,03,Total,,county,Sioux,4443
State Representative,03,Chuck Soderberg,,county,Grand Totals,9052
State Representative,03,Write-in,,county,Grand Totals,43
State Representative,03,Over Votes,,county,Grand Totals,0
State Representative,03,Under Votes,,county,Grand Totals,1493
State Representative,03,Total,,county,Grand Totals,10588
State Representative,04,Dwayne Alons,,county,Lyon,4247
State Representative,04,Write-in,,county,Lyon,14
State Representative,04,Over Votes,,county,Lyon,0
State Representative,04,Under Votes,,county,Lyon,940
State Representative,04,Total,,county,Lyon,5201
State Representative,04,Dwayne Alons,,county,Sioux,7025
State Representative,04,Write-in,,county,Sioux,22
State Representative,04,Over Votes,,county,Sioux,1
State Representative,04,Under Votes,,county,Sioux,409
State Representative,04,Total,,county,Sioux,7457
State Representative,04,Dwayne Alons,,county,Grand Totals,11272
State Representative,04,Write-in,,county,Grand Totals,36
