office,district,candidate,party,reporting_level,jurisdiction,votes
State Senator,18,Cindy Golding,,county,Linn,10322
State Senator,18,Liz Mathis,,county,Linn,13324
State Senator,18,Jon Tack,,county,Linn,151
State Senator,18,Over Votes,,county,Linn,1
State Senator,18,Under Votes,,county,Linn,42
State Senator,18,Scattering,,county,Linn,9
State Senator,18,Total,,county,Linn,23849
State Senator,18,Cindy Golding,,county,Total,10322
State Senator,18,Liz Mathis,,county,Total,13324
State Senator,18,Jon Tack,,county,Total,151
State Senator,18,Over Votes,,county,Total,1
State Senator,18,Under Votes,,county,Total,42
State Senator,18,Scattering,,county,Total,9
State Senator,18,Total,,county,Total,23849
