office,district,candidate,party,reporting_level,jurisdiction,votes
Auditor of State,,Patrick J. Deluhery,Democratic,county,ADAIR,106
Auditor of State,,Write-In Votes,Democratic,county,ADAIR,0
Auditor of State,,Totals,Democratic,county,ADAIR,106
Auditor of State,,Patrick J. Deluhery,Democratic,county,ADAMS,155
Auditor of State,,Write-In Votes,Democratic,county,ADAMS,1
Auditor of State,,Totals,Democratic,county,ADAMS,156
Auditor of State,,Patrick J. Deluhery,Democratic,county,ALLAMAKEE,148
Auditor of State,,Write-In Votes,Democratic,county,ALLAMAKEE,1
Auditor of State,,Totals,Democratic,county,ALLAMAKEE,149
Auditor of State,,Patrick J. Deluhery,Democratic,county,APPANOOSE,269
Auditor of State,,Write-In Votes,Democratic,county,APPANOOSE,0
Auditor of State,,Totals,Democratic,county,APPANOOSE,269
Auditor of State,,Patrick J. Deluhery,Democratic,county,AUDUBON,119
Auditor of State,,Write-In Votes,Democratic,county,AUDUBON,0
Auditor of State,,Totals,Democratic,county,AUDUBON,119
Auditor of State,,Patrick J. Deluhery,Democratic,county,BENTON,498
Auditor of State,,Write-In Votes,Democratic,county,BENTON,1
Auditor of State,,Totals,Democratic,county,BENTON,499
Auditor of State,,Patrick J. Deluhery,Democratic,county,BLACK HAWK,4134
Auditor of State,,Write-In Votes,Democratic,county,BLACK HAWK,18
Auditor of State,,Totals,Democratic,county,BLACK HAWK,4152
Auditor of State,,Patrick J. Deluhery,Democratic,county,BOONE,753
Auditor of State,,Write-In Votes,Democratic,county,BOONE,1
Auditor of State,,Totals,Democratic,county,BOONE,754
Auditor of State,,Patrick J. Deluhery,Democratic,county,BREMER,384
Auditor of State,,Write-In Votes,Democratic,county,BREMER,0
Auditor of State,,Totals,Democratic,county,BREMER,384
Auditor of State,,Patrick J. Deluhery,Democratic,county,BUCHANAN,805
Auditor of State,,Write-In Votes,Democratic,county,BUCHANAN,1
Auditor of State,,Totals,Democratic,county,BUCHANAN,806
