office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Cedar,2495
U.S. House of Representatives,1,Jim Leach,Republican,county,Cedar,5467
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Cedar,195
U.S. House of Representatives,1,Scattering,,county,Cedar,7
U.S. House of Representatives,1,Totals,,county,Cedar,8164
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Clinton,7931
U.S. House of Representatives,1,Jim Leach,Republican,county,Clinton,12292
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Clinton,237
U.S. House of Representatives,1,Scattering,,county,Clinton,6
U.S. House of Representatives,1,Totals,,county,Clinton,20466
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Johnson,21747
U.S. House of Representatives,1,Jim Leach,Republican,county,Johnson,27332
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Johnson,1541
U.S. House of Representatives,1,Scattering,,county,Johnson,45
U.S. House of Representatives,1,Totals,,county,Johnson,50665
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Jones,2988
U.S. House of Representatives,1,Jim Leach,Republican,county,Jones,5642
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Jones,150
U.S. House of Representatives,1,Scattering,,county,Jones,2
U.S. House of Representatives,1,Totals,,county,Jones,8782
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Linn,33183
U.S. House of Representatives,1,Jim Leach,Republican,county,Linn,54451
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Linn,1932
U.S. House of Representatives,1,Scattering,,county,Linn,45
U.S. House of Representatives,1,Totals,,county,Linn,89611
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Louisa,1418
U.S. House of Representatives,1,Jim Leach,Republican,county,Louisa,3069
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Louisa,111
U.S. House of Representatives,1,Scattering,,county,Louisa,3
U.S. House of Representatives,1,Totals,,county,Louisa,4601
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Muscatine,4595
U.S. House of Representatives,1,Jim Leach,Republican,county,Muscatine,10776
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Muscatine,290
U.S. House of Representatives,1,Scattering,,county,Muscatine,6
U.S. House of Representatives,1,Totals,,county,Muscatine,15667
U.S. House of Representatives,1,Bob Simpson,Democratic,county,Scott,21926
U.S. House of Representatives,1,Jim Leach,Republican,county,Scott,45943
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,county,Scott,1108
U.S. House of Representatives,1,Scattering,,county,Scott,57
U.S. House of Representatives,1,Totals,,county,Scott,69034
U.S. House of Representatives,1,Bob Simpson,Democratic,racewide,Totals,96283
U.S. House of Representatives,1,Jim Leach,Republican,racewide,Totals,164972
U.S. House of Representatives,1,Russ Madden,Libertarian Party of Iowa,racewide,Totals,5564
U.S. House of Representatives,1,Scattering,,racewide,Totals,171
U.S. House of Representatives,1,Totals,,racewide,Totals,266990
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Allamakee,2368
U.S. House of Representatives,2,Jim Nussle,Republican,county,Allamakee,3944
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Allamakee,59
U.S. House of Representatives,2,Scattering,,county,Allamakee,0
U.S. House of Representatives,2,Totals,,county,Allamakee,6371
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Benton,4709
U.S. House of Representatives,2,Jim Nussle,Republican,county,Benton,6808
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Benton,113
U.S. House of Representatives,2,Scattering,,county,Benton,0
U.S. House of Representatives,2,Totals,,county,Benton,11630
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Black Hawk,26387
U.S. House of Representatives,2,Jim Nussle,Republican,county,Black Hawk,27270
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Black Hawk,597
U.S. House of Representatives,2,Scattering,,county,Black Hawk,14
U.S. House of Representatives,2,Totals,,county,Black Hawk,54268
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Bremer,4389
U.S. House of Representatives,2,Jim Nussle,Republican,county,Bremer,6469
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Bremer,83
U.S. House of Representatives,2,Scattering,,county,Bremer,2
U.S. House of Representatives,2,Totals,,county,Bremer,10943
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Buchanan,3972
U.S. House of Representatives,2,Jim Nussle,Republican,county,Buchanan,5305
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Buchanan,83
U.S. House of Representatives,2,Scattering,,county,Buchanan,0
U.S. House of Representatives,2,Totals,,county,Buchanan,9360
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Butler,2408
U.S. House of Representatives,2,Jim Nussle,Republican,county,Butler,4112
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Butler,61
U.S. House of Representatives,2,Scattering,,county,Butler,0
U.S. House of Representatives,2,Totals,,county,Butler,6581
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Cerro Gordo,9438
U.S. House of Representatives,2,Jim Nussle,Republican,county,Cerro Gordo,12328
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Cerro Gordo,200
U.S. House of Representatives,2,Scattering,,county,Cerro Gordo,6
U.S. House of Representatives,2,Totals,,county,Cerro Gordo,21972
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Chickasaw,2868
U.S. House of Representatives,2,Jim Nussle,Republican,county,Chickasaw,3620
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Chickasaw,59
U.S. House of Representatives,2,Scattering,,county,Chickasaw,2
U.S. House of Representatives,2,Totals,,county,Chickasaw,6549
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Clayton,3405
U.S. House of Representatives,2,Jim Nussle,Republican,county,Clayton,4715
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Clayton,36
U.S. House of Representatives,2,Scattering,,county,Clayton,0
U.S. House of Representatives,2,Totals,,county,Clayton,8156
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Delaware,3323
U.S. House of Representatives,2,Jim Nussle,Republican,county,Delaware,4657
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Delaware,57
U.S. House of Representatives,2,Scattering,,county,Delaware,0
U.S. House of Representatives,2,Totals,,county,Delaware,8037
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Dubuque,19519
U.S. House of Representatives,2,Jim Nussle,Republican,county,Dubuque,19808
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Dubuque,368
U.S. House of Representatives,2,Scattering,,county,Dubuque,16
U.S. House of Representatives,2,Totals,,county,Dubuque,39711
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Fayette,3591
U.S. House of Representatives,2,Jim Nussle,Republican,county,Fayette,5584
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Fayette,55
U.S. House of Representatives,2,Scattering,,county,Fayette,0
U.S. House of Representatives,2,Totals,,county,Fayette,9230
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Floyd,3101
U.S. House of Representatives,2,Jim Nussle,Republican,county,Floyd,3973
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Floyd,62
U.S. House of Representatives,2,Scattering,,county,Floyd,0
U.S. House of Representatives,2,Totals,,county,Floyd,7136
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Grundy,1776
U.S. House of Representatives,2,Jim Nussle,Republican,county,Grundy,4142
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Grundy,42
U.S. House of Representatives,2,Scattering,,county,Grundy,0
U.S. House of Representatives,2,Totals,,county,Grundy,5960
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Howard,2037
U.S. House of Representatives,2,Jim Nussle,Republican,county,Howard,2338
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Howard,40
U.S. House of Representatives,2,Scattering,,county,Howard,1
U.S. House of Representatives,2,Totals,,county,Howard,4416
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Iowa,2660
U.S. House of Representatives,2,Jim Nussle,Republican,county,Iowa,4608
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Iowa,67
U.S. House of Representatives,2,Scattering,,county,Iowa,0
U.S. House of Representatives,2,Totals,,county,Iowa,7335
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Jackson,3862
U.S. House of Representatives,2,Jim Nussle,Republican,county,Jackson,4452
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Jackson,79
U.S. House of Representatives,2,Scattering,,county,Jackson,0
U.S. House of Representatives,2,Totals,,county,Jackson,8393
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Mitchell,1984
U.S. House of Representatives,2,Jim Nussle,Republican,county,Mitchell,3081
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Mitchell,32
U.S. House of Representatives,2,Scattering,,county,Mitchell,0
U.S. House of Representatives,2,Totals,,county,Mitchell,5097
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Tama,3343
U.S. House of Representatives,2,Jim Nussle,Republican,county,Tama,4776
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Tama,63
U.S. House of Representatives,2,Scattering,,county,Tama,2
U.S. House of Representatives,2,Totals,,county,Tama,8184
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Winneshiek,3638
U.S. House of Representatives,2,Jim Nussle,Republican,county,Winneshiek,5564
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Winneshiek,86
U.S. House of Representatives,2,Scattering,,county,Winneshiek,3
U.S. House of Representatives,2,Totals,,county,Winneshiek,9291
U.S. House of Representatives,2,Donna L. Smith,Democratic,county,Worth,1549
U.S. House of Representatives,2,Jim Nussle,Republican,county,Worth,2352
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,county,Worth,46
U.S. House of Representatives,2,Scattering,,county,Worth,0
U.S. House of Representatives,2,Totals,,county,Worth,3947
U.S. House of Representatives,2,Donna L. Smith,Democratic,racewide,Totals,110327
U.S. House of Representatives,2,Jim Nussle,Republican,racewide,Totals,139906
U.S. House of Representatives,2,Albert W. Schoeman,Libertarian Party of Iowa,racewide,Totals,2288
U.S. House of Representatives,2,Scattering,,racewide,Totals,46
U.S. House of Representatives,2,Totals,,racewide,Totals,252567
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Adams,1561
U.S. House of Representatives,3,Jay Marcus,Republican,county,Adams,523
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Adams,9
U.S. House of Representatives,3,Atkinson,pendence Party,county,Adams,30
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Adams,4
U.S. House of Representatives,3,Scattering,,county,Adams,1
U.S. House of Representatives,3,Totals,,county,Adams,2128
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Appanoose,3397
U.S. House of Representatives,3,Jay Marcus,Republican,county,Appanoose,1854
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Appanoose,26
U.S. House of Representatives,3,Atkinson,pendence Party,county,Appanoose,98
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Appanoose,12
U.S. House of Representatives,3,Scattering,,county,Appanoose,0
U.S. House of Representatives,3,Totals,,county,Appanoose,5387
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Clarke,2917
U.S. House of Representatives,3,Jay Marcus,Republican,county,Clarke,1098
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Clarke,8
U.S. House of Representatives,3,Atkinson,pendence Party,county,Clarke,100
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Clarke,8
U.S. House of Representatives,3,Scattering,,county,Clarke,2
U.S. House of Representatives,3,Totals,,county,Clarke,4133
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Davis,2448
U.S. House of Representatives,3,Jay Marcus,Republican,county,Davis,1145
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Davis,16
U.S. House of Representatives,3,Atkinson,pendence Party,county,Davis,56
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Davis,16
U.S. House of Representatives,3,Scattering,,county,Davis,1
U.S. House of Representatives,3,Totals,,county,Davis,3682
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Decatur,2732
U.S. House of Representatives,3,Jay Marcus,Republican,county,Decatur,881
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Decatur,17
U.S. House of Representatives,3,Atkinson,pendence Party,county,Decatur,55
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Decatur,1
U.S. House of Representatives,3,Scattering,,county,Decatur,0
U.S. House of Representatives,3,Totals,,county,Decatur,3686
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Des Moines,12865
U.S. House of Representatives,3,Jay Marcus,Republican,county,Des Moines,5211
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Des Moines,145
U.S. House of Representatives,3,Atkinson,pendence Party,county,Des Moines,492
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Des Moines,46
U.S. House of Representatives,3,Scattering,,county,Des Moines,9
U.S. House of Representatives,3,Totals,,county,Des Moines,18768
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Henry,4836
U.S. House of Representatives,3,Jay Marcus,Republican,county,Henry,3052
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Henry,101
U.S. House of Representatives,3,Atkinson,pendence Party,county,Henry,263
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Henry,38
U.S. House of Representatives,3,Scattering,,county,Henry,4
U.S. House of Representatives,3,Totals,,county,Henry,8294
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Jasper,11364
U.S. House of Representatives,3,Jay Marcus,Republican,county,Jasper,5807
U.S. House of Representatives,3,Joe Seehusen        Sue,Libertarian Party Ind of Iowa,county,Jasper,118
U.S. House of Representatives,3,Atkinson,pendence Party,county,Jasper,400
U.S. House of Representatives,3,Jim Hennager,Earth Federation,county,Jasper,57
U.S. House of Representatives,3,Scattering,,county,Jasper,5
U.S. House of Representatives,3,Totals,,county,Jasper,17751
U.S. House of Representatives,3,Leonard L. Boswell,Democratic,county,Jefferson,3632
U.S. House of Representatives,3,Jay Marcus,Republican,county,Jefferson,3261
