office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,52,Dennis Litterer,Republican,county,Cerro Gordo,111
State Representative,52,Todd Prichard,Democratic,county,Cerro Gordo,129
State Representative,52,Craig Clark,Nominated by Petition,county,Cerro Gordo,3
State Representative,52,Write-In,,county,Cerro Gordo,0
State Representative,52,Under Votes,,county,Cerro Gordo,0
State Representative,52,Over Votes,,county,Cerro Gordo,0
State Representative,52,Total,,county,Cerro Gordo,243
State Representative,52,Dennis Litterer,Republican,county,Chickasaw,1225
State Representative,52,Todd Prichard,Democratic,county,Chickasaw,1255
State Representative,52,Craig Clark,Nominated by Petition,county,Chickasaw,42
State Representative,52,Write-In,,county,Chickasaw,3
State Representative,52,Under Votes,,county,Chickasaw,0
State Representative,52,Over Votes,,county,Chickasaw,2
State Representative,52,Total,,county,Chickasaw,2527
State Representative,52,Dennis Litterer,Republican,county,Floyd,1062
State Representative,52,Todd Prichard,Democratic,county,Floyd,1590
State Representative,52,Craig Clark,Nominated by Petition,county,Floyd,39
State Representative,52,Write-In,,county,Floyd,2
State Representative,52,Under Votes,,county,Floyd,1
State Representative,52,Over Votes,,county,Floyd,0
State Representative,52,Total,,county,Floyd,2694
State Representative,52,Dennis Litterer,Republican,county,Total,2398
State Representative,52,Todd Prichard,Democratic,county,Total,2974
State Representative,52,Craig Clark,Nominated by Petition,county,Total,84
State Representative,52,Write-In,,county,Total,5
State Representative,52,Under Votes,,county,Total,1
State Representative,52,Over Votes,,county,Total,2
State Representative,52,Total,,county,Total,5464
