office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. Senator,,Roxanne Conlin,,county,Adair,778
U.S. Senator,,Chuck Grassley,,county,Adair,2220
U.S. Senator,,John Heiderscheit,,county,Adair,60
U.S. Senator,,Write-in,,county,Adair,3
U.S. Senator,,Over Votes,,county,Adair,0
U.S. Senator,,Under Votes,,county,Adair,61
U.S. Senator,,Total,,county,Adair,3122
U.S. Senator,,Roxanne Conlin,,county,Adams,442
U.S. Senator,,Chuck Grassley,,county,Adams,1234
U.S. Senator,,John Heiderscheit,,county,Adams,49
U.S. Senator,,Write-in,,county,Adams,2
U.S. Senator,,Over Votes,,county,Adams,0
U.S. Senator,,Under Votes,,county,Adams,53
U.S. Senator,,Total,,county,Adams,1780
U.S. Senator,,Roxanne Conlin,,county,Allamakee,1416
U.S. Senator,,Chuck Grassley,,county,Allamakee,3584
U.S. Senator,,John Heiderscheit,,county,Allamakee,259
U.S. Senator,,Write-in,,county,Allamakee,1
U.S. Senator,,Over Votes,,county,Allamakee,0
U.S. Senator,,Under Votes,,county,Allamakee,147
U.S. Senator,,Total,,county,Allamakee,5407
U.S. Senator,,Roxanne Conlin,,county,Appanoose,1398
U.S. Senator,,Chuck Grassley,,county,Appanoose,3050
U.S. Senator,,John Heiderscheit,,county,Appanoose,144
U.S. Senator,,Write-in,,county,Appanoose,5
U.S. Senator,,Over Votes,,county,Appanoose,0
U.S. Senator,,Under Votes,,county,Appanoose,65
U.S. Senator,,Total,,county,Appanoose,4662
U.S. Senator,,Roxanne Conlin,,county,Audubon,747
U.S. Senator,,Chuck Grassley,,county,Audubon,1908
U.S. Senator,,John Heiderscheit,,county,Audubon,59
U.S. Senator,,Write-in,,county,Audubon,0
U.S. Senator,,Over Votes,,county,Audubon,0
U.S. Senator,,Under Votes,,county,Audubon,84
U.S. Senator,,Total,,county,Audubon,2798
U.S. Senator,,Roxanne Conlin,,county,Benton,2796
U.S. Senator,,Chuck Grassley,,county,Benton,6936
U.S. Senator,,John Heiderscheit,,county,Benton,248
U.S. Senator,,Write-in,,county,Benton,1
U.S. Senator,,Over Votes,,county,Benton,1
U.S. Senator,,Under Votes,,county,Benton,109
U.S. Senator,,Total,,county,Benton,10091
U.S. Senator,,Roxanne Conlin,,county,Black Hawk,17114
U.S. Senator,,Chuck Grassley,,county,Black Hawk,27099
U.S. Senator,,John Heiderscheit,,county,Black Hawk,771
U.S. Senator,,Write-in,,county,Black Hawk,29
U.S. Senator,,Over Votes,,county,Black Hawk,11
U.S. Senator,,Under Votes,,county,Black Hawk,637
U.S. Senator,,Total,,county,Black Hawk,45661
U.S. Senator,,Roxanne Conlin,,county,Boone,3457
U.S. Senator,,Chuck Grassley,,county,Boone,7014
U.S. Senator,,John Heiderscheit,,county,Boone,244
U.S. Senator,,Write-in,,county,Boone,5
U.S. Senator,,Over Votes,,county,Boone,6
U.S. Senator,,Under Votes,,county,Boone,164
U.S. Senator,,Total,,county,Boone,10890
U.S. Senator,,Roxanne Conlin,,county,Bremer,2815
U.S. Senator,,Chuck Grassley,,county,Bremer,6811
U.S. Senator,,John Heiderscheit,,county,Bremer,188
U.S. Senator,,Write-in,,county,Bremer,8
U.S. Senator,,Over Votes,,county,Bremer,1
U.S. Senator,,Under Votes,,county,Bremer,93
U.S. Senator,,Total,,county,Bremer,9916
U.S. Senator,,Roxanne Conlin,,county,Buchanan,2446
U.S. Senator,,Chuck Grassley,,county,Buchanan,5291
U.S. Senator,,John Heiderscheit,,county,Buchanan,150
U.S. Senator,,Write-in,,county,Buchanan,3
U.S. Senator,,Over Votes,,county,Buchanan,2
U.S. Senator,,Under Votes,,county,Buchanan,119
U.S. Senator,,Total,,county,Buchanan,8011
U.S. Senator,,Roxanne Conlin,,county,Buena Vista,1239
U.S. Senator,,Chuck Grassley,,county,Buena Vista,4237
U.S. Senator,,John Heiderscheit,,county,Buena Vista,110
U.S. Senator,,Write-in,,county,Buena Vista,4
U.S. Senator,,Over Votes,,county,Buena Vista,2
U.S. Senator,,Under Votes,,county,Buena Vista,77
U.S. Senator,,Total,,county,Buena Vista,5669
U.S. Senator,,Roxanne Conlin,,county,Butler,1258
U.S. Senator,,Chuck Grassley,,county,Butler,4339
U.S. Senator,,John Heiderscheit,,county,Butler,106
U.S. Senator,,Write-in,,county,Butler,1
U.S. Senator,,Over Votes,,county,Butler,0
U.S. Senator,,Under Votes,,county,Butler,44
U.S. Senator,,Total,,county,Butler,5748
U.S. Senator,,Roxanne Conlin,,county,Calhoun,964
U.S. Senator,,Chuck Grassley,,county,Calhoun,2971
U.S. Senator,,John Heiderscheit,,county,Calhoun,65
U.S. Senator,,Write-in,,county,Calhoun,6
U.S. Senator,,Over Votes,,county,Calhoun,1
U.S. Senator,,Under Votes,,county,Calhoun,66
U.S. Senator,,Total,,county,Calhoun,4073
U.S. Senator,,Roxanne Conlin,,county,Carroll,2312
U.S. Senator,,Chuck Grassley,,county,Carroll,5731
U.S. Senator,,John Heiderscheit,,county,Carroll,157
U.S. Senator,,Write-in,,county,Carroll,10
U.S. Senator,,Over Votes,,county,Carroll,1
U.S. Senator,,Under Votes,,county,Carroll,232
U.S. Senator,,Total,,county,Carroll,8443
U.S. Senator,,Roxanne Conlin,,county,Cass,1154
U.S. Senator,,Chuck Grassley,,county,Cass,3930
U.S. Senator,,John Heiderscheit,,county,Cass,107
U.S. Senator,,Write-in,,county,Cass,5
U.S. Senator,,Over Votes,,county,Cass,0
U.S. Senator,,Under Votes,,county,Cass,98
U.S. Senator,,Total,,county,Cass,5294
U.S. Senator,,Roxanne Conlin,,county,Cedar,2148
U.S. Senator,,Chuck Grassley,,county,Cedar,4660
U.S. Senator,,John Heiderscheit,,county,Cedar,206
U.S. Senator,,Write-in,,county,Cedar,3
U.S. Senator,,Over Votes,,county,Cedar,0
U.S. Senator,,Under Votes,,county,Cedar,127
U.S. Senator,,Total,,county,Cedar,7144
U.S. Senator,,Roxanne Conlin,,county,Cerro Gordo,6440
U.S. Senator,,Chuck Grassley,,county,Cerro Gordo,10421
U.S. Senator,,John Heiderscheit,,county,Cerro Gordo,360
U.S. Senator,,Write-in,,county,Cerro Gordo,6
U.S. Senator,,Over Votes,,county,Cerro Gordo,7
U.S. Senator,,Under Votes,,county,Cerro Gordo,258
U.S. Senator,,Total,,county,Cerro Gordo,17492
U.S. Senator,,Roxanne Conlin,,county,Cherokee,1001
U.S. Senator,,Chuck Grassley,,county,Cherokee,3632
U.S. Senator,,John Heiderscheit,,county,Cherokee,89
U.S. Senator,,Write-in,,county,Cherokee,2
U.S. Senator,,Over Votes,,county,Cherokee,1
U.S. Senator,,Under Votes,,county,Cherokee,61
U.S. Senator,,Total,,county,Cherokee,4786
U.S. Senator,,Roxanne Conlin,,county,Chickasaw,1508
U.S. Senator,,Chuck Grassley,,county,Chickasaw,3331
U.S. Senator,,John Heiderscheit,,county,Chickasaw,99
U.S. Senator,,Write-in,,county,Chickasaw,1
U.S. Senator,,Over Votes,,county,Chickasaw,0
U.S. Senator,,Under Votes,,county,Chickasaw,83
U.S. Senator,,Total,,county,Chickasaw,5022
U.S. Senator,,Roxanne Conlin,,county,Clarke,1041
U.S. Senator,,Chuck Grassley,,county,Clarke,2551
U.S. Senator,,John Heiderscheit,,county,Clarke,98
U.S. Senator,,Write-in,,county,Clarke,3
U.S. Senator,,Over Votes,,county,Clarke,2
U.S. Senator,,Under Votes,,county,Clarke,85
U.S. Senator,,Total,,county,Clarke,3780
U.S. Senator,,Roxanne Conlin,,county,Clay,1369
U.S. Senator,,Chuck Grassley,,county,Clay,4254
U.S. Senator,,John Heiderscheit,,county,Clay,146
U.S. Senator,,Write-in,,county,Clay,2
U.S. Senator,,Over Votes,,county,Clay,2
U.S. Senator,,Under Votes,,county,Clay,65
U.S. Senator,,Total,,county,Clay,5838
U.S. Senator,,Roxanne Conlin,,county,Clayton,2106
U.S. Senator,,Chuck Grassley,,county,Clayton,4632
U.S. Senator,,John Heiderscheit,,county,Clayton,211
U.S. Senator,,Write-in,,county,Clayton,2
U.S. Senator,,Over Votes,,county,Clayton,0
U.S. Senator,,Under Votes,,county,Clayton,114
U.S. Senator,,Total,,county,Clayton,7065
U.S. Senator,,Roxanne Conlin,,county,Clinton,6600
U.S. Senator,,Chuck Grassley,,county,Clinton,10189
U.S. Senator,,John Heiderscheit,,county,Clinton,409
U.S. Senator,,Write-in,,county,Clinton,10
U.S. Senator,,Over Votes,,county,Clinton,6
U.S. Senator,,Under Votes,,county,Clinton,210
U.S. Senator,,Total,,county,Clinton,17424
U.S. Senator,,Roxanne Conlin,,county,Crawford,1201
U.S. Senator,,Chuck Grassley,,county,Crawford,3749
U.S. Senator,,John Heiderscheit,,county,Crawford,126
U.S. Senator,,Write-in,,county,Crawford,2
U.S. Senator,,Over Votes,,county,Crawford,3
U.S. Senator,,Under Votes,,county,Crawford,182
U.S. Senator,,Total,,county,Crawford,5263
U.S. Senator,,Roxanne Conlin,,county,Dallas,6736
U.S. Senator,,Chuck Grassley,,county,Dallas,18126
U.S. Senator,,John Heiderscheit,,county,Dallas,582
U.S. Senator,,Write-in,,county,Dallas,29
U.S. Senator,,Over Votes,,county,Dallas,5
U.S. Senator,,Under Votes,,county,Dallas,251
U.S. Senator,,Total,,county,Dallas,25729
U.S. Senator,,Roxanne Conlin,,county,Davis,907
U.S. Senator,,Chuck Grassley,,county,Davis,2042
U.S. Senator,,John Heiderscheit,,county,Davis,125
U.S. Senator,,Write-in,,county,Davis,5
U.S. Senator,,Over Votes,,county,Davis,2
U.S. Senator,,Under Votes,,county,Davis,68
U.S. Senator,,Total,,county,Davis,3149
U.S. Senator,,Roxanne Conlin,,county,Decatur,846
U.S. Senator,,Chuck Grassley,,county,Decatur,1937
U.S. Senator,,John Heiderscheit,,county,Decatur,90
U.S. Senator,,Write-in,,county,Decatur,2
U.S. Senator,,Over Votes,,county,Decatur,1
U.S. Senator,,Under Votes,,county,Decatur,83
U.S. Senator,,Total,,county,Decatur,2959
U.S. Senator,,Roxanne Conlin,,county,Delaware,1734
U.S. Senator,,Chuck Grassley,,county,Delaware,5048
U.S. Senator,,John Heiderscheit,,county,Delaware,180
U.S. Senator,,Write-in,,county,Delaware,5
U.S. Senator,,Over Votes,,county,Delaware,5
U.S. Senator,,Under Votes,,county,Delaware,68
U.S. Senator,,Total,,county,Delaware,7040
U.S. Senator,,Roxanne Conlin,,county,Des Moines,6365
U.S. Senator,,Chuck Grassley,,county,Des Moines,8083
U.S. Senator,,John Heiderscheit,,county,Des Moines,399
U.S. Senator,,Write-in,,county,Des Moines,11
U.S. Senator,,Over Votes,,county,Des Moines,5
U.S. Senator,,Under Votes,,county,Des Moines,222
U.S. Senator,,Total,,county,Des Moines,15085
U.S. Senator,,Roxanne Conlin,,county,Dickinson,1887
U.S. Senator,,Chuck Grassley,,county,Dickinson,5191
U.S. Senator,,John Heiderscheit,,county,Dickinson,143
U.S. Senator,,Write-in,,county,Dickinson,3
U.S. Senator,,Over Votes,,county,Dickinson,0
U.S. Senator,,Under Votes,,county,Dickinson,107
U.S. Senator,,Total,,county,Dickinson,7331
U.S. Senator,,Roxanne Conlin,,county,Dubuque,12941
U.S. Senator,,Chuck Grassley,,county,Dubuque,19634
U.S. Senator,,John Heiderscheit,,county,Dubuque,880
U.S. Senator,,Write-in,,county,Dubuque,15
U.S. Senator,,Over Votes,,county,Dubuque,7
U.S. Senator,,Under Votes,,county,Dubuque,754
U.S. Senator,,Total,,county,Dubuque,34231
U.S. Senator,,Roxanne Conlin,,county,Emmet,1050
U.S. Senator,,Chuck Grassley,,county,Emmet,2419
U.S. Senator,,John Heiderscheit,,county,Emmet,67
U.S. Senator,,Write-in,,county,Emmet,2
U.S. Senator,,Over Votes,,county,Emmet,0
U.S. Senator,,Under Votes,,county,Emmet,94
U.S. Senator,,Total,,county,Emmet,3632
U.S. Senator,,Roxanne Conlin,,county,Fayette,2466
U.S. Senator,,Chuck Grassley,,county,Fayette,5265
U.S. Senator,,John Heiderscheit,,county,Fayette,156
U.S. Senator,,Write-in,,county,Fayette,6
U.S. Senator,,Over Votes,,county,Fayette,3
U.S. Senator,,Under Votes,,county,Fayette,88
U.S. Senator,,Total,,county,Fayette,7984
U.S. Senator,,Roxanne Conlin,,county,Floyd,2126
U.S. Senator,,Chuck Grassley,,county,Floyd,3793
U.S. Senator,,John Heiderscheit,,county,Floyd,140
U.S. Senator,,Write-in,,county,Floyd,0
U.S. Senator,,Over Votes,,county,Floyd,0
U.S. Senator,,Under Votes,,county,Floyd,88
U.S. Senator,,Total,,county,Floyd,6147
U.S. Senator,,Roxanne Conlin,,county,Franklin,891
U.S. Senator,,Chuck Grassley,,county,Franklin,2859
U.S. Senator,,John Heiderscheit,,county,Franklin,82
U.S. Senator,,Write-in,,county,Franklin,1
U.S. Senator,,Over Votes,,county,Franklin,0
U.S. Senator,,Under Votes,,county,Franklin,45
U.S. Senator,,Total,,county,Franklin,3878
U.S. Senator,,Roxanne Conlin,,county,Fremont,595
U.S. Senator,,Chuck Grassley,,county,Fremont,1949
U.S. Senator,,John Heiderscheit,,county,Fremont,77
U.S. Senator,,Write-in,,county,Fremont,0
U.S. Senator,,Over Votes,,county,Fremont,1
U.S. Senator,,Under Votes,,county,Fremont,93
U.S. Senator,,Total,,county,Fremont,2715
U.S. Senator,,Roxanne Conlin,,county,Greene,1073
U.S. Senator,,Chuck Grassley,,county,Greene,2610
U.S. Senator,,John Heiderscheit,,county,Greene,88
U.S. Senator,,Write-in,,county,Greene,2
U.S. Senator,,Over Votes,,county,Greene,2
U.S. Senator,,Under Votes,,county,Greene,66
U.S. Senator,,Total,,county,Greene,3841
U.S. Senator,,Roxanne Conlin,,county,Grundy,990
U.S. Senator,,Chuck Grassley,,county,Grundy,4191
U.S. Senator,,John Heiderscheit,,county,Grundy,97
U.S. Senator,,Write-in,,county,Grundy,11
U.S. Senator,,Over Votes,,county,Grundy,0
U.S. Senator,,Under Votes,,county,Grundy,41
U.S. Senator,,Total,,county,Grundy,5330
U.S. Senator,,Roxanne Conlin,,county,Guthrie,1238
U.S. Senator,,Chuck Grassley,,county,Guthrie,3181
U.S. Senator,,John Heiderscheit,,county,Guthrie,145
U.S. Senator,,Write-in,,county,Guthrie,2
U.S. Senator,,Over Votes,,county,Guthrie,4
U.S. Senator,,Under Votes,,county,Guthrie,47
U.S. Senator,,Total,,county,Guthrie,4617
U.S. Senator,,Roxanne Conlin,,county,Hamilton,1856
U.S. Senator,,Chuck Grassley,,county,Hamilton,4226
U.S. Senator,,John Heiderscheit,,county,Hamilton,120
U.S. Senator,,Write-in,,county,Hamilton,3
U.S. Senator,,Over Votes,,county,Hamilton,1
U.S. Senator,,Under Votes,,county,Hamilton,92
U.S. Senator,,Total,,county,Hamilton,6298
U.S. Senator,,Roxanne Conlin,,county,Hancock,1144
U.S. Senator,,Chuck Grassley,,county,Hancock,3384
U.S. Senator,,John Heiderscheit,,county,Hancock,106
U.S. Senator,,Write-in,,county,Hancock,3
U.S. Senator,,Over Votes,,county,Hancock,0
U.S. Senator,,Under Votes,,county,Hancock,88
U.S. Senator,,Total,,county,Hancock,4725
U.S. Senator,,Roxanne Conlin,,county,Hardin,1748
U.S. Senator,,Chuck Grassley,,county,Hardin,4760
U.S. Senator,,John Heiderscheit,,county,Hardin,125
U.S. Senator,,Write-in,,county,Hardin,5
U.S. Senator,,Over Votes,,county,Hardin,3
U.S. Senator,,Under Votes,,county,Hardin,84
U.S. Senator,,Total,,county,Hardin,6725
U.S. Senator,,Roxanne Conlin,,county,Harrison,1240
U.S. Senator,,Chuck Grassley,,county,Harrison,3874
U.S. Senator,,John Heiderscheit,,county,Harrison,138
U.S. Senator,,Write-in,,county,Harrison,3
U.S. Senator,,Over Votes,,county,Harrison,2
U.S. Senator,,Under Votes,,county,Harrison,106
U.S. Senator,,Total,,county,Harrison,5363
U.S. Senator,,Roxanne Conlin,,county,Henry,1916
U.S. Senator,,Chuck Grassley,,county,Henry,4723
U.S. Senator,,John Heiderscheit,,county,Henry,170
U.S. Senator,,Write-in,,county,Henry,2
U.S. Senator,,Over Votes,,county,Henry,1
U.S. Senator,,Under Votes,,county,Henry,112
U.S. Senator,,Total,,county,Henry,6924
U.S. Senator,,Roxanne Conlin,,county,Howard,1154
U.S. Senator,,Chuck Grassley,,county,Howard,2165
U.S. Senator,,John Heiderscheit,,county,Howard,68
U.S. Senator,,Write-in,,county,Howard,1
U.S. Senator,,Over Votes,,county,Howard,0
U.S. Senator,,Under Votes,,county,Howard,82
U.S. Senator,,Total,,county,Howard,3470
U.S. Senator,,Roxanne Conlin,,county,Humboldt,869
U.S. Senator,,Chuck Grassley,,county,Humboldt,2966
U.S. Senator,,John Heiderscheit,,county,Humboldt,87
U.S. Senator,,Write-in,,county,Humboldt,0
U.S. Senator,,Over Votes,,county,Humboldt,1
U.S. Senator,,Under Votes,,county,Humboldt,59
