office,candidate,party,reporting_level,jurisdiction,votes
President,Gore / Lieberman,Democratic,county,Adair,1753
President,Bush / Cheney,Republican,county,Adair,2275
President,Browne / Olivier,Libertarian Party of Iowa,county,Adair,4
President,Nader / Laduke,Iowa Green Party,county,Adair,66
President,Buchanan / Foster,Reform Party,county,Adair,14
President,Harris / Trowe,Socialist Workers,county,Adair,0
President,Phillips / Frazier,Constitution,county,Adair,3
President,McReynolds / Hollis,Socialist Party USA,county,Adair,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Adair,5
President,Scattering,,county,Adair,2
President,Totals,,county,Adair,4123
President,Gore / Lieberman,Democratic,county,Adams,897
President,Bush / Cheney,Republican,county,Adams,1170
President,Browne / Olivier,Libertarian Party of Iowa,county,Adams,4
President,Nader / Laduke,Iowa Green Party,county,Adams,51
President,Buchanan / Foster,Reform Party,county,Adams,16
President,Harris / Trowe,Socialist Workers,county,Adams,1
President,Phillips / Frazier,Constitution,county,Adams,0
President,McReynolds / Hollis,Socialist Party USA,county,Adams,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Adams,3
President,Scattering,,county,Adams,2
President,Totals,,county,Adams,2145
President,Gore / Lieberman,Democratic,county,Allamakee,2883
President,Bush / Cheney,Republican,county,Allamakee,3277
President,Browne / Olivier,Libertarian Party of Iowa,county,Allamakee,13
President,Nader / Laduke,Iowa Green Party,county,Allamakee,199
President,Buchanan / Foster,Reform Party,county,Allamakee,68
President,Harris / Trowe,Socialist Workers,county,Allamakee,2
President,Phillips / Frazier,Constitution,county,Allamakee,4
President,McReynolds / Hollis,Socialist Party USA,county,Allamakee,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Allamakee,8
President,Scattering,,county,Allamakee,7
President,Totals,,county,Allamakee,6462
President,Gore / Lieberman,Democratic,county,Appanoose,2560
President,Bush / Cheney,Republican,county,Appanoose,2992
President,Browne / Olivier,Libertarian Party of Iowa,county,Appanoose,15
President,Nader / Laduke,Iowa Green Party,county,Appanoose,105
President,Buchanan / Foster,Reform Party,county,Appanoose,18
President,Harris / Trowe,Socialist Workers,county,Appanoose,2
President,Phillips / Frazier,Constitution,county,Appanoose,7
President,McReynolds / Hollis,Socialist Party USA,county,Appanoose,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Appanoose,3
President,Scattering,,county,Appanoose,2
President,Totals,,county,Appanoose,5704
President,Gore / Lieberman,Democratic,county,Audubon,1780
President,Bush / Cheney,Republican,county,Audubon,1909
President,Browne / Olivier,Libertarian Party of Iowa,county,Audubon,6
