office,district,candidate,party,reporting_level,jurisdiction,votes
Iowa House,28,Jackie Reeder,Democratic,county,Buchanan,1163
Iowa House,28,Jackie Reeder,Democratic,county,Fayette,1744
Iowa House,28,Jackie Reeder,Democratic,state,Iowa,2907
Iowa House,28,David Lalk,Republican,county,Buchanan,1030
Iowa House,28,David Lalk,Republican,county,Fayette,1691
Iowa House,28,David Lalk,Republican,state,Iowa,2721
Iowa House,28,Scattering,,county,Buchanan,2
Iowa House,28,Scattering,,county,Fayette,1
Iowa House,28,Scattering,,state,Iowa,3
Iowa House,28,Totals,,county,Buchanan,2195
Iowa House,28,Totals,,county,Fayette,3436
Iowa House,28,Totals,,state,Iowa,5631
