county,office,candidate,party,absentee,early_votes,election_day,votes,district,,
Marshall,U.S. House,Troy Hageman,Lib,134,,270,404,01,,
Mitchell,U.S. House,Troy Hageman,Lib,41,,106,147,01,,
Poweshiek,U.S. House,Troy Hageman,Lib,68,,161,229,01,,
Tama,U.S. House,Troy Hageman,Lib,70,,169,239,01,,
Winneshiek,U.S. House,Troy Hageman,Lib,170,,221,391,01,,
Worth,U.S. House,Troy Hageman,Lib,17,,92,109,01,,
Appanoose,U.S. House,Dave Loebsack,Dem,940,,"1,115",2055,02,,
Cedar,U.S. House,Dave Loebsack,Dem,"1,647",,"2,451",4098,02,,
Clarke,U.S. House,Dave Loebsack,Dem,662,,863,1525,02,,
Clinton,U.S. House,Dave Loebsack,Dem,"4,991",,"4,873",9864,02,,
Davis,U.S. House,Dave Loebsack,Dem,565,,824,1389,02,,
Decatur,U.S. House,Dave Loebsack,Dem,370,,752,1122,02,,
Des Moines,U.S. House,Dave Loebsack,Dem,"4,224",,"4,322",8546,02,,
Henry,U.S. House,Dave Loebsack,Dem,"1,598",,"1,613",3211,02,,
Jasper,U.S. House,Dave Loebsack,Dem,"3,437",,"4,082",7519,02,,
Jefferson,U.S. House,Dave Loebsack,Dem,"2,857",,"1,344",4201,02,,
Johnson,U.S. House,Dave Loebsack,Dem,"27,053",,"21,957",49010,02,,
Keokuk,U.S. House,Dave Loebsack,Dem,485,,"1,089",1574,02,,
Lee,U.S. House,Dave Loebsack,Dem,"3,387",,"3,128",6515,02,,
Louisa,U.S. House,Dave Loebsack,Dem,626,,"1,053",1679,02,,
Lucas,U.S. House,Dave Loebsack,Dem,567,,728,1295,02,,
Mahaska,U.S. House,Dave Loebsack,Dem,"1,375",,"1,337",2712,02,,
Marion,U.S. House,Dave Loebsack,Dem,"2,656",,"2,974",5630,02,,
Monroe,U.S. House,Dave Loebsack,Dem,599,,695,1294,02,,
Muscatine,U.S. House,Dave Loebsack,Dem,"3,590",,"4,207",7797,02,,
Scott,U.S. House,Dave Loebsack,Dem,19365,,"18,917",38282,02,,
Van Buren,U.S. House,Dave Loebsack,Dem,371,,826,1197,02,,
Wapello,U.S. House,Dave Loebsack,Dem,"2,708",,"3,067",5775,02,,
Washington,U.S. House,Dave Loebsack,Dem,"1,976",,"2,296",4272,02,,
Wayne,U.S. House,Dave Loebsack,Dem,316,,568,884,02,,
Appanoose,U.S. House,Christopher Peters,Rep,942,,"1,828",2770,02,,
Cedar,U.S. House,Christopher Peters,Rep,"1,242",,"2,483",3725,02,,
Clarke,U.S. House,Christopher Peters,Rep,644,,"1,295",1939,02,,
Clinton,U.S. House,Christopher Peters,Rep,"2,903",,"4,822",7725,02,,
Davis,U.S. House,Christopher Peters,Rep,576,,"1,070",1646,02,,
Decatur,U.S. House,Christopher Peters,Rep,466,,"1,185",1651,02,,
Des Moines,U.S. House,Christopher Peters,Rep,"2,437",,"3,701",6138,02,,
Henry,U.S. House,Christopher Peters,Rep,"1,740",,"2,210",3950,02,,
Jasper,U.S. House,Christopher Peters,Rep,"2,584",,"5,038",7622,02,,
Jefferson,U.S. House,Christopher Peters,Rep,"1,037",,"1,607",2644,02,,
Johnson,U.S. House,Christopher Peters,Rep,"6,248",,"10,750",16998,02,,
Keokuk,U.S. House,Christopher Peters,Rep,637,,"1,740",2377,02,,
Lee,U.S. House,Christopher Peters,Rep,"2,246",,"3,332",5578,02,,
Louisa,U.S. House,Christopher Peters,Rep,656,,"1,375",2031,02,,
Lucas,U.S. House,Christopher Peters,Rep,846,,"1,260",2106,02,,
Mahaska,U.S. House,Christopher Peters,Rep,"2,381",,"3,108",5489,02,,
Marion,U.S. House,Christopher Peters,Rep,"3,421",,"5,375",8796,02,,
Monroe,U.S. House,Christopher Peters,Rep,636,,"1,081",1717,02,,
Muscatine,U.S. House,Christopher Peters,Rep,"2,660",,"3,909",6569,02,,
Scott,U.S. House,Christopher Peters,Rep,11483,,"17,529",29012,02,,
Van Buren,U.S. House,Christopher Peters,Rep,407,,"1,227",1634,02,,
Wapello,U.S. House,Christopher Peters,Rep,"1,816",,"3,353",5169,02,,
Washington,U.S. House,Christopher Peters,Rep,"1,726",,"2,869",4595,02,,
Wayne,U.S. House,Christopher Peters,Rep,464,,942,1406,02,,
Appanoose,U.S. House,Mark David Strauss,Lib,24,,67,91,02,,
Cedar,U.S. House,Mark David Strauss,Lib,46,,133,179,02,,
Clarke,U.S. House,Mark David Strauss,Lib,26,,89,115,02,,
Clinton,U.S. House,Mark David Strauss,Lib,97,,210,307,02,,
Davis,U.S. House,Mark David Strauss,Lib,13,,44,57,02,,
Decatur,U.S. House,Mark David Strauss,Lib,20,,63,83,02,,
Des Moines,U.S. House,Mark David Strauss,Lib,85,,200,285,02,,
Henry,U.S. House,Mark David Strauss,Lib,40,,80,120,02,,
Jasper,U.S. House,Mark David Strauss,Lib,106,,248,354,02,,
Jefferson,U.S. House,Mark David Strauss,Lib,58,,77,135,02,,
Johnson,U.S. House,Mark David Strauss,Lib,361,,794,1155,02,,
Keokuk,U.S. House,Mark David Strauss,Lib,12,,54,66,02,,
Lee,U.S. House,Mark David Strauss,Lib,96,,167,263,02,,
Louisa,U.S. House,Mark David Strauss,Lib,19,,41,60,02,,
Lucas,U.S. House,Mark David Strauss,Lib,27,,51,78,02,,
Mahaska,U.S. House,Mark David Strauss,Lib,68,,123,191,02,,
Marion,U.S. House,Mark David Strauss,Lib,87,,248,335,02,,
Monroe,U.S. House,Mark David Strauss,Lib,17,,52,69,02,,
Muscatine,U.S. House,Mark David Strauss,Lib,91,,236,327,02,,
Scott,U.S. House,Mark David Strauss,Lib,404,,968,1372,02,,
Van Buren,U.S. House,Mark David Strauss,Lib,10,,34,44,02,,
Wapello,U.S. House,Mark David Strauss,Lib,92,,174,266,02,,
Washington,U.S. House,Mark David Strauss,Lib,58,,129,187,02,,
Wayne,U.S. House,Mark David Strauss,Lib,16,,26,42,02,,
Appanoose,U.S. House,Daniel Clark,Ind,11,,24,35,02,,
Cedar,U.S. House,Daniel Clark,Ind,14,,23,37,02,,
Clarke,U.S. House,Daniel Clark,Ind,14,,20,34,02,,
Clinton,U.S. House,Daniel Clark,Ind,36,,56,92,02,,
Davis,U.S. House,Daniel Clark,Ind,2,,7,9,02,,
Decatur,U.S. House,Daniel Clark,Ind,7,,22,29,02,,
Des Moines,U.S. House,Daniel Clark,Ind,25,,56,81,02,,
Henry,U.S. House,Daniel Clark,Ind,53,,67,120,02,,
Jasper,U.S. House,Daniel Clark,Ind,36,,64,100,02,,
Jefferson,U.S. House,Daniel Clark,Ind,19,,20,39,02,,
Johnson,U.S. House,Daniel Clark,Ind,212,,270,482,02,,
Keokuk,U.S. House,Daniel Clark,Ind,3,,18,21,02,,
Lee,U.S. House,Daniel Clark,Ind,35,,27,62,02,,
Louisa,U.S. House,Daniel Clark,Ind,3,,18,21,02,,
Lucas,U.S. House,Daniel Clark,Ind,10,,15,25,02,,
Mahaska,U.S. House,Daniel Clark,Ind,18,,33,51,02,,
Marion,U.S. House,Daniel Clark,Ind,31,,54,85,02,,
Monroe,U.S. House,Daniel Clark,Ind,6,,17,23,02,,
Muscatine,U.S. House,Daniel Clark,Ind,44,,54,98,02,,
Scott,U.S. House,Daniel Clark,Ind,96,,139,235,02,,
Van Buren,U.S. House,Daniel Clark,Ind,7,,16,23,02,,
Wapello,U.S. House,Daniel Clark,Ind,30,,48,78,02,,
Washington,U.S. House,Daniel Clark,Ind,16,,24,40,02,,
Wayne,U.S. House,Daniel Clark,Ind,8,,9,17,02,,
Adair,U.S. House,Cindy Axne,Dem,491,,576,1067,03,,
Adams,U.S. House,Cindy Axne,Dem,271,,247,518,03,,
Cass,U.S. House,Cindy Axne,Dem,749,,"1,028",1777,03,,
Dallas,U.S. House,Cindy Axne,Dem,"8,217",,"10,376",18593,03,,
Fremont,U.S. House,Cindy Axne,Dem,389,,601,990,03,,
Guthrie,U.S. House,Cindy Axne,Dem,711,,911,1622,03,,
Madison,U.S. House,Cindy Axne,Dem,"1,326",,"1,263",2589,03,,
Mills,U.S. House,Cindy Axne,Dem,"1,103",,"1,043",2146,03,,
Montgomery,U.S. House,Cindy Axne,Dem,552,,657,1209,03,,
Page,U.S. House,Cindy Axne,Dem,785,,956,1741,03,,
Polk,U.S. House,Cindy Axne,Dem,"55,112",,"60,765",115877,03,,
Pottawattamie,U.S. House,Cindy Axne,Dem,"6,315",,"7,729",14044,03,,
Ringgold,U.S. House,Cindy Axne,Dem,340,,376,716,03,,
Taylor,U.S. House,Cindy Axne,Dem,252,,421,673,03,,
Union,U.S. House,Cindy Axne,Dem,919,,798,1717,03,,
Warren,U.S. House,Cindy Axne,Dem,"5,299",,"5,064",10363,03,,
Adair,U.S. House,David Young,Rep,831,,"1,374",2205,03,,
Adams,U.S. House,David Young,Rep,548,,604,1152,03,,
Cass,U.S. House,David Young,Rep,"1,386",,"2,443",3829,03,,
Dallas,U.S. House,David Young,Rep,"7,791",,"13,298",21089,03,,
Fremont,U.S. House,David Young,Rep,702,,"1,231",1933,03,,
Guthrie,U.S. House,David Young,Rep,"1,025",,"2,134",3159,03,,
Madison,U.S. House,David Young,Rep,"1,805",,"2,944",4749,03,,
Mills,U.S. House,David Young,Rep,"1,717",,"2,224",3941,03,,
Montgomery,U.S. House,David Young,Rep,939,,"1,692",2631,03,,
Page,U.S. House,David Young,Rep,"1,332",,"2,444",3776,03,,
Polk,U.S. House,David Young,Rep,"28,308",,"54,096",82404,03,,
Pottawattamie,U.S. House,David Young,Rep,"6,804",,"11,377",18181,03,,
Ringgold,U.S. House,David Young,Rep,477,,"1,016",1493,03,,
Taylor,U.S. House,David Young,Rep,505,,"1,178",1683,03,,
Union,U.S. House,David Young,Rep,"1,259",,"1,671",2930,03,,
Warren,U.S. House,David Young,Rep,"5,025",,"7,753",12778,03,,
Adair,U.S. House,Bryan Jack Holder,Lib,24,,54,78,03,,
Adams,U.S. House,Bryan Jack Holder,Lib,12,,30,42,03,,
Cass,U.S. House,Bryan Jack Holder,Lib,29,,64,93,03,,
Dallas,U.S. House,Bryan Jack Holder,Lib,215,,546,761,03,,
Fremont,U.S. House,Bryan Jack Holder,Lib,10,,31,41,03,,
Guthrie,U.S. House,Bryan Jack Holder,Lib,40,,102,142,03,,
Madison,U.S. House,Bryan Jack Holder,Lib,55,,111,166,03,,
Mills,U.S. House,Bryan Jack Holder,Lib,59,,78,137,03,,
Montgomery,U.S. House,Bryan Jack Holder,Lib,17,,45,62,03,,
Page,U.S. House,Bryan Jack Holder,Lib,22,,43,65,03,,
Polk,U.S. House,Bryan Jack Holder,Lib,"1,287",,"2,694",3981,03,,
Pottawattamie,U.S. House,Bryan Jack Holder,Lib,388,,594,982,03,,
Ringgold,U.S. House,Bryan Jack Holder,Lib,9,,26,35,03,,
Taylor,U.S. House,Bryan Jack Holder,Lib,6,,30,36,03,,
Union,U.S. House,Bryan Jack Holder,Lib,50,,64,114,03,,
Warren,U.S. House,Bryan Jack Holder,Lib,172,,360,532,03,,
Adair,U.S. House,Paul Knupp,Grn,7,,7,14,03,,
Adams,U.S. House,Paul Knupp,Grn,3,,7,10,03,,
Cass,U.S. House,Paul Knupp,Grn,11,,18,29,03,,
Dallas,U.S. House,Paul Knupp,Grn,40,,143,183,03,,
Fremont,U.S. House,Paul Knupp,Grn,4,,16,20,03,,
Guthrie,U.S. House,Paul Knupp,Grn,9,,20,29,03,,
Madison,U.S. House,Paul Knupp,Grn,16,,19,35,03,,
Mills,U.S. House,Paul Knupp,Grn,13,,19,32,03,,
Montgomery,U.S. House,Paul Knupp,Grn,8,,11,19,03,,
Page,U.S. House,Paul Knupp,Grn,4,,14,18,03,,
Polk,U.S. House,Paul Knupp,Grn,423,,685,1108,03,,
Pottawattamie,U.S. House,Paul Knupp,Grn,82,,98,180,03,,
Ringgold,U.S. House,Paul Knupp,Grn,5,,8,13,03,,
Taylor,U.S. House,Paul Knupp,Grn,4,,14,18,03,,
Union,U.S. House,Paul Knupp,Grn,12,,32,44,03,,
Warren,U.S. House,Paul Knupp,Grn,45,,91,136,03,,
Adair,U.S. House,Mark Elworth Jr.,Lmn,8,,13,21,03,,
Adams,U.S. House,Mark Elworth Jr.,Lmn,4,,2,6,03,,
Cass,U.S. House,Mark Elworth Jr.,Lmn,11,,19,30,03,,
Dallas,U.S. House,Mark Elworth Jr.,Lmn,57,,116,173,03,,
Fremont,U.S. House,Mark Elworth Jr.,Lmn,12,,11,23,03,,
Guthrie,U.S. House,Mark Elworth Jr.,Lmn,9,,15,24,03,,
Madison,U.S. House,Mark Elworth Jr.,Lmn,22,,24,46,03,,
Mills,U.S. House,Mark Elworth Jr.,Lmn,10,,27,37,03,,
Montgomery,U.S. House,Mark Elworth Jr.,Lmn,12,,17,29,03,,
Page,U.S. House,Mark Elworth Jr.,Lmn,6,,14,20,03,,
Polk,U.S. House,Mark Elworth Jr.,Lmn,477,,625,1102,03,,
Pottawattamie,U.S. House,Mark Elworth Jr.,Lmn,108,,199,307,03,,
Ringgold,U.S. House,Mark Elworth Jr.,Lmn,4,,7,11,03,,
Taylor,U.S. House,Mark Elworth Jr.,Lmn,2,,10,12,03,,
Union,U.S. House,Mark Elworth Jr.,Lmn,14,,24,38,03,,
Warren,U.S. House,Mark Elworth Jr.,Lmn,46,,90,136,03,,
Adair,U.S. House,Joe Grandanette,Ind,3,,8,11,03,,
Adams,U.S. House,Joe Grandanette,Ind,1,,1,2,03,,
Cass,U.S. House,Joe Grandanette,Ind,0,,13,13,03,,
Dallas,U.S. House,Joe Grandanette,Ind,46,,82,128,03,,
Fremont,U.S. House,Joe Grandanette,Ind,3,,5,8,03,,
Guthrie,U.S. House,Joe Grandanette,Ind,7,,8,15,03,,
Madison,U.S. House,Joe Grandanette,Ind,13,,15,28,03,,
Mills,U.S. House,Joe Grandanette,Ind,7,,6,13,03,,
Montgomery,U.S. House,Joe Grandanette,Ind,1,,5,6,03,,
Page,U.S. House,Joe Grandanette,Ind,8,,2,10,03,,
Polk,U.S. House,Joe Grandanette,Ind,346,,526,872,03,,
Pottawattamie,U.S. House,Joe Grandanette,Ind,38,,43,81,03,,
Ringgold,U.S. House,Joe Grandanette,Ind,1,,5,6,03,,
Taylor,U.S. House,Joe Grandanette,Ind,1,,4,5,03,,
Union,U.S. House,Joe Grandanette,Ind,4,,10,14,03,,
Warren,U.S. House,Joe Grandanette,Ind,33,,56,89,03,,
Audubon,U.S. House,J.D. Scholten,Dem,492,,742,1234,04,,
Boone,U.S. House,J.D. Scholten,Dem,"3,022",,"3,331",6353,04,,
Buena Vista,U.S. House,J.D. Scholten,Dem,"1,186",,"1,992",3178,04,,
Butler,U.S. House,J.D. Scholten,Dem,666,,"1,533",2199,04,,
Calhoun,U.S. House,J.D. Scholten,Dem,613,,"1,229",1842,04,,
Carroll,U.S. House,J.D. Scholten,Dem,"1,757",,"2,318",4075,04,,
Cerro Gordo,U.S. House,J.D. Scholten,Dem,"4,549",,"6,139",10688,04,,
Cherokee,U.S. House,J.D. Scholten,Dem,"1,040",,"1,319",2359,04,,
Chickasaw,U.S. House,J.D. Scholten,Dem,1251,,"1,094",2345,04,,
Clay,U.S. House,J.D. Scholten,Dem,"1,462",,"1,663",3125,04,,
Crawford,U.S. House,J.D. Scholten,Dem,884,,"1,364",2248,04,,
Dickinson,U.S. House,J.D. Scholten,Dem,"1,974",,"1,957",3931,04,,
Emmet,U.S. House,J.D. Scholten,Dem,622,,"1,121",1743,04,,
Floyd,U.S. House,J.D. Scholten,Dem,"1,373",,"1,832",3205,04,,
Franklin,U.S. House,J.D. Scholten,Dem,566,,"1,151",1717,04,,
Greene,U.S. House,J.D. Scholten,Dem,902,,"1,043",1945,04,,
Grundy,U.S. House,J.D. Scholten,Dem,603,,"1,393",1996,04,,
Hamilton,U.S. House,J.D. Scholten,Dem,"1,322",,"1,620",2942,04,,
Hancock,U.S. House,J.D. Scholten,Dem,593,,"1,250",1843,04,,
Hardin,U.S. House,J.D. Scholten,Dem,1275,,"1,752",3027,04,,
Harrison,U.S. House,J.D. Scholten,Dem,641,,"1,596",2237,04,,
Humboldt,U.S. House,J.D. Scholten,Dem,597,,868,1465,04,,
Ida,U.S. House,J.D. Scholten,Dem,290,,827,1117,04,,
Kossuth,U.S. House,J.D. Scholten,Dem,"1,394",,"1,777",3171,04,,
Lyon,U.S. House,J.D. Scholten,Dem,347,,"1,008",1355,04,,
Monona,U.S. House,J.D. Scholten,Dem,648,,"1,023",1671,04,,
O'Brien,U.S. House,J.D. Scholten,Dem,470,,"1,446",1916,04,,
Osceola,U.S. House,J.D. Scholten,Dem,174,,535,709,04,,
Palo Alto,U.S. House,J.D. Scholten,Dem,725,,976,1701,04,,
Plymouth,U.S. House,J.D. Scholten,Dem,"1,613",,"2,471",4084,04,,
Pocahontas,U.S. House,J.D. Scholten,Dem,431,,770,1201,04,,
Sac,U.S. House,J.D. Scholten,Dem,422,,"1,264",1686,04,,
Shelby,U.S. House,J.D. Scholten,Dem,783,,"1,034",1817,04,,
Sioux,U.S. House,J.D. Scholten,Dem,"1,038",,"2,644",3682,04,,
Story,U.S. House,J.D. Scholten,Dem,"11,498",,"16,071",27569,04,,
Webster,U.S. House,J.D. Scholten,Dem,"2,792",,"4,126",6918,04,,
Winnebago,U.S. House,J.D. Scholten,Dem,721,,"1,460",2181,04,,
Woodbury,U.S. House,J.D. Scholten,Dem,"8,776",,"9,910",18686,04,,
Wright,U.S. House,J.D. Scholten,Dem,741,,"1,344",2085,04,,
Audubon,U.S. House,Steve King,Rep,615,,763,1378,04,,
Boone,U.S. House,Steve King,Rep,"2,291",,"3,059",5350,04,,
Buena Vista,U.S. House,Steve King,Rep,"1,092",,"2,136",3228,04,,
Butler,U.S. House,Steve King,Rep,"1,259",,"2,416",3675,04,,
Calhoun,U.S. House,Steve King,Rep,796,,"1,522",2318,04,,
Carroll,U.S. House,Steve King,Rep,"1,694",,"2,958",4652,04,,
Cerro Gordo,U.S. House,Steve King,Rep,"2,927",,"4,693",7620,04,,
Cherokee,U.S. House,Steve King,Rep,"1,137",,"1,565",2702,04,,
Chickasaw,U.S. House,Steve King,Rep,1180,,"1,491",2671,04,,
Clay,U.S. House,Steve King,Rep,"1,533",,"2,022",3555,04,,
Crawford,U.S. House,Steve King,Rep,"1,262",,"1,763",3025,04,,
Dickinson,U.S. House,Steve King,Rep,"2,347",,"2,329",4676,04,,
Emmet,U.S. House,Steve King,Rep,572,,"1,307",1879,04,,
Floyd,U.S. House,Steve King,Rep,"1,059",,"1,782",2841,04,,
Franklin,U.S. House,Steve King,Rep,742,,"1,487",2229,04,,
Greene,U.S. House,Steve King,Rep,799,,"1,200",1999,04,,
Grundy,U.S. House,Steve King,Rep,"1,095",,"2,445",3540,04,,
Hamilton,U.S. House,Steve King,Rep,"1,194",,"2,021",3215,04,,
Hancock,U.S. House,Steve King,Rep,845,,"1,920",2765,04,,
Hardin,U.S. House,Steve King,Rep,1655,,"2,262",3917,04,,
Harrison,U.S. House,Steve King,Rep,"1,067",,"2,492",3559,04,,
Humboldt,U.S. House,Steve King,Rep,905,,"1,576",2481,04,,
Ida,U.S. House,Steve King,Rep,510,,"1,247",1757,04,,
Kossuth,U.S. House,Steve King,Rep,"1,487",,"2,455",3942,04,,
Lyon,U.S. House,Steve King,Rep,"1,218",,"2,498",3716,04,,
Monona,U.S. House,Steve King,Rep,722,,"1,333",2055,04,,
O'Brien,U.S. House,Steve King,Rep,"1,148",,"2,647",3795,04,,
Osceola,U.S. House,Steve King,Rep,469,,"1,194",1663,04,,
Palo Alto,U.S. House,Steve King,Rep,835,,"1,090",1925,04,,
Plymouth,U.S. House,Steve King,Rep,"2,691",,"3,812",6503,04,,
Pocahontas,U.S. House,Steve King,Rep,612,,"1,219",1831,04,,
Sac,U.S. House,Steve King,Rep,739,,"1,810",2549,04,,
Shelby,U.S. House,Steve King,Rep,"1,384",,"1,686",3070,04,,
Sioux,U.S. House,Steve King,Rep,"3,460",,"7,364",10824,04,,
Story,U.S. House,Steve King,Rep,"4,590",,"8,884",13474,04,,
Webster,U.S. House,Steve King,Rep,"2,330",,"4,376",6706,04,,
Winnebago,U.S. House,Steve King,Rep,651,,"1,582",2233,04,,
Woodbury,U.S. House,Steve King,Rep,"6,845",,"8,863",15708,04,,
Wright,U.S. House,Steve King,Rep,"1,009",,"1,641",2650,04,,
Audubon,U.S. House,Charles Aldrich,Lib,14,,29,43,04,,
Boone,U.S. House,Charles Aldrich,Lib,116,,169,285,04,,
Buena Vista,U.S. House,Charles Aldrich,Lib,35,,81,116,04,,
Butler,U.S. House,Charles Aldrich,Lib,27,,123,150,04,,
Calhoun,U.S. House,Charles Aldrich,Lib,24,,66,90,04,,
Carroll,U.S. House,Charles Aldrich,Lib,55,,83,138,04,,
Cerro Gordo,U.S. House,Charles Aldrich,Lib,120,,290,410,04,,
Cherokee,U.S. House,Charles Aldrich,Lib,20,,40,60,04,,
Chickasaw,U.S. House,Charles Aldrich,Lib,51,,69,120,04,,
Clay,U.S. House,Charles Aldrich,Lib,41,,86,127,04,,
Crawford,U.S. House,Charles Aldrich,Lib,31,,72,103,04,,
Dickinson,U.S. House,Charles Aldrich,Lib,53,,78,131,04,,
Emmet,U.S. House,Charles Aldrich,Lib,17,,46,63,04,,
Floyd,U.S. House,Charles Aldrich,Lib,52,,101,153,04,,
Franklin,U.S. House,Charles Aldrich,Lib,24,,64,88,04,,
Greene,U.S. House,Charles Aldrich,Lib,33,,48,81,04,,
Grundy,U.S. House,Charles Aldrich,Lib,12,,104,116,04,,
Hamilton,U.S. House,Charles Aldrich,Lib,48,,81,129,04,,
Hancock,U.S. House,Charles Aldrich,Lib,24,,96,120,04,,
Hardin,U.S. House,Charles Aldrich,Lib,51,,98,149,04,,
Harrison,U.S. House,Charles Aldrich,Lib,30,,101,131,04,,
Humboldt,U.S. House,Charles Aldrich,Lib,27,,48,75,04,,
Ida,U.S. House,Charles Aldrich,Lib,8,,37,45,04,,
Kossuth,U.S. House,Charles Aldrich,Lib,32,,88,120,04,,
Lyon,U.S. House,Charles Aldrich,Lib,16,,46,62,04,,
Monona,U.S. House,Charles Aldrich,Lib,15,,43,58,04,,
O'Brien,U.S. House,Charles Aldrich,Lib,14,,65,79,04,,
Osceola,U.S. House,Charles Aldrich,Lib,11,,19,30,04,,
Palo Alto,U.S. House,Charles Aldrich,Lib,23,,35,58,04,,
Plymouth,U.S. House,Charles Aldrich,Lib,48,,110,158,04,,
Pocahontas,U.S. House,Charles Aldrich,Lib,14,,58,72,04,,
Sac,U.S. House,Charles Aldrich,Lib,11,,44,55,04,,
Shelby,U.S. House,Charles Aldrich,Lib,36,,60,96,04,,
Sioux,U.S. House,Charles Aldrich,Lib,49,,133,182,04,,
Story,U.S. House,Charles Aldrich,Lib,272,,906,1178,04,,
Webster,U.S. House,Charles Aldrich,Lib,79,,198,277,04,,
Winnebago,U.S. House,Charles Aldrich,Lib,23,,105,128,04,,
Woodbury,U.S. House,Charles Aldrich,Lib,220,,342,562,04,,
Wright,U.S. House,Charles Aldrich,Lib,29,,94,123,04,,
Audubon,U.S. House,Edward Peterson,Ind,5,,8,13,04,,
Boone,U.S. House,Edward Peterson,Ind,34,,49,83,04,,
Buena Vista,U.S. House,Edward Peterson,Ind,12,,31,43,04,,
Butler,U.S. House,Edward Peterson,Ind,10,,31,41,04,,
