county,office,candidate,party,absentee,early_votes,election_day,votes,district,,
Allamakee,U.S. House,Abby Finkenauer,Dem,"1,186",,"1,167","2,353",01,,
Benton,U.S. House,Abby Finkenauer,Dem,"1,495",,"3,203","4,698",01,,
Black Hawk,U.S. House,Abby Finkenauer,Dem,"12,716",,"16,951","29,667",01,,
Bremer,U.S. House,Abby Finkenauer,Dem,"2,172",,"3,010","5,182",01,,
Buchanan,U.S. House,Abby Finkenauer,Dem,"1,605",,"2,372","3,977",01,,
Clayton,U.S. House,Abby Finkenauer,Dem,"1,292",,"2,019","3,311",01,,
Delaware,U.S. House,Abby Finkenauer,Dem,"1,120",,"1,690","2,810",01,,
Dubuque,U.S. House,Abby Finkenauer,Dem,"12,054",,"10,305","22,359",01,,
Fayette,U.S. House,Abby Finkenauer,Dem,1514,,"2,187","3,701",01,,
Howard,U.S. House,Abby Finkenauer,Dem,613,,974,"1,587",01,,
Iowa,U.S. House,Abby Finkenauer,Dem,"1,171",,"1,928","3,099",01,,
Jackson,U.S. House,Abby Finkenauer,Dem,"1,869",,"1,928","3,797",01,,
Jones,U.S. House,Abby Finkenauer,Dem,"1,565",,"2,222","3,787",01,,
Linn,U.S. House,Abby Finkenauer,Dem,"23,884",,"33,828","57,712",01,,
Marshall,U.S. House,Abby Finkenauer,Dem,"3,258",,"3,353","6,611",01,,
Mitchell,U.S. House,Abby Finkenauer,Dem,818,,"1,018","1,836",01,,
Poweshiek,U.S. House,Abby Finkenauer,Dem,"2,230",,"1,736","3,966",01,,
Tama,U.S. House,Abby Finkenauer,Dem,"1,001",,"2,256","3,257",01,,
Winneshiek,U.S. House,Abby Finkenauer,Dem,"3,249",,"1,853","5,102",01,,
Worth,U.S. House,Abby Finkenauer,Dem,498,,"1,032","1,530",01,,
Allamakee,U.S. House,Rod Blum,Rep,"1,186",,"1,887","3,073",01,,
Benton,U.S. House,Rod Blum,Rep,"1,683",,"4,782","6,465",01,,
Black Hawk,U.S. House,Rod Blum,Rep,"7,266",,"14,837","22,103",01,,
Bremer,U.S. House,Rod Blum,Rep,"1,881",,"4,027","5,908",01,,
Buchanan,U.S. House,Rod Blum,Rep,"1,360",,"2,806","4,166",01,,
Clayton,U.S. House,Rod Blum,Rep,"1,422",,"2,898","4,320",01,,
Delaware,U.S. House,Rod Blum,Rep,"1,513",,"2,962","4,475",01,,
Dubuque,U.S. House,Rod Blum,Rep,"7,566",,"11,716","19,282",01,,
Fayette,U.S. House,Rod Blum,Rep,1400,,"2,767","4,167",01,,
Howard,U.S. House,Rod Blum,Rep,546,,"1,332","1,878",01,,
Iowa,U.S. House,Rod Blum,Rep,"1,239",,"2,964","4,203",01,,
Jackson,U.S. House,Rod Blum,Rep,"1,699",,"2,784","4,483",01,,
Jones,U.S. House,Rod Blum,Rep,"1,509",,"2,981","4,490",01,,
Linn,U.S. House,Rod Blum,Rep,"12,323",,"28,410","40,733",01,,
Marshall,U.S. House,Rod Blum,Rep,"2,796",,"4,328","7,124",01,,
Mitchell,U.S. House,Rod Blum,Rep,860,,"1,658","2,518",01,,
Poweshiek,U.S. House,Rod Blum,Rep,"1,528",,"2,516","4,044",01,,
Tama,U.S. House,Rod Blum,Rep,979,,"2,801","3,780",01,,
Winneshiek,U.S. House,Rod Blum,Rep,"2,080",,"2,284","4,364",01,,
Worth,U.S. House,Rod Blum,Rep,420,,"1,446","1,866",01,,
Allamakee,U.S. House,Troy Hageman,Lib,89,,136,225,01,,
Benton,U.S. House,Troy Hageman,Lib,100,,307,407,01,,
Black Hawk,U.S. House,Troy Hageman,Lib,462,,875,"1,337",01,,
Bremer,U.S. House,Troy Hageman,Lib,102,,224,326,01,,
Buchanan,U.S. House,Troy Hageman,Lib,92,,214,306,01,,
Clayton,U.S. House,Troy Hageman,Lib,89,,167,256,01,,
Delaware,U.S. House,Troy Hageman,Lib,65,,144,209,01,,
Dubuque,U.S. House,Troy Hageman,Lib,440,,645,"1,085",01,,
Fayette,U.S. House,Troy Hageman,Lib,113,,212,325,01,,
Howard,U.S. House,Troy Hageman,Lib,49,,95,144,01,,
Iowa,U.S. House,Troy Hageman,Lib,81,,209,290,01,,
Jackson,U.S. House,Troy Hageman,Lib,84,,146,230,01,,
Jones,U.S. House,Troy Hageman,Lib,100,,186,286,01,,
Linn,U.S. House,Troy Hageman,Lib,"1,040",,"2,300","3,340",01,,
