office,district,candidate,party,reporting_level,jurisdiction,votes
Secretary of State,,Michael A. Mauro,,county,Adair,1268
Secretary of State,,Matt Schultz,,county,Adair,1582
Secretary of State,,Jake Porter,,county,Adair,110
Secretary of State,,Write-in,,county,Adair,0
Secretary of State,,Over Votes,,county,Adair,2
Secretary of State,,Under Votes,,county,Adair,160
Secretary of State,,Total,,county,Adair,3122
Secretary of State,,Michael A. Mauro,,county,Adams,694
Secretary of State,,Matt Schultz,,county,Adams,908
Secretary of State,,Jake Porter,,county,Adams,71
Secretary of State,,Write-in,,county,Adams,1
Secretary of State,,Over Votes,,county,Adams,0
Secretary of State,,Under Votes,,county,Adams,106
Secretary of State,,Total,,county,Adams,1780
Secretary of State,,Michael A. Mauro,,county,Allamakee,2085
Secretary of State,,Matt Schultz,,county,Allamakee,2772
Secretary of State,,Jake Porter,,county,Allamakee,198
Secretary of State,,Write-in,,county,Allamakee,1
Secretary of State,,Over Votes,,county,Allamakee,0
Secretary of State,,Under Votes,,county,Allamakee,340
Secretary of State,,Total,,county,Allamakee,5396
Secretary of State,,Michael A. Mauro,,county,Appanoose,1867
Secretary of State,,Matt Schultz,,county,Appanoose,2428
Secretary of State,,Jake Porter,,county,Appanoose,162
Secretary of State,,Write-in,,county,Appanoose,3
Secretary of State,,Over Votes,,county,Appanoose,0
Secretary of State,,Under Votes,,county,Appanoose,202
Secretary of State,,Total,,county,Appanoose,4662
Secretary of State,,Michael A. Mauro,,county,Audubon,1064
Secretary of State,,Matt Schultz,,county,Audubon,1340
Secretary of State,,Jake Porter,,county,Audubon,77
Secretary of State,,Write-in,,county,Audubon,1
Secretary of State,,Over Votes,,county,Audubon,0
Secretary of State,,Under Votes,,county,Audubon,316
Secretary of State,,Total,,county,Audubon,2798
Secretary of State,,Michael A. Mauro,,county,Benton,4212
Secretary of State,,Matt Schultz,,county,Benton,5137
Secretary of State,,Jake Porter,,county,Benton,314
Secretary of State,,Write-in,,county,Benton,3
Secretary of State,,Over Votes,,county,Benton,0
Secretary of State,,Under Votes,,county,Benton,425
Secretary of State,,Total,,county,Benton,10091
Secretary of State,,Michael A. Mauro,,county,Black Hawk,22621
Secretary of State,,Matt Schultz,,county,Black Hawk,19642
Secretary of State,,Jake Porter,,county,Black Hawk,1239
Secretary of State,,Write-in,,county,Black Hawk,19
Secretary of State,,Over Votes,,county,Black Hawk,9
Secretary of State,,Under Votes,,county,Black Hawk,2131
