office,district,candidate,party,reporting_level,jurisdiction,votes
Secretary of State,,Chet Culver,Democratic,county,ADAIR,126
Secretary of State,,Write-In Votes,Democratic,county,ADAIR,0
Secretary of State,,Totals,Democratic,county,ADAIR,126
Secretary of State,,Chet Culver,Democratic,county,ADAMS,180
Secretary of State,,Write-In Votes,Democratic,county,ADAMS,0
Secretary of State,,Totals,Democratic,county,ADAMS,180
Secretary of State,,Chet Culver,Democratic,county,ALLAMAKEE,168
Secretary of State,,Write-In Votes,Democratic,county,ALLAMAKEE,0
Secretary of State,,Totals,Democratic,county,ALLAMAKEE,168
Secretary of State,,Chet Culver,Democratic,county,APPANOOSE,314
Secretary of State,,Write-In Votes,Democratic,county,APPANOOSE,0
Secretary of State,,Totals,Democratic,county,APPANOOSE,314
Secretary of State,,Chet Culver,Democratic,county,AUDUBON,127
Secretary of State,,Write-In Votes,Democratic,county,AUDUBON,0
Secretary of State,,Totals,Democratic,county,AUDUBON,127
Secretary of State,,Chet Culver,Democratic,county,BENTON,560
Secretary of State,,Write-In Votes,Democratic,county,BENTON,3
Secretary of State,,Totals,Democratic,county,BENTON,563
Secretary of State,,Chet Culver,Democratic,county,BLACK HAWK,4334
Secretary of State,,Write-In Votes,Democratic,county,BLACK HAWK,12
Secretary of State,,Totals,Democratic,county,BLACK HAWK,4346
Secretary of State,,Chet Culver,Democratic,county,BOONE,830
Secretary of State,,Write-In Votes,Democratic,county,BOONE,1
Secretary of State,,Totals,Democratic,county,BOONE,831
Secretary of State,,Chet Culver,Democratic,county,BREMER,399
Secretary of State,,Write-In Votes,Democratic,county,BREMER,2
Secretary of State,,Totals,Democratic,county,BREMER,401
Secretary of State,,Chet Culver,Democratic,county,BUCHANAN,888
Secretary of State,,Write-In Votes,Democratic,county,BUCHANAN,0
Secretary of State,,Totals,Democratic,county,BUCHANAN,888
Secretary of State,,Chet Culver,Democratic,county,BUENA VISTA,224
Secretary of State,,Write-In Votes,Democratic,county,BUENA VISTA,0
Secretary of State,,Totals,Democratic,county,BUENA VISTA,224
Secretary of State,,Chet Culver,Democratic,county,BUTLER,209
Secretary of State,,Write-In Votes,Democratic,county,BUTLER,0
Secretary of State,,Totals,Democratic,county,BUTLER,209
Secretary of State,,Chet Culver,Democratic,county,CALHOUN,220
Secretary of State,,Write-In Votes,Democratic,county,CALHOUN,0
Secretary of State,,Totals,Democratic,county,CALHOUN,220
Secretary of State,,Chet Culver,Democratic,county,CARROLL,311
Secretary of State,,Write-In Votes,Democratic,county,CARROLL,0
Secretary of State,,Totals,Democratic,county,CARROLL,311
Secretary of State,,Chet Culver,Democratic,county,CASS,273
Secretary of State,,Write-In Votes,Democratic,county,CASS,0
Secretary of State,,Totals,Democratic,county,CASS,273
Secretary of State,,Chet Culver,Democratic,county,CEDAR,192
Secretary of State,,Write-In Votes,Democratic,county,CEDAR,0
Secretary of State,,Totals,Democratic,county,CEDAR,192
Secretary of State,,Chet Culver,Democratic,county,CERRO GORDO,1282
Secretary of State,,Write-In Votes,Democratic,county,CERRO GORDO,2
Secretary of State,,Totals,Democratic,county,CERRO GORDO,1284
Secretary of State,,Chet Culver,Democratic,county,CHEROKEE,204
Secretary of State,,Write-In Votes,Democratic,county,CHEROKEE,0
Secretary of State,,Totals,Democratic,county,CHEROKEE,204
Secretary of State,,Chet Culver,Democratic,county,CHICKASAW,307
Secretary of State,,Write-In Votes,Democratic,county,CHICKASAW,1
Secretary of State,,Totals,Democratic,county,CHICKASAW,308
Secretary of State,,Chet Culver,Democratic,county,CLARKE,499
Secretary of State,,Write-In Votes,Democratic,county,CLARKE,0
Secretary of State,,Totals,Democratic,county,CLARKE,499
Secretary of State,,Chet Culver,Democratic,county,CLAY,181
Secretary of State,,Write-In Votes,Democratic,county,CLAY,0
Secretary of State,,Totals,Democratic,county,CLAY,181
Secretary of State,,Chet Culver,Democratic,county,CLAYTON,530
Secretary of State,,Write-In Votes,Democratic,county,CLAYTON,0
Secretary of State,,Totals,Democratic,county,CLAYTON,530
Secretary of State,,Chet Culver,Democratic,county,CLINTON,1010
Secretary of State,,Write-In Votes,Democratic,county,CLINTON,0
Secretary of State,,Totals,Democratic,county,CLINTON,1010
