office,district,candidate,party,reporting_level,jurisdiction,votes
United States Senator,,Tom Harkin,Democratic Party,county,ADAIR,1753
United States Senator,,Greg Ganske,Republican Party,county,ADAIR,1450
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,ADAIR,50
United States Senator,,Richard J. Moore,Libertarian Party,county,ADAIR,25
United States Senator,,Write-In Votes,,county,ADAIR,1
United States Senator,,Totals,,county,ADAIR,3279
United States Senator,,Tom Harkin,Democratic Party,county,ADAMS,937
United States Senator,,Greg Ganske,Republican Party,county,ADAMS,764
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,ADAMS,18
United States Senator,,Richard J. Moore,Libertarian Party,county,ADAMS,15
United States Senator,,Write-In Votes,,county,ADAMS,0
United States Senator,,Totals,,county,ADAMS,1734
United States Senator,,Tom Harkin,Democratic Party,county,ALLAMAKEE,2463
United States Senator,,Greg Ganske,Republican Party,county,ALLAMAKEE,2334
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,ALLAMAKEE,83
United States Senator,,Richard J. Moore,Libertarian Party,county,ALLAMAKEE,40
United States Senator,,Write-In Votes,,county,ALLAMAKEE,2
United States Senator,,Totals,,county,ALLAMAKEE,4922
United States Senator,,Tom Harkin,Democratic Party,county,APPANOOSE,2618
United States Senator,,Greg Ganske,Republican Party,county,APPANOOSE,2127
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,APPANOOSE,40
United States Senator,,Richard J. Moore,Libertarian Party,county,APPANOOSE,36
United States Senator,,Write-In Votes,,county,APPANOOSE,0
United States Senator,,Totals,,county,APPANOOSE,4821
United States Senator,,Tom Harkin,Democratic Party,county,AUDUBON,1363
United States Senator,,Greg Ganske,Republican Party,county,AUDUBON,1130
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,AUDUBON,17
United States Senator,,Richard J. Moore,Libertarian Party,county,AUDUBON,18
United States Senator,,Write-In Votes,,county,AUDUBON,0
United States Senator,,Totals,,county,AUDUBON,2528
United States Senator,,Tom Harkin,Democratic Party,county,BENTON,4901
United States Senator,,Greg Ganske,Republican Party,county,BENTON,4031
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BENTON,99
United States Senator,,Richard J. Moore,Libertarian Party,county,BENTON,77
United States Senator,,Write-In Votes,,county,BENTON,8
United States Senator,,Totals,,county,BENTON,9116
United States Senator,,Tom Harkin,Democratic Party,county,BLACK HAWK,24302
United States Senator,,Greg Ganske,Republican Party,county,BLACK HAWK,16475
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BLACK HAWK,476
United States Senator,,Richard J. Moore,Libertarian Party,county,BLACK HAWK,299
United States Senator,,Write-In Votes,,county,BLACK HAWK,40
United States Senator,,Totals,,county,BLACK HAWK,41592
United States Senator,,Tom Harkin,Democratic Party,county,BOONE,5902
United States Senator,,Greg Ganske,Republican Party,county,BOONE,3852
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BOONE,100
United States Senator,,Richard J. Moore,Libertarian Party,county,BOONE,83
United States Senator,,Write-In Votes,,county,BOONE,8
United States Senator,,Totals,,county,BOONE,9945
United States Senator,,Tom Harkin,Democratic Party,county,BREMER,4307
United States Senator,,Greg Ganske,Republican Party,county,BREMER,3969
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BREMER,96
United States Senator,,Richard J. Moore,Libertarian Party,county,BREMER,43
United States Senator,,Write-In Votes,,county,BREMER,11
United States Senator,,Totals,,county,BREMER,8426
United States Senator,,Tom Harkin,Democratic Party,county,BUCHANAN,4285
United States Senator,,Greg Ganske,Republican Party,county,BUCHANAN,2838
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BUCHANAN,86
United States Senator,,Richard J. Moore,Libertarian Party,county,BUCHANAN,44
United States Senator,,Write-In Votes,,county,BUCHANAN,11
United States Senator,,Totals,,county,BUCHANAN,7264
United States Senator,,Tom Harkin,Democratic Party,county,BUENA VISTA,3023
United States Senator,,Greg Ganske,Republican Party,county,BUENA VISTA,2779
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BUENA VISTA,53
United States Senator,,Richard J. Moore,Libertarian Party,county,BUENA VISTA,45
United States Senator,,Write-In Votes,,county,BUENA VISTA,0
United States Senator,,Totals,,county,BUENA VISTA,5900
United States Senator,,Tom Harkin,Democratic Party,county,BUTLER,2290
United States Senator,,Greg Ganske,Republican Party,county,BUTLER,2510
United States Senator,,Timothy A. Harthan,Iowa Green Party,county,BUTLER,59
