office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
State Senator,22,Charles Schneider,Republican,county,Dallas,,2509
State Senator,22,Desmund Adams,Democratic,county,Dallas,,1406
State Senator,22,Write-In,,county,Dallas,,3
State Senator,22,Under Votes,,county,Dallas,,1
State Senator,22,Over Votes,,county,Dallas,,0
State Senator,22,Total,,county,Dallas,,3919
State Senator,22,Charles Schneider,Republican,county,Polk,,2869
State Senator,22,Desmund Adams,Democratic,county,Polk,,2730
State Senator,22,Write-In,,county,Polk,,5
State Senator,22,Under Votes,,county,Polk,,0
State Senator,22,Over Votes,,county,Polk,,0
State Senator,22,Total,,county,Polk,,5604
State Senator,22,Charles Schneider,Republican,county,Total,,5378
State Senator,22,Desmund Adams,Democratic,county,Total,,4136
State Senator,22,Write-In,,county,Total,,8
State Senator,22,Under Votes,,county,Total,,1
State Senator,22,Over Votes,,county,Total,,0
State Senator,22,Total,,county,Total,,9523
