office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,33,Michael Young,Republican,county,Polk,369
State Representative,33,Brian Meyer,Democratic,county,Polk,1410
State Representative,33,Write-In,,county,Polk,2
State Representative,33,Under Votes,,county,Polk,0
State Representative,33,Over Votes,,county,Polk,1
State Representative,33,Total,,county,Polk,1782
State Representative,33,Michael Young,Republican,county,Total,369
State Representative,33,Brian Meyer,Democratic,county,Total,1410
State Representative,33,Write-In,,county,Total,2
State Representative,33,Under Votes,,county,Total,0
State Representative,33,Over Votes,,county,Total,1
State Representative,33,Total,,county,Total,1782
