office,district,candidate,party,reporting_level,jurisdiction,votes
State Senator,13,Julian Garrett,Republican,county,Madison,1416
State Senator,13,Mark Davitt,Democratic,county,Madison,730
State Senator,13,Write-In,,county,Madison,0
State Senator,13,Under Votes,,county,Madison,0
State Senator,13,Over Votes,,county,Madison,0
State Senator,13,Total,,county,Madison,2146
State Senator,13,Julian Garrett,Republican,county,Warren,3492
State Senator,13,Mark Davitt,Democratic,county,Warren,2792
State Senator,13,Write-In,,county,Warren,11
State Senator,13,Under Votes,,county,Warren,0
State Senator,13,Over Votes,,county,Warren,0
State Senator,13,Total,,county,Warren,6295
State Senator,13,Julian Garrett,Republican,county,Total,4908
State Senator,13,Mark Davitt,Democratic,county,Total,3522
State Senator,13,Write-In,,county,Total,11
State Senator,13,Under Votes,,county,Total,0
State Senator,13,Over Votes,,county,Total,0
State Senator,13,Total,,county,Total,8441
