office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. Senate,,Tom Harkin,Democratic,county,ADAIR,138
U.S. Senate,,Write-In Votes,Democratic,county,ADAIR,0
U.S. Senate,,Totals,Democratic,county,ADAIR,138
U.S. Senate,,Tom Harkin,Democratic,county,ADAMS,198
U.S. Senate,,Write-In Votes,Democratic,county,ADAMS,0
U.S. Senate,,Totals,Democratic,county,ADAMS,198
U.S. Senate,,Tom Harkin,Democratic,county,ALLAMAKEE,193
U.S. Senate,,Write-In Votes,Democratic,county,ALLAMAKEE,0
U.S. Senate,,Totals,Democratic,county,ALLAMAKEE,193
U.S. Senate,,Tom Harkin,Democratic,county,APPANOOSE,380
U.S. Senate,,Write-In Votes,Democratic,county,APPANOOSE,0
U.S. Senate,,Totals,Democratic,county,APPANOOSE,380
U.S. Senate,,Tom Harkin,Democratic,county,AUDUBON,143
U.S. Senate,,Write-In Votes,Democratic,county,AUDUBON,0
U.S. Senate,,Totals,Democratic,county,AUDUBON,143
U.S. Senate,,Tom Harkin,Democratic,county,BENTON,589
U.S. Senate,,Write-In Votes,Democratic,county,BENTON,3
U.S. Senate,,Totals,Democratic,county,BENTON,592
U.S. Senate,,Tom Harkin,Democratic,county,BLACK HAWK,4788
U.S. Senate,,Write-In Votes,Democratic,county,BLACK HAWK,30
U.S. Senate,,Totals,Democratic,county,BLACK HAWK,4818
U.S. Senate,,Tom Harkin,Democratic,county,BOONE,887
U.S. Senate,,Write-In Votes,Democratic,county,BOONE,4
U.S. Senate,,Totals,Democratic,county,BOONE,891
U.S. Senate,,Tom Harkin,Democratic,county,BREMER,457
U.S. Senate,,Write-In Votes,Democratic,county,BREMER,4
U.S. Senate,,Totals,Democratic,county,BREMER,461
U.S. Senate,,Tom Harkin,Democratic,county,BUCHANAN,905
U.S. Senate,,Write-In Votes,Democratic,county,BUCHANAN,2
U.S. Senate,,Totals,Democratic,county,BUCHANAN,907
U.S. Senate,,Tom Harkin,Democratic,county,BUENA VISTA,261
U.S. Senate,,Write-In Votes,Democratic,county,BUENA VISTA,2
U.S. Senate,,Totals,Democratic,county,BUENA VISTA,263
U.S. Senate,,Tom Harkin,Democratic,county,BUTLER,236
U.S. Senate,,Write-In Votes,Democratic,county,BUTLER,1
U.S. Senate,,Totals,Democratic,county,BUTLER,237
U.S. Senate,,Tom Harkin,Democratic,county,CALHOUN,248
U.S. Senate,,Write-In Votes,Democratic,county,CALHOUN,1
U.S. Senate,,Totals,Democratic,county,CALHOUN,249
U.S. Senate,,Tom Harkin,Democratic,county,CARROLL,333
U.S. Senate,,Write-In Votes,Democratic,county,CARROLL,1
U.S. Senate,,Totals,Democratic,county,CARROLL,334
U.S. Senate,,Tom Harkin,Democratic,county,CASS,328
U.S. Senate,,Write-In Votes,Democratic,county,CASS,1
U.S. Senate,,Totals,Democratic,county,CASS,329
U.S. Senate,,Tom Harkin,Democratic,county,CEDAR,205
U.S. Senate,,Write-In Votes,Democratic,county,CEDAR,1
U.S. Senate,,Totals,Democratic,county,CEDAR,206
U.S. Senate,,Tom Harkin,Democratic,county,CERRO GORDO,1376
U.S. Senate,,Write-In Votes,Democratic,county,CERRO GORDO,14
U.S. Senate,,Totals,Democratic,county,CERRO GORDO,1390
U.S. Senate,,Tom Harkin,Democratic,county,CHEROKEE,224
U.S. Senate,,Write-In Votes,Democratic,county,CHEROKEE,0
U.S. Senate,,Totals,Democratic,county,CHEROKEE,224
U.S. Senate,,Tom Harkin,Democratic,county,CHICKASAW,355
U.S. Senate,,Write-In Votes,Democratic,county,CHICKASAW,3
U.S. Senate,,Totals,Democratic,county,CHICKASAW,358
U.S. Senate,,Tom Harkin,Democratic,county,CLARKE,574
U.S. Senate,,Write-In Votes,Democratic,county,CLARKE,0
U.S. Senate,,Totals,Democratic,county,CLARKE,574
U.S. Senate,,Tom Harkin,Democratic,county,CLAY,198
U.S. Senate,,Write-In Votes,Democratic,county,CLAY,1
U.S. Senate,,Totals,Democratic,county,CLAY,199
U.S. Senate,,Tom Harkin,Democratic,county,CLAYTON,555
U.S. Senate,,Write-In Votes,Democratic,county,CLAYTON,5
U.S. Senate,,Totals,Democratic,county,CLAYTON,560
U.S. Senate,,Tom Harkin,Democratic,county,CLINTON,1176
U.S. Senate,,Write-In Votes,Democratic,county,CLINTON,10
U.S. Senate,,Totals,Democratic,county,CLINTON,1186
U.S. Senate,,Tom Harkin,Democratic,county,CRAWFORD,348
U.S. Senate,,Write-In Votes,Democratic,county,CRAWFORD,0
U.S. Senate,,Totals,Democratic,county,CRAWFORD,348
U.S. Senate,,Tom Harkin,Democratic,county,DALLAS,739
U.S. Senate,,Write-In Votes,Democratic,county,DALLAS,7
U.S. Senate,,Totals,Democratic,county,DALLAS,746
U.S. Senate,,Tom Harkin,Democratic,county,DAVIS,978
