county,precinct,office,district,party,candidate,votes,absentee,election_day
Plymouth,Le Mars Convention Center 1,U.S. Senate,,DEM,Michael Franken,268,125,143
Plymouth,Le Mars Convention Center 2,U.S. Senate,,DEM,Michael Franken,347,158,189
Plymouth,Le Mars Convention Center 3,U.S. Senate,,DEM,Michael Franken,208,79,129
Plymouth,Courthouse Annex,U.S. Senate,,DEM,Michael Franken,112,55,57
Plymouth,Remsen Public Library,U.S. Senate,,DEM,Michael Franken,146,71,75
Plymouth,Brunsville Legion Club,U.S. Senate,,DEM,Michael Franken,102,40,62
Plymouth,Kissinger Community Center,U.S. Senate,,DEM,Michael Franken,128,41,87
Plymouth,Perry Township Hall,U.S. Senate,,DEM,Michael Franken,178,77,101
Plymouth,Hinton Community Center,U.S. Senate,,DEM,Michael Franken,172,58,114
Plymouth,Kingsley Community Center,U.S. Senate,,DEM,Michael Franken,164,42,122
Plymouth,Wesley United Methodist Church,U.S. Senate,,DEM,Michael Franken,228,45,183
Plymouth,Le Mars Convention Center 1,U.S. Senate,,REP,Chuck Grassley,733,263,470
Plymouth,Le Mars Convention Center 2,U.S. Senate,,REP,Chuck Grassley,1061,365,696
Plymouth,Le Mars Convention Center 3,U.S. Senate,,REP,Chuck Grassley,568,144,424
Plymouth,Courthouse Annex,U.S. Senate,,REP,Chuck Grassley,671,187,484
Plymouth,Remsen Public Library,U.S. Senate,,REP,Chuck Grassley,744,152,592
Plymouth,Brunsville Legion Club,U.S. Senate,,REP,Chuck Grassley,516,99,417
Plymouth,Kissinger Community Center,U.S. Senate,,REP,Chuck Grassley,581,94,487
Plymouth,Perry Township Hall,U.S. Senate,,REP,Chuck Grassley,614,136,478
Plymouth,Hinton Community Center,U.S. Senate,,REP,Chuck Grassley,732,108,624
Plymouth,Kingsley Community Center,U.S. Senate,,REP,Chuck Grassley,702,94,608
Plymouth,Wesley United Methodist Church,U.S. Senate,,REP,Chuck Grassley,728,77,651
Plymouth,Le Mars Convention Center 1,U.S. Senate,,,Write-in,1,0,1
Plymouth,Le Mars Convention Center 2,U.S. Senate,,,Write-in,2,0,2
Plymouth,Le Mars Convention Center 3,U.S. Senate,,,Write-in,1,0,1
Plymouth,Courthouse Annex,U.S. Senate,,,Write-in,2,0,2
Plymouth,Remsen Public Library,U.S. Senate,,,Write-in,0,0,0
Plymouth,Brunsville Legion Club,U.S. Senate,,,Write-in,0,0,0
Plymouth,Kissinger Community Center,U.S. Senate,,,Write-in,0,0,0
Plymouth,Perry Township Hall,U.S. Senate,,,Write-in,0,0,0
Plymouth,Hinton Community Center,U.S. Senate,,,Write-in,3,0,3
