county,precinct,office,district,party,candidate,votes,absentee,election_day
Appanoose,Centerville Ward 1,U.S. Senate,,REP,Chuck Grassley,414,118,296
Appanoose,Centerville Ward 2,U.S. Senate,,REP,Chuck Grassley,351,82,269
Appanoose,Centerville Ward 3,U.S. Senate,,REP,Chuck Grassley,370,87,283
Appanoose,Franklin-Pleasant,U.S. Senate,,REP,Chuck Grassley,214,38,176
Appanoose,Caldwell,U.S. Senate,,REP,Chuck Grassley,141,18,123
Appanoose,Taylor-Chariton,U.S. Senate,,REP,Chuck Grassley,339,62,277
Appanoose,Washington-Wells,U.S. Senate,,REP,Chuck Grassley,291,33,258
Appanoose,Walnut,U.S. Senate,,REP,Chuck Grassley,222,43,179
Appanoose,Johns-Independence,U.S. Senate,,REP,Chuck Grassley,251,55,196
Appanoose,Union-Udell,U.S. Senate,,REP,Chuck Grassley,251,29,222
Appanoose,Vermillion-Douglas-Sharon,U.S. Senate,,REP,Chuck Grassley,513,153,360
Appanoose,Centerville Ward 1,U.S. Senate,,DEM,Michael Franken,225,115,110
Appanoose,Centerville Ward 2,U.S. Senate,,DEM,Michael Franken,185,93,92
Appanoose,Centerville Ward 3,U.S. Senate,,DEM,Michael Franken,211,75,136
Appanoose,Franklin-Pleasant,U.S. Senate,,DEM,Michael Franken,71,41,30
Appanoose,Caldwell,U.S. Senate,,DEM,Michael Franken,39,12,27
Appanoose,Taylor-Chariton,U.S. Senate,,DEM,Michael Franken,122,35,87
Appanoose,Washington-Wells,U.S. Senate,,DEM,Michael Franken,82,18,64
Appanoose,Walnut,U.S. Senate,,DEM,Michael Franken,93,38,55
Appanoose,Johns-Independence,U.S. Senate,,DEM,Michael Franken,76,30,46
Appanoose,Union-Udell,U.S. Senate,,DEM,Michael Franken,64,24,40
Appanoose,Vermillion-Douglas-Sharon,U.S. Senate,,DEM,Michael Franken,181,112,69
Appanoose,Centerville Ward 1,U.S. Senate,,,Write-in,0,0,0
Appanoose,Centerville Ward 2,U.S. Senate,,,Write-in,0,0,0
Appanoose,Centerville Ward 3,U.S. Senate,,,Write-in,2,1,1
Appanoose,Franklin-Pleasant,U.S. Senate,,,Write-in,1,0,1
Appanoose,Caldwell,U.S. Senate,,,Write-in,0,0,0
Appanoose,Taylor-Chariton,U.S. Senate,,,Write-in,0,0,0
Appanoose,Washington-Wells,U.S. Senate,,,Write-in,0,0,0
Appanoose,Walnut,U.S. Senate,,,Write-in,1,0,1
Appanoose,Johns-Independence,U.S. Senate,,,Write-in,1,0,1
