county,precinct,office,district,party,candidate,votes,absentee,election_day
Black Hawk,Barclay/Benn/Lester/Dunkerton,U.S. Senate,,DEM,Michael Franken,318,106,212
Black Hawk,Big Creek/Spring Creek/La Port,U.S. Senate,,DEM,Michael Franken,423,140,283
Black Hawk,Black Hawk/Cedar Falls/Lincoln,U.S. Senate,,DEM,Michael Franken,173,81,92
Black Hawk,Cedar/Poyner2/Gilbertville,U.S. Senate,,DEM,Michael Franken,499,195,304
Black Hawk,CF 1-1,U.S. Senate,,DEM,Michael Franken,361,94,267
Black Hawk,CF 1-2,U.S. Senate,,DEM,Michael Franken,834,291,543
Black Hawk,CF 1-3,U.S. Senate,,DEM,Michael Franken,747,267,480
Black Hawk,CF 2-1,U.S. Senate,,DEM,Michael Franken,338,49,289
Black Hawk,CF 2-2,U.S. Senate,,DEM,Michael Franken,639,220,419
Black Hawk,CF 2-3,U.S. Senate,,DEM,Michael Franken,531,189,342
Black Hawk,CF 3-1,U.S. Senate,,DEM,Michael Franken,592,221,371
Black Hawk,CF 3-2,U.S. Senate,,DEM,Michael Franken,626,286,340
Black Hawk,CF 3-3,U.S. Senate,,DEM,Michael Franken,509,157,352
Black Hawk,CF 4-1,U.S. Senate,,DEM,Michael Franken,498,97,401
Black Hawk,CF 4-2,U.S. Senate,,DEM,Michael Franken,656,235,421
Black Hawk,CF 4-3,U.S. Senate,,DEM,Michael Franken,640,224,416
Black Hawk,CF 5-1,U.S. Senate,,DEM,Michael Franken,710,275,435
Black Hawk,CF 5-2,U.S. Senate,,DEM,Michael Franken,638,248,390
Black Hawk,CF 5-3,U.S. Senate,,DEM,Michael Franken,765,446,319
Black Hawk,Eagle/Orange,U.S. Senate,,DEM,Michael Franken,117,53,64
Black Hawk,Elk Run Heights,U.S. Senate,,DEM,Michael Franken,202,52,150
Black Hawk,Evansdale Ward 1,U.S. Senate,,DEM,Michael Franken,182,52,130
Black Hawk,Evansdale Ward 2,U.S. Senate,,DEM,Michael Franken,220,65,155
Black Hawk,Evansdale Ward 3,U.S. Senate,,DEM,Michael Franken,176,58,118
Black Hawk,Evansdale Ward 4,U.S. Senate,,DEM,Michael Franken,153,45,108
Black Hawk,Hudson,U.S. Senate,,DEM,Michael Franken,437,151,286
Black Hawk,Mt. Vernon,U.S. Senate,,DEM,Michael Franken,170,109,61
Black Hawk,Poyner 1/E.WL/Raymond/Fox/Jesu,U.S. Senate,,DEM,Michael Franken,398,180,218
Black Hawk,Union/Washington/Janesville,U.S. Senate,,DEM,Michael Franken,275,120,155
Black Hawk,WL 1-1,U.S. Senate,,DEM,Michael Franken,322,144,178
Black Hawk,WL 1-2,U.S. Senate,,DEM,Michael Franken,425,177,248
Black Hawk,WL 1-3,U.S. Senate,,DEM,Michael Franken,362,117,245
Black Hawk,WL 1-4,U.S. Senate,,DEM,Michael Franken,541,231,310
Black Hawk,WL 1-5,U.S. Senate,,DEM,Michael Franken,310,116,194
Black Hawk,WL 1-6,U.S. Senate,,DEM,Michael Franken,620,295,325
Black Hawk,WL 2-1,U.S. Senate,,DEM,Michael Franken,570,340,230
