county,precinct,office,district,party,candidate,votes,absentee,election_day
Clayton,BOARDMAN-HIGHLAND-READ,U.S. Senate,,REP,Chuck Grassley,591,152,439
Clayton,BUENA VISTA-MILLVILLE,U.S. Senate,,REP,Chuck Grassley,213,29,184
Clayton,CASS,U.S. Senate,,REP,Chuck Grassley,452,44,408
Clayton,CLAYTON-GARNAVILLO,U.S. Senate,,REP,Chuck Grassley,394,72,322
Clayton,COX CREEK-SPERRY,U.S. Senate,,REP,Chuck Grassley,279,49,230
Clayton,ELK-MALLORY-VOLGA,U.S. Senate,,REP,Chuck Grassley,343,40,303
Clayton,FARMERSBURG-WAGNER,U.S. Senate,,REP,Chuck Grassley,281,40,241
Clayton,GIARD-MONONA,U.S. Senate,,REP,Chuck Grassley,692,88,604
Clayton,GRAND MEADOW-MARION,U.S. Senate,,REP,Chuck Grassley,225,55,170
Clayton,JEFFERSON,U.S. Senate,,REP,Chuck Grassley,710,129,581
Clayton,LODOMILLO,U.S. Senate,,REP,Chuck Grassley,200,25,175
Clayton,MENDON,U.S. Senate,,REP,Chuck Grassley,459,79,380
Clayton,BOARDMAN-HIGHLAND-READ,U.S. Senate,,DEM,Michael Franken,454,216,238
Clayton,BUENA VISTA-MILLVILLE,U.S. Senate,,DEM,Michael Franken,124,46,78
Clayton,CASS,U.S. Senate,,DEM,Michael Franken,197,63,134
Clayton,CLAYTON-GARNAVILLO,U.S. Senate,,DEM,Michael Franken,154,50,104
Clayton,COX CREEK-SPERRY,U.S. Senate,,DEM,Michael Franken,119,60,59
Clayton,ELK-MALLORY-VOLGA,U.S. Senate,,DEM,Michael Franken,124,57,67
Clayton,FARMERSBURG-WAGNER,U.S. Senate,,DEM,Michael Franken,122,42,80
Clayton,GIARD-MONONA,U.S. Senate,,DEM,Michael Franken,301,73,228
Clayton,GRAND MEADOW-MARION,U.S. Senate,,DEM,Michael Franken,77,31,46
Clayton,JEFFERSON,U.S. Senate,,DEM,Michael Franken,437,130,307
Clayton,LODOMILLO,U.S. Senate,,DEM,Michael Franken,69,22,47
Clayton,MENDON,U.S. Senate,,DEM,Michael Franken,334,107,227
Clayton,BOARDMAN-HIGHLAND-READ,U.S. Senate,,,Write-in,0,0,0
Clayton,BUENA VISTA-MILLVILLE,U.S. Senate,,,Write-in,0,0,0
Clayton,CASS,U.S. Senate,,,Write-in,3,2,1
Clayton,CLAYTON-GARNAVILLO,U.S. Senate,,,Write-in,1,0,1
Clayton,COX CREEK-SPERRY,U.S. Senate,,,Write-in,0,0,0
Clayton,ELK-MALLORY-VOLGA,U.S. Senate,,,Write-in,0,0,0
Clayton,FARMERSBURG-WAGNER,U.S. Senate,,,Write-in,0,0,0
Clayton,GIARD-MONONA,U.S. Senate,,,Write-in,2,0,2
Clayton,GRAND MEADOW-MARION,U.S. Senate,,,Write-in,0,0,0
Clayton,JEFFERSON,U.S. Senate,,,Write-in,1,0,1
Clayton,LODOMILLO,U.S. Senate,,,Write-in,0,0,0
Clayton,MENDON,U.S. Senate,,,Write-in,2,0,2
Clayton,BOARDMAN-HIGHLAND-READ,U.S. House,2,REP,Ashley Hinson,582,149,433
Clayton,BUENA VISTA-MILLVILLE,U.S. House,2,REP,Ashley Hinson,221,31,190
Clayton,CASS,U.S. House,2,REP,Ashley Hinson,450,44,406
Clayton,CLAYTON-GARNAVILLO,U.S. House,2,REP,Ashley Hinson,396,69,327
Clayton,COX CREEK-SPERRY,U.S. House,2,REP,Ashley Hinson,286,53,233
Clayton,ELK-MALLORY-VOLGA,U.S. House,2,REP,Ashley Hinson,342,40,302
Clayton,FARMERSBURG-WAGNER,U.S. House,2,REP,Ashley Hinson,277,39,238
Clayton,GIARD-MONONA,U.S. House,2,REP,Ashley Hinson,698,88,610
Clayton,GRAND MEADOW-MARION,U.S. House,2,REP,Ashley Hinson,224,54,170
Clayton,JEFFERSON,U.S. House,2,REP,Ashley Hinson,705,124,581
Clayton,LODOMILLO,U.S. House,2,REP,Ashley Hinson,201,26,175
Clayton,MENDON,U.S. House,2,REP,Ashley Hinson,462,79,383
Clayton,BOARDMAN-HIGHLAND-READ,U.S. House,2,DEM,Liz Mathis,459,217,242
Clayton,BUENA VISTA-MILLVILLE,U.S. House,2,DEM,Liz Mathis,117,44,73
Clayton,CASS,U.S. House,2,DEM,Liz Mathis,201,65,136
Clayton,CLAYTON-GARNAVILLO,U.S. House,2,DEM,Liz Mathis,157,53,104
Clayton,COX CREEK-SPERRY,U.S. House,2,DEM,Liz Mathis,116,57,59
Clayton,ELK-MALLORY-VOLGA,U.S. House,2,DEM,Liz Mathis,127,58,69
Clayton,FARMERSBURG-WAGNER,U.S. House,2,DEM,Liz Mathis,126,44,82
Clayton,GIARD-MONONA,U.S. House,2,DEM,Liz Mathis,299,75,224
Clayton,GRAND MEADOW-MARION,U.S. House,2,DEM,Liz Mathis,79,32,47
Clayton,JEFFERSON,U.S. House,2,DEM,Liz Mathis,442,133,309
Clayton,LODOMILLO,U.S. House,2,DEM,Liz Mathis,68,22,46
Clayton,MENDON,U.S. House,2,DEM,Liz Mathis,337,108,229
Clayton,BOARDMAN-HIGHLAND-READ,U.S. House,2,,Write-in,1,0,1
Clayton,BUENA VISTA-MILLVILLE,U.S. House,2,,Write-in,0,0,0
Clayton,CASS,U.S. House,2,,Write-in,1,0,1
Clayton,CLAYTON-GARNAVILLO,U.S. House,2,,Write-in,0,0,0
Clayton,COX CREEK-SPERRY,U.S. House,2,,Write-in,0,0,0
Clayton,ELK-MALLORY-VOLGA,U.S. House,2,,Write-in,0,0,0
Clayton,FARMERSBURG-WAGNER,U.S. House,2,,Write-in,0,0,0
Clayton,GIARD-MONONA,U.S. House,2,,Write-in,1,0,1
Clayton,GRAND MEADOW-MARION,U.S. House,2,,Write-in,0,0,0
Clayton,JEFFERSON,U.S. House,2,,Write-in,1,1,0
Clayton,LODOMILLO,U.S. House,2,,Write-in,0,0,0
Clayton,MENDON,U.S. House,2,,Write-in,1,0,1
Clayton,BOARDMAN-HIGHLAND-READ,Governor,,REP,Kim Reynolds and Adam Gregg,635,168,467
Clayton,BUENA VISTA-MILLVILLE,Governor,,REP,Kim Reynolds and Adam Gregg,239,34,205
Clayton,CASS,Governor,,REP,Kim Reynolds and Adam Gregg,461,48,413
Clayton,CLAYTON-GARNAVILLO,Governor,,REP,Kim Reynolds and Adam Gregg,417,80,337
Clayton,COX CREEK-SPERRY,Governor,,REP,Kim Reynolds and Adam Gregg,303,58,245
