county,precinct,office,district,party,candidate,votes,absentee,election_day
Grundy,PRECINCT 1,U.S. Senate,,REP,Chuck Grassley,547,70,477
Grundy,PRECINCT 2,U.S. Senate,,REP,Chuck Grassley,226,57,169
Grundy,PRECINCT 3,U.S. Senate,,REP,Chuck Grassley,585,82,503
Grundy,PRECINCT 4,U.S. Senate,,REP,Chuck Grassley,405,64,341
Grundy,PRECINCT 5,U.S. Senate,,REP,Chuck Grassley,716,92,624
Grundy,PRECINCT 6,U.S. Senate,,REP,Chuck Grassley,784,132,652
Grundy,PRECINCT 7,U.S. Senate,,REP,Chuck Grassley,646,154,492
Grundy,PRECINCT 1,U.S. Senate,,DEM,Michael Franken,213,53,160
Grundy,PRECINCT 2,U.S. Senate,,DEM,Michael Franken,74,24,50
Grundy,PRECINCT 3,U.S. Senate,,DEM,Michael Franken,118,25,93
Grundy,PRECINCT 4,U.S. Senate,,DEM,Michael Franken,84,22,62
Grundy,PRECINCT 5,U.S. Senate,,DEM,Michael Franken,353,108,245
Grundy,PRECINCT 6,U.S. Senate,,DEM,Michael Franken,287,84,203
Grundy,PRECINCT 7,U.S. Senate,,DEM,Michael Franken,333,100,233
Grundy,PRECINCT 1,U.S. Senate,,,Write-in,1,0,1
Grundy,PRECINCT 2,U.S. Senate,,,Write-in,2,0,2
Grundy,PRECINCT 3,U.S. Senate,,,Write-in,1,0,1
Grundy,PRECINCT 4,U.S. Senate,,,Write-in,1,0,1
Grundy,PRECINCT 5,U.S. Senate,,,Write-in,1,0,1
Grundy,PRECINCT 6,U.S. Senate,,,Write-in,0,0,0
Grundy,PRECINCT 7,U.S. Senate,,,Write-in,1,0,1
Grundy,PRECINCT 1,U.S. House,2,REP,Ashley Hinson,532,65,467
Grundy,PRECINCT 2,U.S. House,2,REP,Ashley Hinson,216,47,169
Grundy,PRECINCT 3,U.S. House,2,REP,Ashley Hinson,585,81,504
Grundy,PRECINCT 4,U.S. House,2,REP,Ashley Hinson,406,67,339
Grundy,PRECINCT 5,U.S. House,2,REP,Ashley Hinson,700,90,610
Grundy,PRECINCT 6,U.S. House,2,REP,Ashley Hinson,774,126,648
Grundy,PRECINCT 7,U.S. House,2,REP,Ashley Hinson,649,145,504
Grundy,PRECINCT 1,U.S. House,2,DEM,Liz Mathis,223,55,168
Grundy,PRECINCT 2,U.S. House,2,DEM,Liz Mathis,85,34,51
Grundy,PRECINCT 3,U.S. House,2,DEM,Liz Mathis,118,25,93
Grundy,PRECINCT 4,U.S. House,2,DEM,Liz Mathis,85,22,63
Grundy,PRECINCT 5,U.S. House,2,DEM,Liz Mathis,368,110,258
Grundy,PRECINCT 6,U.S. House,2,DEM,Liz Mathis,295,90,205
Grundy,PRECINCT 7,U.S. House,2,DEM,Liz Mathis,331,109,222
Grundy,PRECINCT 1,U.S. House,2,,Write-in,1,0,1
Grundy,PRECINCT 2,U.S. House,2,,Write-in,1,0,1
Grundy,PRECINCT 3,U.S. House,2,,Write-in,1,0,1
Grundy,PRECINCT 4,U.S. House,2,,Write-in,0,0,0
Grundy,PRECINCT 5,U.S. House,2,,Write-in,2,0,2
Grundy,PRECINCT 6,U.S. House,2,,Write-in,0,0,0
Grundy,PRECINCT 7,U.S. House,2,,Write-in,0,0,0
Grundy,PRECINCT 1,Governor,,REP,Kim Reynolds and Adam Gregg,558,71,487
Grundy,PRECINCT 2,Governor,,REP,Kim Reynolds and Adam Gregg,231,56,175
Grundy,PRECINCT 3,Governor,,REP,Kim Reynolds and Adam Gregg,594,81,513
Grundy,PRECINCT 4,Governor,,REP,Kim Reynolds and Adam Gregg,408,67,341
Grundy,PRECINCT 5,Governor,,REP,Kim Reynolds and Adam Gregg,739,101,638
Grundy,PRECINCT 6,Governor,,REP,Kim Reynolds and Adam Gregg,820,142,678
Grundy,PRECINCT 7,Governor,,REP,Kim Reynolds and Adam Gregg,683,165,518
Grundy,PRECINCT 1,Governor,,DEM,Deidre DeJear and Eric Van Lancker,182,48,134
Grundy,PRECINCT 2,Governor,,DEM,Deidre DeJear and Eric Van Lancker,63,23,40
Grundy,PRECINCT 3,Governor,,DEM,Deidre DeJear and Eric Van Lancker,87,22,65
Grundy,PRECINCT 4,Governor,,DEM,Deidre DeJear and Eric Van Lancker,75,19,56
Grundy,PRECINCT 5,Governor,,DEM,Deidre DeJear and Eric Van Lancker,312,93,219
Grundy,PRECINCT 6,Governor,,DEM,Deidre DeJear and Eric Van Lancker,225,69,156
Grundy,PRECINCT 7,Governor,,DEM,Deidre DeJear and Eric Van Lancker,285,92,193
Grundy,PRECINCT 1,Governor,,LIB,Rick Stewart and Marco Battaglia,17,2,15
Grundy,PRECINCT 2,Governor,,LIB,Rick Stewart and Marco Battaglia,6,2,4
Grundy,PRECINCT 3,Governor,,LIB,Rick Stewart and Marco Battaglia,20,3,17
Grundy,PRECINCT 4,Governor,,LIB,Rick Stewart and Marco Battaglia,8,2,6
Grundy,PRECINCT 5,Governor,,LIB,Rick Stewart and Marco Battaglia,14,3,11
Grundy,PRECINCT 6,Governor,,LIB,Rick Stewart and Marco Battaglia,23,3,20
Grundy,PRECINCT 7,Governor,,LIB,Rick Stewart and Marco Battaglia,22,1,21
Grundy,PRECINCT 1,Governor,,,Write-in,1,0,1
Grundy,PRECINCT 2,Governor,,,Write-in,1,0,1
Grundy,PRECINCT 3,Governor,,,Write-in,1,0,1
Grundy,PRECINCT 4,Governor,,,Write-in,1,0,1
Grundy,PRECINCT 5,Governor,,,Write-in,2,0,2
Grundy,PRECINCT 6,Governor,,,Write-in,0,0,0
Grundy,PRECINCT 7,Governor,,,Write-in,0,0,0
Grundy,PRECINCT 1,Secretary of State,,REP,Paul D. Pate,573,78,495
Grundy,PRECINCT 2,Secretary of State,,REP,Paul D. Pate,245,62,183
Grundy,PRECINCT 3,Secretary of State,,REP,Paul D. Pate,613,85,528
Grundy,PRECINCT 4,Secretary of State,,REP,Paul D. Pate,417,68,349
Grundy,PRECINCT 5,Secretary of State,,REP,Paul D. Pate,775,111,664
Grundy,PRECINCT 6,Secretary of State,,REP,Paul D. Pate,834,147,687
Grundy,PRECINCT 7,Secretary of State,,REP,Paul D. Pate,720,174,546
Grundy,PRECINCT 1,Secretary of State,,DEM,Joel Miller,179,42,137
Grundy,PRECINCT 2,Secretary of State,,DEM,Joel Miller,54,17,37
Grundy,PRECINCT 3,Secretary of State,,DEM,Joel Miller,81,16,65
Grundy,PRECINCT 4,Secretary of State,,DEM,Joel Miller,68,21,47
Grundy,PRECINCT 5,Secretary of State,,DEM,Joel Miller,285,86,199
Grundy,PRECINCT 6,Secretary of State,,DEM,Joel Miller,226,69,157
Grundy,PRECINCT 7,Secretary of State,,DEM,Joel Miller,258,82,176
Grundy,PRECINCT 1,Secretary of State,,,Write-in,1,0,1
Grundy,PRECINCT 2,Secretary of State,,,Write-in,0,0,0
Grundy,PRECINCT 3,Secretary of State,,,Write-in,0,0,0
Grundy,PRECINCT 4,Secretary of State,,,Write-in,1,0,1
Grundy,PRECINCT 5,Secretary of State,,,Write-in,2,0,2
Grundy,PRECINCT 6,Secretary of State,,,Write-in,0,0,0
Grundy,PRECINCT 7,Secretary of State,,,Write-in,0,0,0
Grundy,PRECINCT 1,Auditor of State,,REP,Todd Halbur,482,55,427
Grundy,PRECINCT 2,Auditor of State,,REP,Todd Halbur,189,41,148
Grundy,PRECINCT 3,Auditor of State,,REP,Todd Halbur,508,57,451
Grundy,PRECINCT 4,Auditor of State,,REP,Todd Halbur,358,58,300
Grundy,PRECINCT 5,Auditor of State,,REP,Todd Halbur,611,68,543
Grundy,PRECINCT 6,Auditor of State,,REP,Todd Halbur,681,106,575
Grundy,PRECINCT 7,Auditor of State,,REP,Todd Halbur,556,130,426
Grundy,PRECINCT 1,Auditor of State,,DEM,Rob Sand,274,65,209
Grundy,PRECINCT 2,Auditor of State,,DEM,Rob Sand,100,35,65
Grundy,PRECINCT 3,Auditor of State,,DEM,Rob Sand,181,44,137
Grundy,PRECINCT 4,Auditor of State,,DEM,Rob Sand,128,29,99
Grundy,PRECINCT 5,Auditor of State,,DEM,Rob Sand,447,131,316
Grundy,PRECINCT 6,Auditor of State,,DEM,Rob Sand,369,104,265
Grundy,PRECINCT 7,Auditor of State,,DEM,Rob Sand,409,121,288
Grundy,PRECINCT 1,Auditor of State,,,Write-in,1,0,1
Grundy,PRECINCT 2,Auditor of State,,,Write-in,0,0,0
Grundy,PRECINCT 3,Auditor of State,,,Write-in,0,0,0
Grundy,PRECINCT 4,Auditor of State,,,Write-in,1,1,0
Grundy,PRECINCT 5,Auditor of State,,,Write-in,1,0,1
Grundy,PRECINCT 6,Auditor of State,,,Write-in,0,0,0
Grundy,PRECINCT 7,Auditor of State,,,Write-in,0,0,0
Grundy,PRECINCT 1,Treasurer of State,,REP,Roby Smith,483,49,434
Grundy,PRECINCT 2,Treasurer of State,,REP,Roby Smith,187,40,147
Grundy,PRECINCT 3,Treasurer of State,,REP,Roby Smith,542,61,481
Grundy,PRECINCT 4,Treasurer of State,,REP,Roby Smith,377,59,318
Grundy,PRECINCT 5,Treasurer of State,,REP,Roby Smith,660,80,580
Grundy,PRECINCT 6,Treasurer of State,,REP,Roby Smith,723,116,607
Grundy,PRECINCT 7,Treasurer of State,,REP,Roby Smith,601,133,468
Grundy,PRECINCT 1,Treasurer of State,,DEM,Michael L. Fitzgerald,267,68,199
Grundy,PRECINCT 2,Treasurer of State,,DEM,Michael L. Fitzgerald,96,33,63
Grundy,PRECINCT 3,Treasurer of State,,DEM,Michael L. Fitzgerald,151,41,110
Grundy,PRECINCT 4,Treasurer of State,,DEM,Michael L. Fitzgerald,110,29,81
Grundy,PRECINCT 5,Treasurer of State,,DEM,Michael L. Fitzgerald,391,118,273
Grundy,PRECINCT 6,Treasurer of State,,DEM,Michael L. Fitzgerald,326,93,233
Grundy,PRECINCT 7,Treasurer of State,,DEM,Michael L. Fitzgerald,368,119,249
Grundy,PRECINCT 1,Treasurer of State,,,Write-in,1,0,1
Grundy,PRECINCT 2,Treasurer of State,,,Write-in,0,0,0
Grundy,PRECINCT 3,Treasurer of State,,,Write-in,0,0,0
Grundy,PRECINCT 4,Treasurer of State,,,Write-in,0,0,0
Grundy,PRECINCT 5,Treasurer of State,,,Write-in,3,0,3
Grundy,PRECINCT 6,Treasurer of State,,,Write-in,0,0,0
Grundy,PRECINCT 7,Treasurer of State,,,Write-in,0,0,0
Grundy,PRECINCT 1,Secretary of Agriculture,,REP,Mike Naig,601,81,520
Grundy,PRECINCT 2,Secretary of Agriculture,,REP,Mike Naig,237,58,179
Grundy,PRECINCT 3,Secretary of Agriculture,,REP,Mike Naig,620,86,534
Grundy,PRECINCT 4,Secretary of Agriculture,,REP,Mike Naig,428,72,356
Grundy,PRECINCT 5,Secretary of Agriculture,,REP,Mike Naig,796,106,690
Grundy,PRECINCT 6,Secretary of Agriculture,,REP,Mike Naig,843,142,701
Grundy,PRECINCT 7,Secretary of Agriculture,,REP,Mike Naig,724,167,557
Grundy,PRECINCT 1,Secretary of Agriculture,,DEM,John Norwood,148,40,108
Grundy,PRECINCT 2,Secretary of Agriculture,,DEM,John Norwood,56,20,36
Grundy,PRECINCT 3,Secretary of Agriculture,,DEM,John Norwood,71,18,53
Grundy,PRECINCT 4,Secretary of Agriculture,,DEM,John Norwood,63,17,46
Grundy,PRECINCT 5,Secretary of Agriculture,,DEM,John Norwood,257,87,170
Grundy,PRECINCT 6,Secretary of Agriculture,,DEM,John Norwood,207,68,139
Grundy,PRECINCT 7,Secretary of Agriculture,,DEM,John Norwood,249,88,161
Grundy,PRECINCT 1,Secretary of Agriculture,,,Write-in,2,0,2
Grundy,PRECINCT 2,Secretary of Agriculture,,,Write-in,0,0,0
Grundy,PRECINCT 3,Secretary of Agriculture,,,Write-in,0,0,0
Grundy,PRECINCT 4,Secretary of Agriculture,,,Write-in,0,0,0
Grundy,PRECINCT 5,Secretary of Agriculture,,,Write-in,1,0,1
Grundy,PRECINCT 6,Secretary of Agriculture,,,Write-in,0,0,0
Grundy,PRECINCT 7,Secretary of Agriculture,,,Write-in,1,0,1
Grundy,PRECINCT 1,Attorney General,,REP,Brenna Bird,465,46,419
Grundy,PRECINCT 2,Attorney General,,REP,Brenna Bird,194,40,154
Grundy,PRECINCT 3,Attorney General,,REP,Brenna Bird,521,52,469
Grundy,PRECINCT 4,Attorney General,,REP,Brenna Bird,372,59,313
Grundy,PRECINCT 5,Attorney General,,REP,Brenna Bird,638,73,565
Grundy,PRECINCT 6,Attorney General,,REP,Brenna Bird,693,105,588
Grundy,PRECINCT 7,Attorney General,,REP,Brenna Bird,566,121,445
Grundy,PRECINCT 1,Attorney General,,DEM,Tom Miller,286,73,213
Grundy,PRECINCT 2,Attorney General,,DEM,Tom Miller,104,41,63
Grundy,PRECINCT 3,Attorney General,,DEM,Tom Miller,177,49,128
