county,precinct,office,district,party,candidate,votes,absentee,election_day
Dubuque,1 Rockdale United Methodist,U.S. Senate,,DEM,Michael Franken,621,261,360
Dubuque,2 Tri-State Blind,U.S. Senate,,DEM,Michael Franken,870,424,446
Dubuque,3 Area Residential Care,U.S. Senate,,DEM,Michael Franken,640,338,302
Dubuque,4 Dubuque County Fairgrounds,U.S. Senate,,DEM,Michael Franken,658,328,330
Dubuque,5 Resurrection Catholic Church,U.S. Senate,,DEM,Michael Franken,733,322,411
Dubuque,6 Summit Congregational Church,U.S. Senate,,DEM,Michael Franken,728,306,422
Dubuque,7 St. Peter Lutheran Church,U.S. Senate,,DEM,Michael Franken,639,367,272
Dubuque,8 Emmaus Bible College,U.S. Senate,,DEM,Michael Franken,630,307,323
Dubuque,9 Westminster Presbyterian Church,U.S. Senate,,DEM,Michael Franken,514,224,290
Dubuque,10 Westminster Presbyterian Church,U.S. Senate,,DEM,Michael Franken,520,208,312
Dubuque,11 U.A.W. Union Hall,U.S. Senate,,DEM,Michael Franken,498,225,273
Dubuque,12 Windsor Park,U.S. Senate,,DEM,Michael Franken,630,353,277
Dubuque,13 Comiskey Park,U.S. Senate,,DEM,Michael Franken,342,158,184
Dubuque,14 Sacred Heart Church,U.S. Senate,,DEM,Michael Franken,338,142,196
Dubuque,15 Holy Trinity Church,U.S. Senate,,DEM,Michael Franken,616,241,375
Dubuque,16 Elections Warehouse,U.S. Senate,,DEM,Michael Franken,334,140,194
Dubuque,17 St. John's Parish House,U.S. Senate,,DEM,Michael Franken,295,107,188
Dubuque,18 Dubuque Museum of Art,U.S. Senate,,DEM,Michael Franken,456,224,232
Dubuque,19 St. Elias Church,U.S. Senate,,DEM,Michael Franken,589,298,291
Dubuque,20 Fogarty Hall Center,U.S. Senate,,DEM,Michael Franken,862,405,457
Dubuque,21 Asbury City Hall,U.S. Senate,,DEM,Michael Franken,800,314,486
Dubuque,22 Dubuque County West Campus,U.S. Senate,,DEM,Michael Franken,711,322,389
Dubuque,23 Hope Evangelical Church,U.S. Senate,,DEM,Michael Franken,603,318,285
Dubuque,24 St. Joseph's Catholic Church,U.S. Senate,,DEM,Michael Franken,371,212,159
Dubuque,25 Holy Cross City Hall,U.S. Senate,,DEM,Michael Franken,102,43,59
Dubuque,26 New Vienna City Hall,U.S. Senate,,DEM,Michael Franken,418,208,210
Dubuque,27 Dyersville Social Center,U.S. Senate,,DEM,Michael Franken,211,69,142
Dubuque,28 Dyersville Social Center,U.S. Senate,,DEM,Michael Franken,182,73,109
Dubuque,29 Farley City Hall,U.S. Senate,,DEM,Michael Franken,402,140,262
Dubuque,30 Cascade City Gym,U.S. Senate,,DEM,Michael Franken,405,134,271
Dubuque,Epworth Council Chambers,U.S. Senate,,DEM,Michael Franken,453,157,296
Dubuque,32 Peosta Community Center,U.S. Senate,,DEM,Michael Franken,675,235,440
Dubuque,33 Swiss Valley Nature Center,U.S. Senate,,DEM,Michael Franken,601,306,295
Dubuque,Key West Fire Station,U.S. Senate,,DEM,Michael Franken,573,276,297
Dubuque,1 Rockdale United Methodist,U.S. Senate,,REP,Chuck Grassley,799,206,593
Dubuque,2 Tri-State Blind,U.S. Senate,,REP,Chuck Grassley,748,243,505
Dubuque,3 Area Residential Care,U.S. Senate,,REP,Chuck Grassley,469,168,301
Dubuque,4 Dubuque County Fairgrounds,U.S. Senate,,REP,Chuck Grassley,728,214,514
Dubuque,5 Resurrection Catholic Church,U.S. Senate,,REP,Chuck Grassley,759,175,584
Dubuque,6 Summit Congregational Church,U.S. Senate,,REP,Chuck Grassley,868,218,650
Dubuque,7 St. Peter Lutheran Church,U.S. Senate,,REP,Chuck Grassley,539,165,374
Dubuque,8 Emmaus Bible College,U.S. Senate,,REP,Chuck Grassley,526,133,393
Dubuque,9 Westminster Presbyterian Church,U.S. Senate,,REP,Chuck Grassley,381,97,284
Dubuque,10 Westminster Presbyterian Church,U.S. Senate,,REP,Chuck Grassley,358,97,261
Dubuque,11 U.A.W. Union Hall,U.S. Senate,,REP,Chuck Grassley,456,127,329
Dubuque,12 Windsor Park,U.S. Senate,,REP,Chuck Grassley,524,166,358
Dubuque,13 Comiskey Park,U.S. Senate,,REP,Chuck Grassley,347,51,296
Dubuque,14 Sacred Heart Church,U.S. Senate,,REP,Chuck Grassley,248,60,188
Dubuque,15 Holy Trinity Church,U.S. Senate,,REP,Chuck Grassley,462,81,381
Dubuque,16 Elections Warehouse,U.S. Senate,,REP,Chuck Grassley,197,62,135
Dubuque,17 St. John's Parish House,U.S. Senate,,REP,Chuck Grassley,177,29,148
Dubuque,18 Dubuque Museum of Art,U.S. Senate,,REP,Chuck Grassley,208,66,142
Dubuque,19 St. Elias Church,U.S. Senate,,REP,Chuck Grassley,387,96,291
Dubuque,20 Fogarty Hall Center,U.S. Senate,,REP,Chuck Grassley,676,180,496
Dubuque,21 Asbury City Hall,U.S. Senate,,REP,Chuck Grassley,778,176,602
Dubuque,22 Dubuque County West Campus,U.S. Senate,,REP,Chuck Grassley,930,227,703
Dubuque,23 Hope Evangelical Church,U.S. Senate,,REP,Chuck Grassley,1054,297,757
Dubuque,24 St. Joseph's Catholic Church,U.S. Senate,,REP,Chuck Grassley,733,202,531
Dubuque,25 Holy Cross City Hall,U.S. Senate,,REP,Chuck Grassley,279,44,235
Dubuque,26 New Vienna City Hall,U.S. Senate,,REP,Chuck Grassley,1106,215,891
Dubuque,27 Dyersville Social Center,U.S. Senate,,REP,Chuck Grassley,441,61,380
Dubuque,28 Dyersville Social Center,U.S. Senate,,REP,Chuck Grassley,486,92,394
Dubuque,29 Farley City Hall,U.S. Senate,,REP,Chuck Grassley,766,190,576
Dubuque,30 Cascade City Gym,U.S. Senate,,REP,Chuck Grassley,625,77,548
Dubuque,Epworth Council Chambers,U.S. Senate,,REP,Chuck Grassley,707,103,604
Dubuque,32 Peosta Community Center,U.S. Senate,,REP,Chuck Grassley,1004,189,815
Dubuque,33 Swiss Valley Nature Center,U.S. Senate,,REP,Chuck Grassley,1076,272,804
Dubuque,Key West Fire Station,U.S. Senate,,REP,Chuck Grassley,920,224,696
Dubuque,1 Rockdale United Methodist,U.S. Senate,,,Write-in,1,0,1
Dubuque,2 Tri-State Blind,U.S. Senate,,,Write-in,2,1,1
Dubuque,3 Area Residential Care,U.S. Senate,,,Write-in,1,1,0
Dubuque,4 Dubuque County Fairgrounds,U.S. Senate,,,Write-in,1,0,1
Dubuque,5 Resurrection Catholic Church,U.S. Senate,,,Write-in,1,1,0
Dubuque,6 Summit Congregational Church,U.S. Senate,,,Write-in,0,0,0
Dubuque,7 St. Peter Lutheran Church,U.S. Senate,,,Write-in,0,0,0
Dubuque,8 Emmaus Bible College,U.S. Senate,,,Write-in,1,0,1
Dubuque,9 Westminster Presbyterian Church,U.S. Senate,,,Write-in,1,0,1
Dubuque,10 Westminster Presbyterian Church,U.S. Senate,,,Write-in,3,1,2
Dubuque,11 U.A.W. Union Hall,U.S. Senate,,,Write-in,2,0,2
Dubuque,12 Windsor Park,U.S. Senate,,,Write-in,0,0,0
Dubuque,13 Comiskey Park,U.S. Senate,,,Write-in,1,0,1
Dubuque,14 Sacred Heart Church,U.S. Senate,,,Write-in,2,0,2
Dubuque,15 Holy Trinity Church,U.S. Senate,,,Write-in,4,0,4
Dubuque,16 Elections Warehouse,U.S. Senate,,,Write-in,0,0,0
Dubuque,17 St. John's Parish House,U.S. Senate,,,Write-in,2,0,2
Dubuque,18 Dubuque Museum of Art,U.S. Senate,,,Write-in,0,0,0
Dubuque,19 St. Elias Church,U.S. Senate,,,Write-in,1,0,1
Dubuque,20 Fogarty Hall Center,U.S. Senate,,,Write-in,2,0,2
Dubuque,21 Asbury City Hall,U.S. Senate,,,Write-in,4,0,4
Dubuque,22 Dubuque County West Campus,U.S. Senate,,,Write-in,2,1,1
Dubuque,23 Hope Evangelical Church,U.S. Senate,,,Write-in,0,0,0
Dubuque,24 St. Joseph's Catholic Church,U.S. Senate,,,Write-in,2,1,1
Dubuque,25 Holy Cross City Hall,U.S. Senate,,,Write-in,0,0,0
Dubuque,26 New Vienna City Hall,U.S. Senate,,,Write-in,1,0,1
Dubuque,27 Dyersville Social Center,U.S. Senate,,,Write-in,0,0,0
