county,precinct,office,district,party,candidate,votes,absentee,election_day
Crawford,Charter Oak,U.S. Senate,,REP,Chuck Grassley,290,44,246
Crawford,DCAB,U.S. Senate,,REP,Chuck Grassley,373,64,309
Crawford,Denison 1st Ward,U.S. Senate,,REP,Chuck Grassley,296,107,189
Crawford,Denison 2nd Ward / Denison TWP,U.S. Senate,,REP,Chuck Grassley,364,121,243
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. Senate,,REP,Chuck Grassley,547,185,362
Crawford,Northeast,U.S. Senate,,REP,Chuck Grassley,455,86,369
Crawford,Southeast,U.S. Senate,,REP,Chuck Grassley,505,99,406
Crawford,SRK,U.S. Senate,,REP,Chuck Grassley,459,70,389
Crawford,Charter Oak,U.S. Senate,,DEM,Michael Franken,69,21,48
Crawford,DCAB,U.S. Senate,,DEM,Michael Franken,122,34,88
Crawford,Denison 1st Ward,U.S. Senate,,DEM,Michael Franken,163,72,91
Crawford,Denison 2nd Ward / Denison TWP,U.S. Senate,,DEM,Michael Franken,150,71,79
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. Senate,,DEM,Michael Franken,197,79,118
Crawford,Northeast,U.S. Senate,,DEM,Michael Franken,119,50,69
Crawford,Southeast,U.S. Senate,,DEM,Michael Franken,166,78,88
Crawford,SRK,U.S. Senate,,DEM,Michael Franken,115,42,73
Crawford,Charter Oak,U.S. Senate,,,Write-in,0,0,0
Crawford,DCAB,U.S. Senate,,,Write-in,0,0,0
Crawford,Denison 1st Ward,U.S. Senate,,,Write-in,1,0,1
Crawford,Denison 2nd Ward / Denison TWP,U.S. Senate,,,Write-in,2,1,1
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. Senate,,,Write-in,1,1,0
Crawford,Northeast,U.S. Senate,,,Write-in,0,0,0
Crawford,Southeast,U.S. Senate,,,Write-in,0,0,0
Crawford,SRK,U.S. Senate,,,Write-in,0,0,0
Crawford,Charter Oak,U.S. House,4,REP,Randy Feenstra,284,43,241
Crawford,DCAB,U.S. House,4,REP,Randy Feenstra,365,62,303
Crawford,Denison 1st Ward,U.S. House,4,REP,Randy Feenstra,304,106,198
Crawford,Denison 2nd Ward / Denison TWP,U.S. House,4,REP,Randy Feenstra,370,125,245
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. House,4,REP,Randy Feenstra,533,177,356
Crawford,Northeast,U.S. House,4,REP,Randy Feenstra,457,88,369
Crawford,Southeast,U.S. House,4,REP,Randy Feenstra,504,108,396
Crawford,SRK,U.S. House,4,REP,Randy Feenstra,450,68,382
Crawford,Charter Oak,U.S. House,4,DEM,Ryan Melton,61,20,41
Crawford,DCAB,U.S. House,4,DEM,Ryan Melton,105,33,72
Crawford,Denison 1st Ward,U.S. House,4,DEM,Ryan Melton,142,64,78
Crawford,Denison 2nd Ward / Denison TWP,U.S. House,4,DEM,Ryan Melton,130,63,67
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. House,4,DEM,Ryan Melton,161,74,87
Crawford,Northeast,U.S. House,4,DEM,Ryan Melton,104,45,59
Crawford,Southeast,U.S. House,4,DEM,Ryan Melton,116,61,55
Crawford,SRK,U.S. House,4,DEM,Ryan Melton,99,39,60
Crawford,Charter Oak,U.S. House,4,LBC,Bryan Jack Holder,11,1,10
Crawford,DCAB,U.S. House,4,LBC,Bryan Jack Holder,6,0,6
Crawford,Denison 1st Ward,U.S. House,4,LBC,Bryan Jack Holder,3,1,2
Crawford,Denison 2nd Ward / Denison TWP,U.S. House,4,LBC,Bryan Jack Holder,14,5,9
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. House,4,LBC,Bryan Jack Holder,20,7,13
Crawford,Northeast,U.S. House,4,LBC,Bryan Jack Holder,7,0,7
Crawford,Southeast,U.S. House,4,LBC,Bryan Jack Holder,21,2,19
Crawford,SRK,U.S. House,4,LBC,Bryan Jack Holder,16,2,14
Crawford,Charter Oak,U.S. House,4,,Write-in,0,0,0
Crawford,DCAB,U.S. House,4,,Write-in,1,0,1
Crawford,Denison 1st Ward,U.S. House,4,,Write-in,1,1,0
Crawford,Denison 2nd Ward / Denison TWP,U.S. House,4,,Write-in,1,0,1
Crawford,Denison 3rd Ward / Goodrich TWP,U.S. House,4,,Write-in,1,0,1
Crawford,Northeast,U.S. House,4,,Write-in,0,0,0
Crawford,Southeast,U.S. House,4,,Write-in,1,0,1
Crawford,SRK,U.S. House,4,,Write-in,1,0,1
Crawford,Charter Oak,Governor,,REP,Kim Reynolds and Adam Gregg,295,44,251
Crawford,DCAB,Governor,,REP,Kim Reynolds and Adam Gregg,398,70,328
Crawford,Denison 1st Ward,Governor,,REP,Kim Reynolds and Adam Gregg,324,114,210
Crawford,Denison 2nd Ward / Denison TWP,Governor,,REP,Kim Reynolds and Adam Gregg,392,126,266
Crawford,Denison 3rd Ward / Goodrich TWP,Governor,,REP,Kim Reynolds and Adam Gregg,578,185,393
Crawford,Northeast,Governor,,REP,Kim Reynolds and Adam Gregg,485,96,389
Crawford,Southeast,Governor,,REP,Kim Reynolds and Adam Gregg,560,119,441
Crawford,SRK,Governor,,REP,Kim Reynolds and Adam Gregg,472,72,400
Crawford,Charter Oak,Governor,,DEM,Deidre DeJear and Eric Van Lancker,59,19,40
Crawford,DCAB,Governor,,DEM,Deidre DeJear and Eric Van Lancker,96,28,68
Crawford,Denison 1st Ward,Governor,,DEM,Deidre DeJear and Eric Van Lancker,138,65,73
Crawford,Denison 2nd Ward / Denison TWP,Governor,,DEM,Deidre DeJear and Eric Van Lancker,126,66,60
Crawford,Denison 3rd Ward / Goodrich TWP,Governor,,DEM,Deidre DeJear and Eric Van Lancker,160,78,82
Crawford,Northeast,Governor,,DEM,Deidre DeJear and Eric Van Lancker,100,43,57
Crawford,Southeast,Governor,,DEM,Deidre DeJear and Eric Van Lancker,110,61,49
Crawford,SRK,Governor,,DEM,Deidre DeJear and Eric Van Lancker,87,37,50
Crawford,Charter Oak,Governor,,LIB,Rick Stewart and Marco Battaglia,11,3,8
Crawford,DCAB,Governor,,LIB,Rick Stewart and Marco Battaglia,5,0,5
Crawford,Denison 1st Ward,Governor,,LIB,Rick Stewart and Marco Battaglia,12,6,6
Crawford,Denison 2nd Ward / Denison TWP,Governor,,LIB,Rick Stewart and Marco Battaglia,14,7,7
Crawford,Denison 3rd Ward / Goodrich TWP,Governor,,LIB,Rick Stewart and Marco Battaglia,12,4,8
Crawford,Northeast,Governor,,LIB,Rick Stewart and Marco Battaglia,3,0,3
Crawford,Southeast,Governor,,LIB,Rick Stewart and Marco Battaglia,13,1,12
Crawford,SRK,Governor,,LIB,Rick Stewart and Marco Battaglia,15,3,12
Crawford,Charter Oak,Governor,,,Write-in,0,0,0
Crawford,DCAB,Governor,,,Write-in,0,0,0
Crawford,Denison 1st Ward,Governor,,,Write-in,1,0,1
Crawford,Denison 2nd Ward / Denison TWP,Governor,,,Write-in,0,0,0
Crawford,Denison 3rd Ward / Goodrich TWP,Governor,,,Write-in,0,0,0
Crawford,Northeast,Governor,,,Write-in,0,0,0
Crawford,Southeast,Governor,,,Write-in,0,0,0
Crawford,SRK,Governor,,,Write-in,0,0,0
Crawford,Charter Oak,Secretary of State,,REP,Paul D. Pate,289,45,244
Crawford,DCAB,Secretary of State,,REP,Paul D. Pate,365,62,303
Crawford,Denison 1st Ward,Secretary of State,,REP,Paul D. Pate,307,104,203
Crawford,Denison 2nd Ward / Denison TWP,Secretary of State,,REP,Paul D. Pate,375,122,253
Crawford,Denison 3rd Ward / Goodrich TWP,Secretary of State,,REP,Paul D. Pate,539,173,366
Crawford,Northeast,Secretary of State,,REP,Paul D. Pate,464,94,370
Crawford,Southeast,Secretary of State,,REP,Paul D. Pate,507,102,405
Crawford,SRK,Secretary of State,,REP,Paul D. Pate,447,69,378
Crawford,Charter Oak,Secretary of State,,DEM,Joel Miller,68,19,49
Crawford,DCAB,Secretary of State,,DEM,Joel Miller,119,33,86
Crawford,Denison 1st Ward,Secretary of State,,DEM,Joel Miller,153,74,79
Crawford,Denison 2nd Ward / Denison TWP,Secretary of State,,DEM,Joel Miller,136,72,64
Crawford,Denison 3rd Ward / Goodrich TWP,Secretary of State,,DEM,Joel Miller,182,82,100
Crawford,Northeast,Secretary of State,,DEM,Joel Miller,110,40,70
Crawford,Southeast,Secretary of State,,DEM,Joel Miller,140,70,70
Crawford,SRK,Secretary of State,,DEM,Joel Miller,110,38,72
Crawford,Charter Oak,Secretary of State,,,Write-in,0,0,0
Crawford,DCAB,Secretary of State,,,Write-in,0,0,0
Crawford,Denison 1st Ward,Secretary of State,,,Write-in,1,0,1
