county,precinct,office,district,party,candidate,votes,absentee,election_day
Montgomery,Gold Fair Building Ward #1,U.S. Senate,,DEM,Michael Franken,198,77,121
Montgomery,Gold Fair Building Ward #2,U.S. Senate,,DEM,Michael Franken,184,62,122
Montgomery,First Christian Church Ward #3,U.S. Senate,,DEM,Michael Franken,234,64,170
Montgomery,Elliott Community Building Precinct #4,U.S. Senate,,DEM,Michael Franken,79,33,46
Montgomery,Elliott Community Building Precinct #5,U.S. Senate,,DEM,Michael Franken,27,11,16
Montgomery,Stanton Community Building Precinct #6,U.S. Senate,,DEM,Michael Franken,118,39,79
Montgomery,Villisca Community Building Precinct #7,U.S. Senate,,DEM,Michael Franken,164,61,103
Montgomery,Gold Fair Building Ward #1,U.S. Senate,,REP,Chuck Grassley,387,65,322
Montgomery,Gold Fair Building Ward #2,U.S. Senate,,REP,Chuck Grassley,339,73,266
Montgomery,First Christian Church Ward #3,U.S. Senate,,REP,Chuck Grassley,532,122,410
Montgomery,Elliott Community Building Precinct #4,U.S. Senate,,REP,Chuck Grassley,298,52,246
Montgomery,Elliott Community Building Precinct #5,U.S. Senate,,REP,Chuck Grassley,89,13,76
Montgomery,Stanton Community Building Precinct #6,U.S. Senate,,REP,Chuck Grassley,385,88,297
Montgomery,Villisca Community Building Precinct #7,U.S. Senate,,REP,Chuck Grassley,479,76,403
Montgomery,Gold Fair Building Ward #1,U.S. Senate,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,U.S. Senate,,,Write-in,2,0,2
Montgomery,First Christian Church Ward #3,U.S. Senate,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #4,U.S. Senate,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,U.S. Senate,,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,U.S. Senate,,,Write-in,1,0,1
Montgomery,Villisca Community Building Precinct #7,U.S. Senate,,,Write-in,2,1,1
Montgomery,Gold Fair Building Ward #1,U.S. House,3,DEM,Cindy Axne,224,79,145
Montgomery,Gold Fair Building Ward #2,U.S. House,3,DEM,Cindy Axne,209,68,141
Montgomery,First Christian Church Ward #3,U.S. House,3,DEM,Cindy Axne,267,82,185
Montgomery,Elliott Community Building Precinct #4,U.S. House,3,DEM,Cindy Axne,86,37,49
Montgomery,Elliott Community Building Precinct #5,U.S. House,3,DEM,Cindy Axne,27,10,17
Montgomery,Stanton Community Building Precinct #6,U.S. House,3,DEM,Cindy Axne,146,48,98
Montgomery,Villisca Community Building Precinct #7,U.S. House,3,DEM,Cindy Axne,196,61,135
Montgomery,Gold Fair Building Ward #1,U.S. House,3,REP,Zach Nunn,360,61,299
Montgomery,Gold Fair Building Ward #2,U.S. House,3,REP,Zach Nunn,319,67,252
Montgomery,First Christian Church Ward #3,U.S. House,3,REP,Zach Nunn,497,103,394
Montgomery,Elliott Community Building Precinct #4,U.S. House,3,REP,Zach Nunn,288,47,241
Montgomery,Elliott Community Building Precinct #5,U.S. House,3,REP,Zach Nunn,90,14,76
Montgomery,Stanton Community Building Precinct #6,U.S. House,3,REP,Zach Nunn,350,73,277
Montgomery,Villisca Community Building Precinct #7,U.S. House,3,REP,Zach Nunn,447,74,373
Montgomery,Gold Fair Building Ward #1,U.S. House,3,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,U.S. House,3,,Write-in,0,0,0
Montgomery,First Christian Church Ward #3,U.S. House,3,,Write-in,1,0,1
Montgomery,Elliott Community Building Precinct #4,U.S. House,3,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,U.S. House,3,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,U.S. House,3,,Write-in,0,0,0
Montgomery,Villisca Community Building Precinct #7,U.S. House,3,,Write-in,2,1,1
Montgomery,Gold Fair Building Ward #1,Governor,,DEM,Deidre DeJear and Eric Van Lancker,174,73,101
Montgomery,Gold Fair Building Ward #2,Governor,,DEM,Deidre DeJear and Eric Van Lancker,165,55,110
Montgomery,First Christian Church Ward #3,Governor,,DEM,Deidre DeJear and Eric Van Lancker,198,57,141
Montgomery,Elliott Community Building Precinct #4,Governor,,DEM,Deidre DeJear and Eric Van Lancker,64,32,32
Montgomery,Elliott Community Building Precinct #5,Governor,,DEM,Deidre DeJear and Eric Van Lancker,21,10,11
Montgomery,Stanton Community Building Precinct #6,Governor,,DEM,Deidre DeJear and Eric Van Lancker,102,38,64
Montgomery,Villisca Community Building Precinct #7,Governor,,DEM,Deidre DeJear and Eric Van Lancker,147,55,92
Montgomery,Gold Fair Building Ward #1,Governor,,REP,Kim Reynolds and Adam Gregg,400,68,332
Montgomery,Gold Fair Building Ward #2,Governor,,REP,Kim Reynolds and Adam Gregg,358,79,279
Montgomery,First Christian Church Ward #3,Governor,,REP,Kim Reynolds and Adam Gregg,551,127,424
Montgomery,Elliott Community Building Precinct #4,Governor,,REP,Kim Reynolds and Adam Gregg,309,53,256
Montgomery,Elliott Community Building Precinct #5,Governor,,REP,Kim Reynolds and Adam Gregg,93,13,80
Montgomery,Stanton Community Building Precinct #6,Governor,,REP,Kim Reynolds and Adam Gregg,394,84,310
Montgomery,Villisca Community Building Precinct #7,Governor,,REP,Kim Reynolds and Adam Gregg,497,82,415
Montgomery,Gold Fair Building Ward #1,Governor,,LIB,Rick Stewart and Marco Battaglia,17,5,12
Montgomery,Gold Fair Building Ward #2,Governor,,LIB,Rick Stewart and Marco Battaglia,11,2,9
Montgomery,First Christian Church Ward #3,Governor,,LIB,Rick Stewart and Marco Battaglia,22,3,19
Montgomery,Elliott Community Building Precinct #4,Governor,,LIB,Rick Stewart and Marco Battaglia,8,1,7
Montgomery,Elliott Community Building Precinct #5,Governor,,LIB,Rick Stewart and Marco Battaglia,3,0,3
Montgomery,Stanton Community Building Precinct #6,Governor,,LIB,Rick Stewart and Marco Battaglia,8,2,6
Montgomery,Villisca Community Building Precinct #7,Governor,,LIB,Rick Stewart and Marco Battaglia,12,2,10
Montgomery,Gold Fair Building Ward #1,Governor,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,Governor,,,Write-in,0,0,0
Montgomery,First Christian Church Ward #3,Governor,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #4,Governor,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,Governor,,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,Governor,,,Write-in,0,0,0
Montgomery,Villisca Community Building Precinct #7,Governor,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #1,Secretary of State,,DEM,Joel Miller,196,81,115
Montgomery,Gold Fair Building Ward #2,Secretary of State,,DEM,Joel Miller,175,61,114
Montgomery,First Christian Church Ward #3,Secretary of State,,DEM,Joel Miller,217,69,148
Montgomery,Elliott Community Building Precinct #4,Secretary of State,,DEM,Joel Miller,73,36,37
Montgomery,Elliott Community Building Precinct #5,Secretary of State,,DEM,Joel Miller,24,10,14
Montgomery,Stanton Community Building Precinct #6,Secretary of State,,DEM,Joel Miller,112,38,74
Montgomery,Villisca Community Building Precinct #7,Secretary of State,,DEM,Joel Miller,145,51,94
Montgomery,Gold Fair Building Ward #1,Secretary of State,,REP,Paul D. Pate,385,61,324
Montgomery,Gold Fair Building Ward #2,Secretary of State,,REP,Paul D. Pate,352,75,277
Montgomery,First Christian Church Ward #3,Secretary of State,,REP,Paul D. Pate,539,113,426
Montgomery,Elliott Community Building Precinct #4,Secretary of State,,REP,Paul D. Pate,304,51,253
Montgomery,Elliott Community Building Precinct #5,Secretary of State,,REP,Paul D. Pate,92,14,78
Montgomery,Stanton Community Building Precinct #6,Secretary of State,,REP,Paul D. Pate,382,83,299
Montgomery,Villisca Community Building Precinct #7,Secretary of State,,REP,Paul D. Pate,492,84,408
Montgomery,Gold Fair Building Ward #1,Secretary of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,Secretary of State,,,Write-in,0,0,0
Montgomery,First Christian Church Ward #3,Secretary of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #4,Secretary of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,Secretary of State,,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,Secretary of State,,,Write-in,0,0,0
Montgomery,Villisca Community Building Precinct #7,Secretary of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #1,Auditor of State,,DEM,Rob Sand,206,81,125
Montgomery,Gold Fair Building Ward #2,Auditor of State,,DEM,Rob Sand,197,70,127
Montgomery,First Christian Church Ward #3,Auditor of State,,DEM,Rob Sand,236,66,170
Montgomery,Elliott Community Building Precinct #4,Auditor of State,,DEM,Rob Sand,83,36,47
Montgomery,Elliott Community Building Precinct #5,Auditor of State,,DEM,Rob Sand,24,11,13
Montgomery,Stanton Community Building Precinct #6,Auditor of State,,DEM,Rob Sand,132,45,87
Montgomery,Villisca Community Building Precinct #7,Auditor of State,,DEM,Rob Sand,179,60,119
Montgomery,Gold Fair Building Ward #1,Auditor of State,,REP,Todd Halbur,372,61,311
Montgomery,Gold Fair Building Ward #2,Auditor of State,,REP,Todd Halbur,330,63,267
Montgomery,First Christian Church Ward #3,Auditor of State,,REP,Todd Halbur,511,110,401
Montgomery,Elliott Community Building Precinct #4,Auditor of State,,REP,Todd Halbur,293,50,243
Montgomery,Elliott Community Building Precinct #5,Auditor of State,,REP,Todd Halbur,91,12,79
Montgomery,Stanton Community Building Precinct #6,Auditor of State,,REP,Todd Halbur,354,74,280
Montgomery,Villisca Community Building Precinct #7,Auditor of State,,REP,Todd Halbur,455,76,379
Montgomery,Gold Fair Building Ward #1,Auditor of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,Auditor of State,,,Write-in,0,0,0
Montgomery,First Christian Church Ward #3,Auditor of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #4,Auditor of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,Auditor of State,,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,Auditor of State,,,Write-in,0,0,0
Montgomery,Villisca Community Building Precinct #7,Auditor of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #1,Treasurer of State,,DEM,Michael L. Fitzgerald,214,82,132
Montgomery,Gold Fair Building Ward #2,Treasurer of State,,DEM,Michael L. Fitzgerald,205,75,130
Montgomery,First Christian Church Ward #3,Treasurer of State,,DEM,Michael L. Fitzgerald,258,73,185
Montgomery,Elliott Community Building Precinct #4,Treasurer of State,,DEM,Michael L. Fitzgerald,92,38,54
Montgomery,Elliott Community Building Precinct #5,Treasurer of State,,DEM,Michael L. Fitzgerald,32,12,20
Montgomery,Stanton Community Building Precinct #6,Treasurer of State,,DEM,Michael L. Fitzgerald,151,52,99
Montgomery,Villisca Community Building Precinct #7,Treasurer of State,,DEM,Michael L. Fitzgerald,216,66,150
Montgomery,Gold Fair Building Ward #1,Treasurer of State,,REP,Roby Smith,366,61,305
Montgomery,Gold Fair Building Ward #2,Treasurer of State,,REP,Roby Smith,319,60,259
Montgomery,First Christian Church Ward #3,Treasurer of State,,REP,Roby Smith,488,103,385
Montgomery,Elliott Community Building Precinct #4,Treasurer of State,,REP,Roby Smith,280,48,232
Montgomery,Elliott Community Building Precinct #5,Treasurer of State,,REP,Roby Smith,82,11,71
Montgomery,Stanton Community Building Precinct #6,Treasurer of State,,REP,Roby Smith,341,65,276
Montgomery,Villisca Community Building Precinct #7,Treasurer of State,,REP,Roby Smith,422,70,352
Montgomery,Gold Fair Building Ward #1,Treasurer of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #2,Treasurer of State,,,Write-in,0,0,0
Montgomery,First Christian Church Ward #3,Treasurer of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #4,Treasurer of State,,,Write-in,0,0,0
Montgomery,Elliott Community Building Precinct #5,Treasurer of State,,,Write-in,0,0,0
Montgomery,Stanton Community Building Precinct #6,Treasurer of State,,,Write-in,0,0,0
Montgomery,Villisca Community Building Precinct #7,Treasurer of State,,,Write-in,0,0,0
Montgomery,Gold Fair Building Ward #1,Secretary of Agriculture,,DEM,John Norwood,189,79,110
Montgomery,Gold Fair Building Ward #2,Secretary of Agriculture,,DEM,John Norwood,163,60,103
Montgomery,First Christian Church Ward #3,Secretary of Agriculture,,DEM,John Norwood,199,60,139
Montgomery,Elliott Community Building Precinct #4,Secretary of Agriculture,,DEM,John Norwood,66,29,37
Montgomery,Elliott Community Building Precinct #5,Secretary of Agriculture,,DEM,John Norwood,23,11,12
Montgomery,Stanton Community Building Precinct #6,Secretary of Agriculture,,DEM,John Norwood,95,33,62
Montgomery,Villisca Community Building Precinct #7,Secretary of Agriculture,,DEM,John Norwood,152,54,98
Montgomery,Gold Fair Building Ward #1,Secretary of Agriculture,,REP,Mike Naig,389,64,325
Montgomery,Gold Fair Building Ward #2,Secretary of Agriculture,,REP,Mike Naig,363,73,290
Montgomery,First Christian Church Ward #3,Secretary of Agriculture,,REP,Mike Naig,552,122,430
Montgomery,Elliott Community Building Precinct #4,Secretary of Agriculture,,REP,Mike Naig,313,58,255
Montgomery,Elliott Community Building Precinct #5,Secretary of Agriculture,,REP,Mike Naig,94,13,81
Montgomery,Stanton Community Building Precinct #6,Secretary of Agriculture,,REP,Mike Naig,397,89,308
