office,candidate,party,county,votes
President/Vice President,Clark / Koch,Libertarian,BUENA VISTA,144
President/Vice President,Greaves / Varnum,American,BUENA VISTA,4
President/Vice President,Carter / Mondale,Democratic,BUENA VISTA,3468
President/Vice President,De Berry / Zimmerman,Socialist Workers,BUENA VISTA,0
President/Vice President,Reagan / Bush,Republican,BUENA VISTA,5272
President/Vice President,Hall / Davis,Communist,BUENA VISTA,1
President/Vice President,Commoner / Harris,Citizens,BUENA VISTA,8
President/Vice President,Bubar / Dodge,Statesman,BUENA VISTA,0
President/Vice President,Anderson / Lucey,Nominated by Petition,BUENA VISTA,771
President/Vice President,McReynolds / Drufenbrock,Socialist,BUTLER,0
President/Vice President,Clark / Koch,Libertarian,BUTLER,56
President/Vice President,Greaves / Varnum,American,BUTLER,0
President/Vice President,Carter / Mondale,Democratic,BUTLER,1990
President/Vice President,De Berry / Zimmerman,Socialist Workers,BUTLER,3
President/Vice President,Reagan / Bush,Republican,BUTLER,4730
President/Vice President,Hall / Davis,Communist,BUTLER,0
President/Vice President,Commoner / Harris,Citizens,BUTLER,5
President/Vice President,Bubar / Dodge,Statesman,BUTLER,1
President/Vice President,Anderson / Lucey,Nominated by Petition,BUTLER,392
President/Vice President,McReynolds / Drufenbrock,Socialist,CALHOUN,4
President/Vice President,Clark / Koch,Libertarian,CALHOUN,122
President/Vice President,Greaves / Varnum,American,CALHOUN,0
President/Vice President,Carter / Mondale,Democratic,CALHOUN,2150
President/Vice President,De Berry / Zimmerman,Socialist Workers,CALHOUN,6
President/Vice President,Reagan / Bush,Republican,CALHOUN,3633
President/Vice President,Hall / Davis,Communist,CALHOUN,2
President/Vice President,Commoner / Harris,Citizens,CALHOUN,4
President/Vice President,Bubar / Dodge,Statesman,CALHOUN,0
President/Vice President,Anderson / Lucey,Nominated by Petition,CALHOUN,407
President/Vice President,McReynolds / Drufenbrock,Socialist,CARROLL,2
President/Vice President,Clark / Koch,Libertarian,CARROLL,84
President/Vice President,Greaves / Varnum,American,CARROLL,0
President/Vice President,Carter / Mondale,Democratic,CARROLL,3885
President/Vice President,De Berry / Zimmerman,Socialist Workers,CARROLL,0
President/Vice President,Reagan / Bush,Republican,CARROLL,5017
President/Vice President,Hall / Davis,Communist,CARROLL,2
President/Vice President,Commoner / Harris,Citizens,CARROLL,7
President/Vice President,Bubar / Dodge,Statesman,CARROLL,1
President/Vice President,Anderson / Lucey,Nominated by Petition,CARROLL,736
President/Vice President,McReynolds / Drufenbrock,Socialist,CASS,2
President/Vice President,Clark / Koch,Libertarian,CASS,70
President/Vice President,Greaves / Varnum,American,CASS,1
President/Vice President,Carter / Mondale,Democratic,CASS,2176
President/Vice President,De Berry / Zimmerman,Socialist Workers,CASS,0
President/Vice President,Reagan / Bush,Republican,CASS,5391
President/Vice President,Hall / Davis,Communist,CASS,2
President/Vice President,Commoner / Harris,Citizens,CASS,3
President/Vice President,Bubar / Dodge,Statesman,CASS,1
President/Vice President,Anderson / Lucey,Nominated by Petition,CASS,475
President/Vice President,McReynolds / Drufenbrock,Socialist,CEDAR,6
President/Vice President,Clark / Koch,Libertarian,CEDAR,83
President/Vice President,Greaves / Varnum,American,CEDAR,1
President/Vice President,Carter / Mondale,Democratic,CEDAR,2589
President/Vice President,De Berry / Zimmerman,Socialist Workers,CEDAR,1
President/Vice President,Reagan / Bush,Republican,CEDAR,4398
President/Vice President,Hall / Davis,Communist,CEDAR,2
President/Vice President,Commoner / Harris,Citizens,CEDAR,18
President/Vice President,Bubar / Dodge,Statesman,CEDAR,0
President/Vice President,Anderson / Lucey,Nominated by Petition,CEDAR,697
President/Vice President,McReynolds / Drufenbrock,Socialist,CERRO GORDO,8
President/Vice President,Clark / Koch,Libertarian,CERRO GORDO,185
President/Vice President,Greaves / Varnum,American,CERRO GORDO,5
President/Vice President,Carter / Mondale,Democratic,CERRO GORDO,9363
President/Vice President,De Berry / Zimmerman,Socialist Workers,CERRO GORDO,1
President/Vice President,Reagan / Bush,Republican,CERRO GORDO,11189
President/Vice President,Hall / Davis,Communist,CERRO GORDO,4
President/Vice President,Commoner / Harris,Citizens,CERRO GORDO,31
President/Vice President,Bubar / Dodge,Statesman,CERRO GORDO,2
President/Vice President,Anderson / Lucey,Nominated by Petition,CERRO GORDO,2024
President/Vice President,McReynolds / Drufenbrock,Socialist,CHEROKEE,2
President/Vice President,Clark / Koch,Libertarian,CHEROKEE,81
President/Vice President,Greaves / Varnum,American,CHEROKEE,1
President/Vice President,Carter / Mondale,Democratic,CHEROKEE,2719
President/Vice President,De Berry / Zimmerman,Socialist Workers,CHEROKEE,1
President/Vice President,Reagan / Bush,Republican,CHEROKEE,4087
President/Vice President,Hall / Davis,Communist,CHEROKEE,3
President/Vice President,Commoner / Harris,Citizens,CHEROKEE,2
President/Vice President,Bubar / Dodge,Statesman,CHEROKEE,1
President/Vice President,Anderson / Lucey,Nominated by Petition,CHEROKEE,599
President/Vice President,McReynolds / Drufenbrock,Socialist,CHICKASAW,2
President/Vice President,Clark / Koch,Libertarian,CHICKASAW,60
President/Vice President,Greaves / Varnum,American,CHICKASAW,0
President/Vice President,Carter / Mondale,Democratic,CHICKASAW,2935
President/Vice President,De Berry / Zimmerman,Socialist Workers,CHICKASAW,1
President/Vice President,Reagan / Bush,Republican,CHICKASAW,3929
President/Vice President,Hall / Davis,Communist,CHICKASAW,2
President/Vice President,Commoner / Harris,Citizens,CHICKASAW,2
President/Vice President,Bubar / Dodge,Statesman,CHICKASAW,0
President/Vice President,Anderson / Lucey,Nominated by Petition,CHICKASAW,500
President/Vice President,McReynolds / Drufenbrock,Socialist,CLARKE,2
President/Vice President,Clark / Koch,Libertarian,CLARKE,59
President/Vice President,Greaves / Varnum,American,CLARKE,0
President/Vice President,Carter / Mondale,Democratic,CLARKE,1614
President/Vice President,De Berry / Zimmerman,Socialist Workers,CLARKE,0
President/Vice President,Reagan / Bush,Republican,CLARKE,2417
President/Vice President,Hall / Davis,Communist,CLARKE,0
President/Vice President,Commoner / Harris,Citizens,CLARKE,1
President/Vice President,Bubar / Dodge,Statesman,CLARKE,0
President/Vice President,Anderson / Lucey,Nominated by Petition,CLARKE,310
President/Vice President,McReynolds / Drufenbrock,Socialist,CLAY,4
President/Vice President,Clark / Koch,Libertarian,CLAY,101
President/Vice President,Greaves / Varnum,American,CLAY,0
President/Vice President,Carter / Mondale,Democratic,CLAY,3179
President/Vice President,De Berry / Zimmerman,Socialist Workers,CLAY,1
President/Vice President,Reagan / Bush,Republican,CLAY,4479
President/Vice President,Hall / Davis,Communist,CLAY,2
President/Vice President,Commoner / Harris,Citizens,CLAY,7
President/Vice President,Bubar / Dodge,Statesman,CLAY,0
President/Vice President,Anderson / Lucey,Nominated by Petition,CLAY,991
President/Vice President,McReynolds / Drufenbrock,Socialist,CLAYTON,1
President/Vice President,Clark / Koch,Libertarian,CLAYTON,106
President/Vice President,Greaves / Varnum,American,CLAYTON,0
President/Vice President,Carter / Mondale,Democratic,CLAYTON,3297
President/Vice President,De Berry / Zimmerman,Socialist Workers,CLAYTON,2
President/Vice President,Reagan / Bush,Republican,CLAYTON,5115
President/Vice President,Hall / Davis,Communist,CLAYTON,2
President/Vice President,Commoner / Harris,Citizens,CLAYTON,9
President/Vice President,Bubar / Dodge,Statesman,CLAYTON,1
President/Vice President,Anderson / Lucey,Nominated by Petition,CLAYTON,669
President/Vice President,McReynolds / Drufenbrock,Socialist,CLINTON,8
President/Vice President,Clark / Koch,Libertarian,CLINTON,260
President/Vice President,Greaves / Varnum,American,CLINTON,7
President/Vice President,Carter / Mondale,Democratic,CLINTON,9698
President/Vice President,De Berry / Zimmerman,Socialist Workers,CLINTON,2
President/Vice President,Reagan / Bush,Republican,CLINTON,13025
President/Vice President,Hall / Davis,Communist,CLINTON,29
President/Vice President,Commoner / Harris,Citizens,CLINTON,35
President/Vice President,Bubar / Dodge,Statesman,CLINTON,2
President/Vice President,Anderson / Lucey,Nominated by Petition,CLINTON,2140
President/Vice President,McReynolds / Drufenbrock,Socialist,CRAWFORD,1
President/Vice President,Clark / Koch,Libertarian,CRAWFORD,97
President/Vice President,Greaves / Varnum,American,CRAWFORD,0
President/Vice President,Carter / Mondale,Democratic,CRAWFORD,2500
President/Vice President,De Berry / Zimmerman,Socialist Workers,CRAWFORD,1
President/Vice President,Reagan / Bush,Republican,CRAWFORD,4883
President/Vice President,Hall / Davis,Communist,CRAWFORD,0
President/Vice President,Commoner / Harris,Citizens,CRAWFORD,10
President/Vice President,Bubar / Dodge,Statesman,CRAWFORD,1
President/Vice President,Anderson / Lucey,Nominated by Petition,CRAWFORD,509
President/Vice President,McReynolds / Drufenbrock,Socialist,DALLAS,3
President/Vice President,Clark / Koch,Libertarian,DALLAS,128
President/Vice President,Greaves / Varnum,American,DALLAS,2
President/Vice President,Carter / Mondale,Democratic,DALLAS,5310
President/Vice President,De Berry / Zimmerman,Socialist Workers,DALLAS,1
President/Vice President,Reagan / Bush,Republican,DALLAS,6296
President/Vice President,Hall / Davis,Communist,DALLAS,1
President/Vice President,Commoner / Harris,Citizens,DALLAS,16
President/Vice President,Bubar / Dodge,Statesman,DALLAS,1
President/Vice President,Anderson / Lucey,Nominated by Petition,DALLAS,1200
President/Vice President,McReynolds / Drufenbrock,Socialist,DAVIS,3
President/Vice President,Clark / Koch,Libertarian,DAVIS,32
President/Vice President,Greaves / Varnum,American,DAVIS,0
President/Vice President,Carter / Mondale,Democratic,DAVIS,1689
President/Vice President,De Berry / Zimmerman,Socialist Workers,DAVIS,0
President/Vice President,Reagan / Bush,Republican,DAVIS,2003
President/Vice President,Hall / Davis,Communist,DAVIS,0
President/Vice President,Commoner / Harris,Citizens,DAVIS,2
President/Vice President,Bubar / Dodge,Statesman,DAVIS,0
President/Vice President,Anderson / Lucey,Nominated by Petition,DAVIS,200
President/Vice President,McReynolds / Drufenbrock,Socialist,DECATUR,0
President/Vice President,Clark / Koch,Libertarian,DECATUR,50
President/Vice President,Greaves / Varnum,American,DECATUR,1
President/Vice President,Carter / Mondale,Democratic,DECATUR,2048
President/Vice President,De Berry / Zimmerman,Socialist Workers,DECATUR,0
President/Vice President,Reagan / Bush,Republican,DECATUR,2212
President/Vice President,Hall / Davis,Communist,DECATUR,3
President/Vice President,Commoner / Harris,Citizens,DECATUR,7
President/Vice President,Bubar / Dodge,Statesman,DECATUR,0
President/Vice President,Anderson / Lucey,Nominated by Petition,DECATUR,318
President/Vice President,McReynolds / Drufenbrock,Socialist,DELAWARE,0
President/Vice President,Clark / Koch,Libertarian,DELAWARE,62
President/Vice President,Greaves / Varnum,American,DELAWARE,0
President/Vice President,Carter / Mondale,Democratic,DELAWARE,2671
President/Vice President,De Berry / Zimmerman,Socialist Workers,DELAWARE,1
President/Vice President,Reagan / Bush,Republican,DELAWARE,4316
President/Vice President,Hall / Davis,Communist,DELAWARE,0
President/Vice President,Commoner / Harris,Citizens,DELAWARE,16
President/Vice President,Bubar / Dodge,Statesman,DELAWARE,1
President/Vice President,Anderson / Lucey,Nominated by Petition,DELAWARE,727
President/Vice President,McReynolds / Drufenbrock,Socialist,DES MOINES,6
President/Vice President,Clark / Koch,Libertarian,DES MOINES,183
President/Vice President,Greaves / Varnum,American,DES MOINES,2
President/Vice President,Carter / Mondale,Democratic,DES MOINES,9977
President/Vice President,De Berry / Zimmerman,Socialist Workers,DES MOINES,4
President/Vice President,Reagan / Bush,Republican,DES MOINES,9158
President/Vice President,Hall / Davis,Communist,DES MOINES,4
President/Vice President,Commoner / Harris,Citizens,DES MOINES,29
President/Vice President,Bubar / Dodge,Statesman,DES MOINES,4
President/Vice President,Anderson / Lucey,Nominated by Petition,DES MOINES,1041
President/Vice President,McReynolds / Drufenbrock,Socialist,DICKINSON,6
President/Vice President,Clark / Koch,Libertarian,DICKINSON,86
President/Vice President,Greaves / Varnum,American,DICKINSON,1
President/Vice President,Carter / Mondale,Democratic,DICKINSON,2620
President/Vice President,De Berry / Zimmerman,Socialist Workers,DICKINSON,0
President/Vice President,Reagan / Bush,Republican,DICKINSON,4028
President/Vice President,Hall / Davis,Communist,DICKINSON,0
President/Vice President,Commoner / Harris,Citizens,DICKINSON,11
President/Vice President,Bubar / Dodge,Statesman,DICKINSON,3
President/Vice President,Anderson / Lucey,Nominated by Petition,DICKINSON,687
President/Vice President,McReynolds / Drufenbrock,Socialist,DUBUQUE,32
President/Vice President,Clark / Koch,Libertarian,DUBUQUE,368
President/Vice President,Greaves / Varnum,American,DUBUQUE,5
President/Vice President,Carter / Mondale,Democratic,DUBUQUE,18689
President/Vice President,De Berry / Zimmerman,Socialist Workers,DUBUQUE,6
President/Vice President,Reagan / Bush,Republican,DUBUQUE,18649
President/Vice President,Hall / Davis,Communist,DUBUQUE,1
President/Vice President,Commoner / Harris,Citizens,DUBUQUE,67
President/Vice President,Bubar / Dodge,Statesman,DUBUQUE,5
President/Vice President,Anderson / Lucey,Nominated by Petition,DUBUQUE,3708
President/Vice President,McReynolds / Drufenbrock,Socialist,EMMET,0
President/Vice President,Clark / Koch,Libertarian,EMMET,55
President/Vice President,Greaves / Varnum,American,EMMET,2
President/Vice President,Carter / Mondale,Democratic,EMMET,2153
President/Vice President,De Berry / Zimmerman,Socialist Workers,EMMET,1
President/Vice President,Reagan / Bush,Republican,EMMET,3062
President/Vice President,Hall / Davis,Communist,EMMET,1
President/Vice President,Commoner / Harris,Citizens,EMMET,4
President/Vice President,Bubar / Dodge,Statesman,EMMET,0
President/Vice President,Anderson / Lucey,Nominated by Petition,EMMET,446
President/Vice President,McReynolds / Drufenbrock,Socialist,FAYETTE,4
President/Vice President,Clark / Koch,Libertarian,FAYETTE,100
President/Vice President,Greaves / Varnum,American,FAYETTE,1
President/Vice President,Carter / Mondale,Democratic,FAYETTE,4377
President/Vice President,De Berry / Zimmerman,Socialist Workers,FAYETTE,2
President/Vice President,Reagan / Bush,Republican,FAYETTE,6374
President/Vice President,Hall / Davis,Communist,FAYETTE,2
President/Vice President,Commoner / Harris,Citizens,FAYETTE,10
President/Vice President,Bubar / Dodge,Statesman,FAYETTE,0
President/Vice President,Anderson / Lucey,Nominated by Petition,FAYETTE,647
President/Vice President,McReynolds / Drufenbrock,Socialist,FLOYD,5
President/Vice President,Clark / Koch,Libertarian,FLOYD,66
President/Vice President,Greaves / Varnum,American,FLOYD,8
President/Vice President,Carter / Mondale,Democratic,FLOYD,3634
President/Vice President,De Berry / Zimmerman,Socialist Workers,FLOYD,0
President/Vice President,Reagan / Bush,Republican,FLOYD,4665
President/Vice President,Hall / Davis,Communist,FLOYD,3
President/Vice President,Commoner / Harris,Citizens,FLOYD,5
President/Vice President,Bubar / Dodge,Statesman,FLOYD,1
President/Vice President,Anderson / Lucey,Nominated by Petition,FLOYD,728
President/Vice President,McReynolds / Drufenbrock,Socialist,FRANKLIN,0
President/Vice President,Clark / Koch,Libertarian,FRANKLIN,56
President/Vice President,Greaves / Varnum,American,FRANKLIN,2
President/Vice President,Carter / Mondale,Democratic,FRANKLIN,1920
President/Vice President,De Berry / Zimmerman,Socialist Workers,FRANKLIN,1
President/Vice President,Reagan / Bush,Republican,FRANKLIN,3290
President/Vice President,Hall / Davis,Communist,FRANKLIN,1
President/Vice President,Commoner / Harris,Citizens,FRANKLIN,3
President/Vice President,Bubar / Dodge,Statesman,FRANKLIN,1
President/Vice President,Anderson / Lucey,Nominated by Petition,FRANKLIN,406
President/Vice President,McReynolds / Drufenbrock,Socialist,FREMONT,0
President/Vice President,Clark / Koch,Libertarian,FREMONT,43
President/Vice President,Greaves / Varnum,American,FREMONT,0
President/Vice President,Carter / Mondale,Democratic,FREMONT,1203
President/Vice President,De Berry / Zimmerman,Socialist Workers,FREMONT,0
President/Vice President,Reagan / Bush,Republican,FREMONT,2693
President/Vice President,Hall / Davis,Communist,FREMONT,0
President/Vice President,Commoner / Harris,Citizens,FREMONT,0
President/Vice President,Bubar / Dodge,Statesman,FREMONT,1
President/Vice President,Anderson / Lucey,Nominated by Petition,FREMONT,191
President/Vice President,McReynolds / Drufenbrock,Socialist,GREENE,1
President/Vice President,Clark / Koch,Libertarian,GREENE,55
President/Vice President,Greaves / Varnum,American,GREENE,1
President/Vice President,Carter / Mondale,Democratic,GREENE,2210
President/Vice President,De Berry / Zimmerman,Socialist Workers,GREENE,1
President/Vice President,Reagan / Bush,Republican,GREENE,3154
President/Vice President,Hall / Davis,Communist,GREENE,0
President/Vice President,Commoner / Harris,Citizens,GREENE,5
President/Vice President,Bubar / Dodge,Statesman,GREENE,0
President/Vice President,Anderson / Lucey,Nominated by Petition,GREENE,510
President/Vice President,McReynolds / Drufenbrock,Socialist,GRUNDY,2
President/Vice President,Clark / Koch,Libertarian,GRUNDY,56
President/Vice President,Greaves / Varnum,American,GRUNDY,1
President/Vice President,Carter / Mondale,Democratic,GRUNDY,1869
President/Vice President,De Berry / Zimmerman,Socialist Workers,GRUNDY,0
President/Vice President,Reagan / Bush,Republican,GRUNDY,4644
President/Vice President,Hall / Davis,Communist,GRUNDY,1
President/Vice President,Commoner / Harris,Citizens,GRUNDY,10
President/Vice President,Bubar / Dodge,Statesman,GRUNDY,0
President/Vice President,Anderson / Lucey,Nominated by Petition,GRUNDY,440
President/Vice President,McReynolds / Drufenbrock,Socialist,GUTHRIE,1
President/Vice President,Clark / Koch,Libertarian,GUTHRIE,44
President/Vice President,Greaves / Varnum,American,GUTHRIE,0
President/Vice President,Carter / Mondale,Democratic,GUTHRIE,1866
President/Vice President,De Berry / Zimmerman,Socialist Workers,GUTHRIE,0
President/Vice President,Reagan / Bush,Republican,GUTHRIE,3214
President/Vice President,Hall / Davis,Communist,GUTHRIE,0
President/Vice President,Commoner / Harris,Citizens,GUTHRIE,3
President/Vice President,Bubar / Dodge,Statesman,GUTHRIE,1
President/Vice President,Anderson / Lucey,Nominated by Petition,GUTHRIE,384
President/Vice President,McReynolds / Drufenbrock,Socialist,HAMILTON,3
President/Vice President,Clark / Koch,Libertarian,HAMILTON,82
President/Vice President,Greaves / Varnum,American,HAMILTON,1
President/Vice President,Carter / Mondale,Democratic,HAMILTON,2741
President/Vice President,De Berry / Zimmerman,Socialist Workers,HAMILTON,1
President/Vice President,Reagan / Bush,Republican,HAMILTON,4745
President/Vice President,Hall / Davis,Communist,HAMILTON,0
President/Vice President,Commoner / Harris,Citizens,HAMILTON,11
President/Vice President,Bubar / Dodge,Statesman,HAMILTON,3
President/Vice President,Anderson / Lucey,Nominated by Petition,HAMILTON,679
President/Vice President,McReynolds / Drufenbrock,Socialist,HANCOCK,2
President/Vice President,Clark / Koch,Libertarian,HANCOCK,17
President/Vice President,Greaves / Varnum,American,HANCOCK,1
President/Vice President,Carter / Mondale,Democratic,HANCOCK,1918
President/Vice President,De Berry / Zimmerman,Socialist Workers,HANCOCK,1
President/Vice President,Reagan / Bush,Republican,HANCOCK,3681
President/Vice President,Hall / Davis,Communist,HANCOCK,1
President/Vice President,Commoner / Harris,Citizens,HANCOCK,8
President/Vice President,Bubar / Dodge,Statesman,HANCOCK,1
President/Vice President,Anderson / Lucey,Nominated by Petition,HANCOCK,462
President/Vice President,McReynolds / Drufenbrock,Socialist,HARDIN,3
President/Vice President,Clark / Koch,Libertarian,HARDIN,89
President/Vice President,Greaves / Varnum,American,HARDIN,2
President/Vice President,Carter / Mondale,Democratic,HARDIN,3757
President/Vice President,De Berry / Zimmerman,Socialist Workers,HARDIN,0
President/Vice President,Reagan / Bush,Republican,HARDIN,5329
President/Vice President,Hall / Davis,Communist,HARDIN,1
President/Vice President,Commoner / Harris,Citizens,HARDIN,3
President/Vice President,Bubar / Dodge,Statesman,HARDIN,2
President/Vice President,Anderson / Lucey,Nominated by Petition,HARDIN,730
President/Vice President,McReynolds / Drufenbrock,Socialist,HARRISON,0
President/Vice President,Clark / Koch,Libertarian,HARRISON,81
President/Vice President,Greaves / Varnum,American,HARRISON,0
President/Vice President,Carter / Mondale,Democratic,HARRISON,2152
President/Vice President,De Berry / Zimmerman,Socialist Workers,HARRISON,0
President/Vice President,Reagan / Bush,Republican,HARRISON,4502
President/Vice President,Hall / Davis,Communist,HARRISON,1
President/Vice President,Commoner / Harris,Citizens,HARRISON,1
President/Vice President,Bubar / Dodge,Statesman,HARRISON,0
President/Vice President,Anderson / Lucey,Nominated by Petition,HARRISON,311
President/Vice President,McReynolds / Drufenbrock,Socialist,HENRY,1
President/Vice President,Clark / Koch,Libertarian,HENRY,70
President/Vice President,Greaves / Varnum,American,HENRY,0
President/Vice President,Carter / Mondale,Democratic,HENRY,3317
President/Vice President,De Berry / Zimmerman,Socialist Workers,HENRY,1
President/Vice President,Reagan / Bush,Republican,HENRY,4430
President/Vice President,Hall / Davis,Communist,HENRY,0
President/Vice President,Commoner / Harris,Citizens,HENRY,11
President/Vice President,Bubar / Dodge,Statesman,HENRY,0
President/Vice President,Anderson / Lucey,Nominated by Petition,HENRY,629
President/Vice President,McReynolds / Drufenbrock,Socialist,HOWARD,1
President/Vice President,Clark / Koch,Libertarian,HOWARD,42
President/Vice President,Greaves / Varnum,American,HOWARD,0
President/Vice President,Carter / Mondale,Democratic,HOWARD,2214
President/Vice President,De Berry / Zimmerman,Socialist Workers,HOWARD,0
President/Vice President,Reagan / Bush,Republican,HOWARD,2975
President/Vice President,Hall / Davis,Communist,HOWARD,0
President/Vice President,Commoner / Harris,Citizens,HOWARD,5
President/Vice President,Bubar / Dodge,Statesman,HOWARD,2
