office,candidate,party,county,votes
President/Vice President,McReynolds / Drufenbrock,Socialist,ADAIR,1
President/Vice President,Clark / Koch,Libertarian,ADAIR,48
President/Vice President,Greaves / Varnum,American,ADAIR,1
President/Vice President,Carter / Mondale,Democratic,ADAIR,1454
President/Vice President,De Berry / Zimmerman,Socialist Workers,ADAIR,0
President/Vice President,Reagan / Bush,Republican,ADAIR,2821
President/Vice President,Hall / Davis,Communist,ADAIR,0
President/Vice President,Commoner / Harris,Citizens,ADAIR,8
President/Vice President,Bubar / Dodge,Statesman,ADAIR,0
President/Vice President,Anderson / Lucey,Nominated by Petition,ADAIR,356
President/Vice President,McReynolds / Drufenbrock,Socialist,ADAMS,0
President/Vice President,Clark / Koch,Libertarian,ADAMS,45
President/Vice President,Greaves / Varnum,American,ADAMS,0
President/Vice President,Carter / Mondale,Democratic,ADAMS,940
President/Vice President,De Berry / Zimmerman,Socialist Workers,ADAMS,0
President/Vice President,Reagan / Bush,Republican,ADAMS,1779
President/Vice President,Hall / Davis,Communist,ADAMS,1
President/Vice President,Commoner / Harris,Citizens,ADAMS,2
President/Vice President,Bubar / Dodge,Statesman,ADAMS,0
President/Vice President,Anderson / Lucey,Nominated by Petition,ADAMS,214
President/Vice President,McReynolds / Drufenbrock,Socialist,ALLAMAKEE,1
President/Vice President,Clark / Koch,Libertarian,ALLAMAKEE,54
President/Vice President,Greaves / Varnum,American,ALLAMAKEE,0
President/Vice President,Carter / Mondale,Democratic,ALLAMAKEE,2170
President/Vice President,De Berry / Zimmerman,Socialist Workers,ALLAMAKEE,0
President/Vice President,Reagan / Bush,Republican,ALLAMAKEE,4000
President/Vice President,Hall / Davis,Communist,ALLAMAKEE,0
President/Vice President,Commoner / Harris,Citizens,ALLAMAKEE,11
President/Vice President,Bubar / Dodge,Statesman,ALLAMAKEE,1
President/Vice President,Anderson / Lucey,Nominated by Petition,ALLAMAKEE,343
President/Vice President,McReynolds / Drufenbrock,Socialist,APPANOOSE,1
President/Vice President,Clark / Koch,Libertarian,APPANOOSE,50
President/Vice President,Greaves / Varnum,American,APPANOOSE,1
President/Vice President,Carter / Mondale,Democratic,APPANOOSE,2769
President/Vice President,De Berry / Zimmerman,Socialist Workers,APPANOOSE,1
President/Vice President,Reagan / Bush,Republican,APPANOOSE,3544
President/Vice President,Hall / Davis,Communist,APPANOOSE,2
President/Vice President,Commoner / Harris,Citizens,APPANOOSE,5
President/Vice President,Bubar / Dodge,Statesman,APPANOOSE,2
President/Vice President,Anderson / Lucey,Nominated by Petition,APPANOOSE,353
President/Vice President,McReynolds / Drufenbrock,Socialist,AUDUBON,1
President/Vice President,Clark / Koch,Libertarian,AUDUBON,25
President/Vice President,Greaves / Varnum,American,AUDUBON,1
President/Vice President,Carter / Mondale,Democratic,AUDUBON,1546
President/Vice President,De Berry / Zimmerman,Socialist Workers,AUDUBON,2
President/Vice President,Reagan / Bush,Republican,AUDUBON,2523
President/Vice President,Hall / Davis,Communist,AUDUBON,0
President/Vice President,Commoner / Harris,Citizens,AUDUBON,4
President/Vice President,Bubar / Dodge,Statesman,AUDUBON,0
President/Vice President,Anderson / Lucey,Nominated by Petition,AUDUBON,251
President/Vice President,McReynolds / Drufenbrock,Socialist,BENTON,6
President/Vice President,Clark / Koch,Libertarian,BENTON,116
President/Vice President,Greaves / Varnum,American,BENTON,2
President/Vice President,Carter / Mondale,Democratic,BENTON,4223
President/Vice President,De Berry / Zimmerman,Socialist Workers,BENTON,1
President/Vice President,Reagan / Bush,Republican,BENTON,5329
President/Vice President,Hall / Davis,Communist,BENTON,2
President/Vice President,Commoner / Harris,Citizens,BENTON,6
President/Vice President,Bubar / Dodge,Statesman,BENTON,1
President/Vice President,Anderson / Lucey,Nominated by Petition,BENTON,948
President/Vice President,McReynolds / Drufenbrock,Socialist,BLACK HAWK,44
President/Vice President,Clark / Koch,Libertarian,BLACK HAWK,535
President/Vice President,Greaves / Varnum,American,BLACK HAWK,16
President/Vice President,Carter / Mondale,Democratic,BLACK HAWK,27443
President/Vice President,De Berry / Zimmerman,Socialist Workers,BLACK HAWK,27
President/Vice President,Reagan / Bush,Republican,BLACK HAWK,29627
President/Vice President,Hall / Davis,Communist,BLACK HAWK,22
President/Vice President,Commoner / Harris,Citizens,BLACK HAWK,121
President/Vice President,Bubar / Dodge,Statesman,BLACK HAWK,5
President/Vice President,Anderson / Lucey,Nominated by Petition,BLACK HAWK,5847
President/Vice President,McReynolds / Drufenbrock,Socialist,BOONE,2
President/Vice President,Clark / Koch,Libertarian,BOONE,120
President/Vice President,Greaves / Varnum,American,BOONE,1
President/Vice President,Carter / Mondale,Democratic,BOONE,5126
President/Vice President,De Berry / Zimmerman,Socialist Workers,BOONE,3
President/Vice President,Reagan / Bush,Republican,BOONE,5732
President/Vice President,Hall / Davis,Communist,BOONE,3
President/Vice President,Commoner / Harris,Citizens,BOONE,16
President/Vice President,Bubar / Dodge,Statesman,BOONE,1
President/Vice President,Anderson / Lucey,Nominated by Petition,BOONE,1081
President/Vice President,McReynolds / Drufenbrock,Socialist,BREMER,4
President/Vice President,Clark / Koch,Libertarian,BREMER,97
President/Vice President,Greaves / Varnum,American,BREMER,0
President/Vice President,Carter / Mondale,Democratic,BREMER,3527
President/Vice President,De Berry / Zimmerman,Socialist Workers,BREMER,0
President/Vice President,Reagan / Bush,Republican,BREMER,6706
President/Vice President,Hall / Davis,Communist,BREMER,0
President/Vice President,Commoner / Harris,Citizens,BREMER,13
President/Vice President,Bubar / Dodge,Statesman,BREMER,0
President/Vice President,Anderson / Lucey,Nominated by Petition,BREMER,970
President/Vice President,McReynolds / Drufenbrock,Socialist,BUCHANAN,0
President/Vice President,Clark / Koch,Libertarian,BUCHANAN,76
President/Vice President,Greaves / Varnum,American,BUCHANAN,0
President/Vice President,Carter / Mondale,Democratic,BUCHANAN,3605
President/Vice President,De Berry / Zimmerman,Socialist Workers,BUCHANAN,0
President/Vice President,Reagan / Bush,Republican,BUCHANAN,5041
President/Vice President,Hall / Davis,Communist,BUCHANAN,0
President/Vice President,Commoner / Harris,Citizens,BUCHANAN,6
President/Vice President,Bubar / Dodge,Statesman,BUCHANAN,0
President/Vice President,Anderson / Lucey,Nominated by Petition,BUCHANAN,689
President/Vice President,McReynolds / Drufenbrock,Socialist,BUENA VISTA,6
