county,precinct,office,district,party,candidate,votes,election_day,absentee
Shelby,Therkildsen-Harlan,U.S. House,4,REP,Steve King,491,241,250
Shelby,Library Elk Horn,U.S. House,4,REP,Steve King,292,165,127
Shelby,Irwin Hall,U.S. House,4,REP,Steve King,363,211,152
Shelby,Shelby Hall,U.S. House,4,REP,Steve King,319,215,104
Shelby,St. Josephs Hall Earling,U.S. House,4,REP,Steve King,504,279,225
Shelby,Harlan Ward 1,U.S. House,4,REP,Steve King,212,127,85
Shelby,Harlan Ward 2,U.S. House,4,REP,Steve King,318,176,142
Shelby,Harlan Ward 3,U.S. House,4,REP,Steve King,318,151,167
Shelby,Harlan Ward 4,U.S. House,4,REP,Steve King,253,121,132
Shelby,Therkildsen-Harlan,U.S. House,4,DEM,J.D. Scholten,241,130,111
Shelby,Library Elk Horn,U.S. House,4,DEM,J.D. Scholten,195,121,74
Shelby,Irwin Hall,U.S. House,4,DEM,J.D. Scholten,156,84,72
Shelby,Shelby Hall,U.S. House,4,DEM,J.D. Scholten,168,119,49
Shelby,St. Josephs Hall Earling,U.S. House,4,DEM,J.D. Scholten,260,139,121
Shelby,Harlan Ward 1,U.S. House,4,DEM,J.D. Scholten,163,89,74
Shelby,Harlan Ward 2,U.S. House,4,DEM,J.D. Scholten,243,145,98
Shelby,Harlan Ward 3,U.S. House,4,DEM,J.D. Scholten,238,122,116
Shelby,Harlan Ward 4,U.S. House,4,DEM,J.D. Scholten,153,85,68
Shelby,Therkildsen-Harlan,U.S. House,4,LIB,Charles Aldrich,12,8,4
Shelby,Library Elk Horn,U.S. House,4,LIB,Charles Aldrich,15,9,6
Shelby,Irwin Hall,U.S. House,4,LIB,Charles Aldrich,10,8,2
Shelby,Shelby Hall,U.S. House,4,LIB,Charles Aldrich,8,7,1
Shelby,St. Josephs Hall Earling,U.S. House,4,LIB,Charles Aldrich,10,7,3
Shelby,Harlan Ward 1,U.S. House,4,LIB,Charles Aldrich,9,6,3
Shelby,Harlan Ward 2,U.S. House,4,LIB,Charles Aldrich,11,4,7
Shelby,Harlan Ward 3,U.S. House,4,LIB,Charles Aldrich,14,9,5
Shelby,Harlan Ward 4,U.S. House,4,LIB,Charles Aldrich,7,2,5
Shelby,Therkildsen-Harlan,U.S. House,4,,Edward Peterson,4,2,2
Shelby,Library Elk Horn,U.S. House,4,,Edward Peterson,3,2,1
Shelby,Irwin Hall,U.S. House,4,,Edward Peterson,3,1,2
Shelby,Shelby Hall,U.S. House,4,,Edward Peterson,1,1,0
Shelby,St. Josephs Hall Earling,U.S. House,4,,Edward Peterson,9,5,4
Shelby,Harlan Ward 1,U.S. House,4,,Edward Peterson,6,1,5
Shelby,Harlan Ward 2,U.S. House,4,,Edward Peterson,3,1,2
Shelby,Harlan Ward 3,U.S. House,4,,Edward Peterson,5,1,4
Shelby,Harlan Ward 4,U.S. House,4,,Edward Peterson,7,3,4
Shelby,Therkildsen-Harlan,U.S. House,4,,Write-in,0,0,0
Shelby,Library Elk Horn,U.S. House,4,,Write-in,1,0,1
Shelby,Irwin Hall,U.S. House,4,,Write-in,1,1,0
Shelby,Shelby Hall,U.S. House,4,,Write-in,0,0,0
Shelby,St. Josephs Hall Earling,U.S. House,4,,Write-in,2,0,2
Shelby,Harlan Ward 1,U.S. House,4,,Write-in,1,0,1
Shelby,Harlan Ward 2,U.S. House,4,,Write-in,0,0,0
Shelby,Harlan Ward 3,U.S. House,4,,Write-in,2,2,0
Shelby,Harlan Ward 4,U.S. House,4,,Write-in,0,0,0
Shelby,Therkildsen-Harlan,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,553,279,274
Shelby,Library Elk Horn,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,341,199,142
Shelby,Irwin Hall,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,415,249,166
Shelby,Shelby Hall,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,349,241,108
Shelby,St. Josephs Hall Earling,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,586,325,261
Shelby,Harlan Ward 1,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,248,148,100
Shelby,Harlan Ward 2,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,389,224,165
Shelby,Harlan Ward 3,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,381,197,184
Shelby,Harlan Ward 4,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,275,138,137
