county,precinct,office,district,party,candidate,votes,election_day,absentee
Madison,Grand River - Monroe - Webster,U.S. House,3,REP,David Young,268,160,108
Madison,Jackson - Douglas - Lincoln,U.S. House,3,REP,David Young,460,295,165
Madison,Jefferson - Lee,U.S. House,3,REP,David Young,549,305,244
Madison,Penn - Madison,U.S. House,3,REP,David Young,622,469,153
Madison,Union - Crawford - Scott,U.S. House,3,REP,David Young,702,368,334
Madison,South,U.S. House,3,REP,David Young,463,336,127
Madison,Walnut - Ohio,U.S. House,3,REP,David Young,410,294,116
Madison,Winterset 1,U.S. House,3,REP,David Young,651,361,290
Madison,Winterset 2,U.S. House,3,REP,David Young,624,356,268
Madison,Grand River - Monroe - Webster,U.S. House,3,DEM,Cindy Axne,96,56,40
Madison,Jackson - Douglas - Lincoln,U.S. House,3,DEM,Cindy Axne,210,105,105
Madison,Jefferson - Lee,U.S. House,3,DEM,Cindy Axne,255,105,150
Madison,Penn - Madison,U.S. House,3,DEM,Cindy Axne,333,231,102
Madison,Union - Crawford - Scott,U.S. House,3,DEM,Cindy Axne,380,139,241
Madison,South,U.S. House,3,DEM,Cindy Axne,241,144,97
Madison,Walnut - Ohio,U.S. House,3,DEM,Cindy Axne,167,105,62
Madison,Winterset 1,U.S. House,3,DEM,Cindy Axne,445,187,258
Madison,Winterset 2,U.S. House,3,DEM,Cindy Axne,462,191,271
Madison,Grand River - Monroe - Webster,U.S. House,3,LIB,Bryan Jack Holder,7,4,3
Madison,Jackson - Douglas - Lincoln,U.S. House,3,LIB,Bryan Jack Holder,13,11,2
Madison,Jefferson - Lee,U.S. House,3,LIB,Bryan Jack Holder,12,10,2
Madison,Penn - Madison,U.S. House,3,LIB,Bryan Jack Holder,16,14,2
Madison,Union - Crawford - Scott,U.S. House,3,LIB,Bryan Jack Holder,30,18,12
Madison,South,U.S. House,3,LIB,Bryan Jack Holder,16,11,5
Madison,Walnut - Ohio,U.S. House,3,LIB,Bryan Jack Holder,15,11,4
Madison,Winterset 1,U.S. House,3,LIB,Bryan Jack Holder,38,21,17
Madison,Winterset 2,U.S. House,3,LIB,Bryan Jack Holder,19,11,8
Madison,Grand River - Monroe - Webster,U.S. House,3,GRN,Paul Knupp,0,0,0
Madison,Jackson - Douglas - Lincoln,U.S. House,3,GRN,Paul Knupp,3,2,1
Madison,Jefferson - Lee,U.S. House,3,GRN,Paul Knupp,1,1,0
Madison,Penn - Madison,U.S. House,3,GRN,Paul Knupp,8,7,1
Madison,Union - Crawford - Scott,U.S. House,3,GRN,Paul Knupp,8,3,5
Madison,South,U.S. House,3,GRN,Paul Knupp,2,0,2
Madison,Walnut - Ohio,U.S. House,3,GRN,Paul Knupp,4,1,3
Madison,Winterset 1,U.S. House,3,GRN,Paul Knupp,3,1,2
Madison,Winterset 2,U.S. House,3,GRN,Paul Knupp,6,4,2
Madison,Grand River - Monroe - Webster,U.S. House,3,LMN,Mark Elworth Jr.,3,2,1
Madison,Jackson - Douglas - Lincoln,U.S. House,3,LMN,Mark Elworth Jr.,4,1,3
Madison,Jefferson - Lee,U.S. House,3,LMN,Mark Elworth Jr.,2,1,1
Madison,Penn - Madison,U.S. House,3,LMN,Mark Elworth Jr.,7,4,3
Madison,Union - Crawford - Scott,U.S. House,3,LMN,Mark Elworth Jr.,5,4,1
Madison,South,U.S. House,3,LMN,Mark Elworth Jr.,5,0,5
Madison,Walnut - Ohio,U.S. House,3,LMN,Mark Elworth Jr.,4,2,2
Madison,Winterset 1,U.S. House,3,LMN,Mark Elworth Jr.,9,5,4
Madison,Winterset 2,U.S. House,3,LMN,Mark Elworth Jr.,7,5,2
Madison,Grand River - Monroe - Webster,U.S. House,3,,Joe Grandanette,0,0,0
Madison,Jackson - Douglas - Lincoln,U.S. House,3,,Joe Grandanette,8,3,5
Madison,Jefferson - Lee,U.S. House,3,,Joe Grandanette,2,1,1
Madison,Penn - Madison,U.S. House,3,,Joe Grandanette,2,1,1
Madison,Union - Crawford - Scott,U.S. House,3,,Joe Grandanette,3,1,2
Madison,South,U.S. House,3,,Joe Grandanette,4,3,1
Madison,Walnut - Ohio,U.S. House,3,,Joe Grandanette,3,3,0
Madison,Winterset 1,U.S. House,3,,Joe Grandanette,5,3,2
Madison,Winterset 2,U.S. House,3,,Joe Grandanette,1,0,1
Madison,Grand River - Monroe - Webster,U.S. House,3,,Write-in,0,0,0
Madison,Jackson - Douglas - Lincoln,U.S. House,3,,Write-in,0,0,0
Madison,Jefferson - Lee,U.S. House,3,,Write-in,0,0,0
Madison,Penn - Madison,U.S. House,3,,Write-in,1,0,1
Madison,Union - Crawford - Scott,U.S. House,3,,Write-in,0,0,0
Madison,South,U.S. House,3,,Write-in,0,0,0
Madison,Walnut - Ohio,U.S. House,3,,Write-in,0,0,0
Madison,Winterset 1,U.S. House,3,,Write-in,1,1,0
Madison,Winterset 2,U.S. House,3,,Write-in,1,0,1
Madison,Grand River - Monroe - Webster,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,269,160,109
Madison,Jackson - Douglas - Lincoln,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,457,293,164
Madison,Jefferson - Lee,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,526,293,233
Madison,Penn - Madison,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,623,475,148
Madison,Union - Crawford - Scott,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,721,377,344
Madison,South,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,472,340,132
Madison,Walnut - Ohio,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,425,299,126
Madison,Winterset 1,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,658,361,297
Madison,Winterset 2,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,603,343,260
Madison,Grand River - Monroe - Webster,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,101,59,42
Madison,Jackson - Douglas - Lincoln,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,234,120,114
Madison,Jefferson - Lee,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,278,123,155
Madison,Penn - Madison,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,342,235,107
Madison,Union - Crawford - Scott,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,388,148,240
Madison,South,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,251,150,101
Madison,Walnut - Ohio,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,168,106,62
Madison,Winterset 1,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,470,200,270
Madison,Winterset 2,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,507,224,283
Madison,Grand River - Monroe - Webster,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,4,3,1
Madison,Jackson - Douglas - Lincoln,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,6,4,2
Madison,Jefferson - Lee,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,16,8,8
Madison,Penn - Madison,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,16,11,5
Madison,Union - Crawford - Scott,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,27,13,14
Madison,South,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,14,8,6
Madison,Walnut - Ohio,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,16,12,4
Madison,Winterset 1,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,18,14,4
Madison,Winterset 2,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,11,5,6
Madison,Grand River - Monroe - Webster,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,1,0
Madison,Jackson - Douglas - Lincoln,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,4,2,2
Madison,Jefferson - Lee,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,2,0,2
Madison,Penn - Madison,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,11,8,3
Madison,Union - Crawford - Scott,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,0,1
Madison,South,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,1,0
Madison,Walnut - Ohio,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,1,0
Madison,Winterset 1,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,7,6,1
Madison,Winterset 2,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,4,1,3
Madison,Grand River - Monroe - Webster,Governor/Lieutenant Governor,,,Write-in,0,0,0
Madison,Jackson - Douglas - Lincoln,Governor/Lieutenant Governor,,,Write-in,0,0,0
Madison,Jefferson - Lee,Governor/Lieutenant Governor,,,Write-in,0,0,0
