county,precinct,office,district,party,candidate,votes,group3,group1,group2,group4
Wapello,Pct 1,United States Representative District 2,,DEM,Dave Loebsack,130,0,90,40,0
Wapello,Pct 2,United States Representative District 2,,DEM,Dave Loebsack,239,0,179,60,0
Wapello,Pct 3,United States Representative District 2,,DEM,Dave Loebsack,237,0,157,80,0
Wapello,Pct 4,United States Representative District 2,,DEM,Dave Loebsack,81,0,65,16,0
Wapello,Pct 5,United States Representative District 2,,DEM,Dave Loebsack,102,0,53,49,0
Wapello,Pct 6,United States Representative District 2,,DEM,Dave Loebsack,103,0,67,36,0
Wapello,Pct 7,United States Representative District 2,,DEM,Dave Loebsack,101,0,50,51,0
Wapello,Pct 8,United States Representative District 2,,DEM,Dave Loebsack,135,0,80,55,0
Wapello,Pct 9,United States Representative District 2,,DEM,Dave Loebsack,228,0,136,92,0
Wapello,Pct 10,United States Representative District 2,,DEM,Dave Loebsack,155,0,86,69,0
Wapello,Adams/Blakesburg/Polk,United States Representative District 2,,DEM,Dave Loebsack,51,0,39,12,0
Wapello,Agency/Agency/Pleasant,United States Representative District 2,,DEM,Dave Loebsack,91,0,66,25,0
Wapello,Cass/Chillicothe,United States Representative District 2,,DEM,Dave Loebsack,10,0,10,0,0
Wapello,Center,United States Representative District 2,,DEM,Dave Loebsack,64,0,43,21,0
Wapello,Columbia/Eddyville,United States Representative District 2,,DEM,Dave Loebsack,35,0,28,7,0
Wapello,Competine,United States Representative District 2,,DEM,Dave Loebsack,2,0,0,2,0
Wapello,Dahlonega,United States Representative District 2,,DEM,Dave Loebsack,37,0,27,10,0
Wapello,Green,United States Representative District 2,,DEM,Dave Loebsack,40,0,30,10,0
Wapello,Highland,United States Representative District 2,,DEM,Dave Loebsack,8,0,7,1,0
Wapello,Keokuk,United States Representative District 2,,DEM,Dave Loebsack,56,0,40,16,0
Wapello,Richland/Kirkville,United States Representative District 2,,DEM,Dave Loebsack,21,0,19,2,0
Wapello,Washington/Eldon,United States Representative District 2,,DEM,Dave Loebsack,62,0,52,10,0
Wapello,Pct 1,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 2,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 3,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 4,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 5,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 6,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 7,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 8,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 9,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Pct 10,United States Representative District 2,,,Write-in,0,0,0,0,0
Wapello,Adams/Blakesburg/Polk,United States Representative District 2,,,Write-in,3,0,2,1,0
