county,precinct,office,district,party,candidate,votes,election_day_total_votes
Hardin,Alden-Buckeye,U.S. House,4,REP,Cyndi Hanson,14,14
Hardin,Hardin-Ellis-Jackson,U.S. House,4,REP,Cyndi Hanson,22,22
Hardin,Iowa Falls #1,U.S. House,4,REP,Cyndi Hanson,15,15
Hardin,Iowa Falls #2,U.S. House,4,REP,Cyndi Hanson,54,54
Hardin,Etna-Clay,U.S. House,4,REP,Cyndi Hanson,48,48
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,REP,Cyndi Hanson,36,36
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,REP,Cyndi Hanson,27,27
Hardin,Eldora City,U.S. House,4,REP,Cyndi Hanson,49,49
Hardin,Alden-Buckeye,U.S. House,4,REP,Steve King,50,50
Hardin,Hardin-Ellis-Jackson,U.S. House,4,REP,Steve King,81,81
Hardin,Iowa Falls #1,U.S. House,4,REP,Steve King,55,55
Hardin,Iowa Falls #2,U.S. House,4,REP,Steve King,143,143
Hardin,Etna-Clay,U.S. House,4,REP,Steve King,131,131
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,REP,Steve King,155,155
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,REP,Steve King,130,130
Hardin,Eldora City,U.S. House,4,REP,Steve King,140,140
Hardin,Alden-Buckeye,U.S. House,4,,Write-in,0,0
Hardin,Hardin-Ellis-Jackson,U.S. House,4,,Write-in,0,0
Hardin,Iowa Falls #1,U.S. House,4,,Write-in,0,0
Hardin,Iowa Falls #2,U.S. House,4,,Write-in,0,0
Hardin,Etna-Clay,U.S. House,4,,Write-in,0,0
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,,Write-in,0,0
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,,Write-in,0,0
Hardin,Eldora City,U.S. House,4,,Write-in,0,0
Hardin,Alden-Buckeye,U.S. House,4,DEM,Leann Jacobsen,24,24
Hardin,Hardin-Ellis-Jackson,U.S. House,4,DEM,Leann Jacobsen,29,29
Hardin,Iowa Falls #1,U.S. House,4,DEM,Leann Jacobsen,61,61
Hardin,Iowa Falls #2,U.S. House,4,DEM,Leann Jacobsen,57,57
Hardin,Etna-Clay,U.S. House,4,DEM,Leann Jacobsen,35,35
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,DEM,Leann Jacobsen,31,31
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,DEM,Leann Jacobsen,25,25
Hardin,Eldora City,U.S. House,4,DEM,Leann Jacobsen,44,44
Hardin,Alden-Buckeye,U.S. House,4,DEM,John Paschen,8,8
Hardin,Hardin-Ellis-Jackson,U.S. House,4,DEM,John Paschen,12,12
Hardin,Iowa Falls #1,U.S. House,4,DEM,John Paschen,12,12
Hardin,Iowa Falls #2,U.S. House,4,DEM,John Paschen,22,22
Hardin,Etna-Clay,U.S. House,4,DEM,John Paschen,12,12
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,DEM,John Paschen,19,19
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,DEM,John Paschen,4,4
Hardin,Eldora City,U.S. House,4,DEM,John Paschen,14,14
Hardin,Alden-Buckeye,U.S. House,4,DEM,J.D. Scholten,18,18
Hardin,Hardin-Ellis-Jackson,U.S. House,4,DEM,J.D. Scholten,34,34
Hardin,Iowa Falls #1,U.S. House,4,DEM,J.D. Scholten,50,50
Hardin,Iowa Falls #2,U.S. House,4,DEM,J.D. Scholten,59,59
Hardin,Etna-Clay,U.S. House,4,DEM,J.D. Scholten,33,33
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,DEM,J.D. Scholten,18,18
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,DEM,J.D. Scholten,21,21
Hardin,Eldora City,U.S. House,4,DEM,J.D. Scholten,38,38
Hardin,Alden-Buckeye,U.S. House,4,LIB,Charles Aldrich,1,1
Hardin,Hardin-Ellis-Jackson,U.S. House,4,LIB,Charles Aldrich,1,1
Hardin,Iowa Falls #1,U.S. House,4,LIB,Charles Aldrich,2,2
Hardin,Iowa Falls #2,U.S. House,4,LIB,Charles Aldrich,2,2
Hardin,Etna-Clay,U.S. House,4,LIB,Charles Aldrich,1,1
Hardin,Concord-Sherman-Grant-Tipton,U.S. House,4,LIB,Charles Aldrich,3,3
Hardin,Eldora-Pleasant-Providence-Union,U.S. House,4,LIB,Charles Aldrich,1,1
Hardin,Eldora City,U.S. House,4,LIB,Charles Aldrich,3,3
Hardin,Alden-Buckeye,Governor,,REP,Kim Reynolds,66,66
Hardin,Hardin-Ellis-Jackson,Governor,,REP,Kim Reynolds,97,97
Hardin,Iowa Falls #1,Governor,,REP,Kim Reynolds,70,70
Hardin,Iowa Falls #2,Governor,,REP,Kim Reynolds,182,182
Hardin,Etna-Clay,Governor,,REP,Kim Reynolds,169,169
Hardin,Concord-Sherman-Grant-Tipton,Governor,,REP,Kim Reynolds,185,185
Hardin,Eldora-Pleasant-Providence-Union,Governor,,REP,Kim Reynolds,152,152
Hardin,Eldora City,Governor,,REP,Kim Reynolds,175,175
Hardin,Alden-Buckeye,Governor,,,Write-in,0,0
Hardin,Hardin-Ellis-Jackson,Governor,,,Write-in,0,0
Hardin,Iowa Falls #1,Governor,,,Write-in,0,0
Hardin,Iowa Falls #2,Governor,,,Write-in,0,0
Hardin,Etna-Clay,Governor,,,Write-in,1,1
Hardin,Concord-Sherman-Grant-Tipton,Governor,,,Write-in,0,0
Hardin,Eldora-Pleasant-Providence-Union,Governor,,,Write-in,0,0
Hardin,Eldora City,Governor,,,Write-in,0,0
Hardin,Alden-Buckeye,Governor,,DEM,Nate Boulton,2,2
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,Nate Boulton,0,0
Hardin,Iowa Falls #1,Governor,,DEM,Nate Boulton,4,4
Hardin,Iowa Falls #2,Governor,,DEM,Nate Boulton,4,4
Hardin,Etna-Clay,Governor,,DEM,Nate Boulton,7,7
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,Nate Boulton,6,6
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,Nate Boulton,3,3
Hardin,Eldora City,Governor,,DEM,Nate Boulton,9,9
Hardin,Alden-Buckeye,Governor,,DEM,Cathy Glasson,9,9
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,Cathy Glasson,10,10
Hardin,Iowa Falls #1,Governor,,DEM,Cathy Glasson,18,18
Hardin,Iowa Falls #2,Governor,,DEM,Cathy Glasson,25,25
Hardin,Etna-Clay,Governor,,DEM,Cathy Glasson,16,16
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,Cathy Glasson,12,12
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,Cathy Glasson,11,11
Hardin,Eldora City,Governor,,DEM,Cathy Glasson,21,21
Hardin,Alden-Buckeye,Governor,,DEM,Fred Hubbell,31,31
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,Fred Hubbell,55,55
Hardin,Iowa Falls #1,Governor,,DEM,Fred Hubbell,92,92
Hardin,Iowa Falls #2,Governor,,DEM,Fred Hubbell,80,80
Hardin,Etna-Clay,Governor,,DEM,Fred Hubbell,43,43
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,Fred Hubbell,41,41
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,Fred Hubbell,30,30
Hardin,Eldora City,Governor,,DEM,Fred Hubbell,54,54
Hardin,Alden-Buckeye,Governor,,DEM,Andrea Andy McGuire,7,7
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,Andrea Andy McGuire,1,1
Hardin,Iowa Falls #1,Governor,,DEM,Andrea Andy McGuire,7,7
Hardin,Iowa Falls #2,Governor,,DEM,Andrea Andy McGuire,6,6
Hardin,Etna-Clay,Governor,,DEM,Andrea Andy McGuire,3,3
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,Andrea Andy McGuire,9,9
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,Andrea Andy McGuire,2,2
Hardin,Eldora City,Governor,,DEM,Andrea Andy McGuire,6,6
Hardin,Alden-Buckeye,Governor,,DEM,John Norris,3,3
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,John Norris,10,10
Hardin,Iowa Falls #1,Governor,,DEM,John Norris,8,8
Hardin,Iowa Falls #2,Governor,,DEM,John Norris,26,26
Hardin,Etna-Clay,Governor,,DEM,John Norris,14,14
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,John Norris,5,5
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,John Norris,5,5
Hardin,Eldora City,Governor,,DEM,John Norris,12,12
Hardin,Alden-Buckeye,Governor,,DEM,Ross Wilburn,2,2
Hardin,Hardin-Ellis-Jackson,Governor,,DEM,Ross Wilburn,2,2
Hardin,Iowa Falls #1,Governor,,DEM,Ross Wilburn,1,1
Hardin,Iowa Falls #2,Governor,,DEM,Ross Wilburn,3,3
Hardin,Etna-Clay,Governor,,DEM,Ross Wilburn,2,2
Hardin,Concord-Sherman-Grant-Tipton,Governor,,DEM,Ross Wilburn,0,0
Hardin,Eldora-Pleasant-Providence-Union,Governor,,DEM,Ross Wilburn,0,0
Hardin,Eldora City,Governor,,DEM,Ross Wilburn,1,1
Hardin,Alden-Buckeye,Governor,,LIB,Marco Battaglia,0,0
Hardin,Hardin-Ellis-Jackson,Governor,,LIB,Marco Battaglia,1,1
Hardin,Iowa Falls #1,Governor,,LIB,Marco Battaglia,1,1
Hardin,Iowa Falls #2,Governor,,LIB,Marco Battaglia,1,1
Hardin,Etna-Clay,Governor,,LIB,Marco Battaglia,0,0
Hardin,Concord-Sherman-Grant-Tipton,Governor,,LIB,Marco Battaglia,0,0
Hardin,Eldora-Pleasant-Providence-Union,Governor,,LIB,Marco Battaglia,0,0
Hardin,Eldora City,Governor,,LIB,Marco Battaglia,0,0
Hardin,Alden-Buckeye,Governor,,LIB,Jake Porter,1,1
Hardin,Hardin-Ellis-Jackson,Governor,,LIB,Jake Porter,0,0
Hardin,Iowa Falls #1,Governor,,LIB,Jake Porter,0,0
Hardin,Iowa Falls #2,Governor,,LIB,Jake Porter,1,1
Hardin,Etna-Clay,Governor,,LIB,Jake Porter,1,1
Hardin,Concord-Sherman-Grant-Tipton,Governor,,LIB,Jake Porter,3,3
Hardin,Eldora-Pleasant-Providence-Union,Governor,,LIB,Jake Porter,1,1
Hardin,Eldora City,Governor,,LIB,Jake Porter,3,3
Hardin,Alden-Buckeye,Secretary of State,,REP,Paul D. Pate,55,55
Hardin,Hardin-Ellis-Jackson,Secretary of State,,REP,Paul D. Pate,89,89
Hardin,Iowa Falls #1,Secretary of State,,REP,Paul D. Pate,60,60
Hardin,Iowa Falls #2,Secretary of State,,REP,Paul D. Pate,173,173
Hardin,Etna-Clay,Secretary of State,,REP,Paul D. Pate,156,156
Hardin,Concord-Sherman-Grant-Tipton,Secretary of State,,REP,Paul D. Pate,171,171
Hardin,Eldora-Pleasant-Providence-Union,Secretary of State,,REP,Paul D. Pate,134,134
Hardin,Eldora City,Secretary of State,,REP,Paul D. Pate,152,152
Hardin,Alden-Buckeye,Secretary of State,,,Write-in,0,0
