county,precinct,office,district,party,candidate,votes,absentee,polling
Dubuque,Rockdale United Methodist Church,United States Representative District 1,,DEM,Abby Finkenauer,339,3,336
Dubuque,Theisen's Home Center,United States Representative District 1,,DEM,Abby Finkenauer,452,2,450
Dubuque,Area Residential Care,United States Representative District 1,,DEM,Abby Finkenauer,189,0,189
Dubuque,Journey Church,United States Representative District 1,,DEM,Abby Finkenauer,311,1,310
Dubuque,Arbor Oaks Bible Chapel,United States Representative District 1,,DEM,Abby Finkenauer,327,2,325
Dubuque,Summit Congregational Church,United States Representative District 1,,DEM,Abby Finkenauer,254,3,251
Dubuque,St. Peter Lutheran Church,United States Representative District 1,,DEM,Abby Finkenauer,433,3,430
Dubuque,Emmaus Bible College,United States Representative District 1,,DEM,Abby Finkenauer,206,0,206
Dubuque,Westminster Church Nine,United States Representative District 1,,DEM,Abby Finkenauer,160,0,160
Dubuque,Westminster Church Ten,United States Representative District 1,,DEM,Abby Finkenauer,318,1,317
Dubuque,U.A.W. Local 94,United States Representative District 1,,DEM,Abby Finkenauer,191,0,191
Dubuque,Windsor Park,United States Representative District 1,,DEM,Abby Finkenauer,271,0,271
Dubuque,Moose Lodge 355,United States Representative District 1,,DEM,Abby Finkenauer,145,0,145
Dubuque,Sacred Heart Church,United States Representative District 1,,DEM,Abby Finkenauer,95,0,95
Dubuque,Holy Trinity Church,United States Representative District 1,,DEM,Abby Finkenauer,194,0,194
Dubuque,Election Annex,United States Representative District 1,,DEM,Abby Finkenauer,98,0,98
Dubuque,St John's Parish House,United States Representative District 1,,DEM,Abby Finkenauer,87,0,87
Dubuque,Federal Building,United States Representative District 1,,DEM,Abby Finkenauer,195,1,194
Dubuque,YMCA/YWCA,United States Representative District 1,,DEM,Abby Finkenauer,322,3,319
Dubuque,Fogarty Hall Center,United States Representative District 1,,DEM,Abby Finkenauer,434,0,434
Dubuque,Asbury City,United States Representative District 1,,DEM,Abby Finkenauer,280,0,280
Dubuque,The Meadows Golf,United States Representative District 1,,DEM,Abby Finkenauer,258,0,258
Dubuque,Cascade City Hall,United States Representative District 1,,DEM,Abby Finkenauer,127,0,127
Dubuque,Peosta Community Center,United States Representative District 1,,DEM,Abby Finkenauer,245,0,245
Dubuque,Luxemburg City Hall,United States Representative District 1,,DEM,Abby Finkenauer,106,1,105
