county,precinct,office,district,party,candidate,votes,group3,group1,group2,group4
Scott,(AG) Allen's Grove Township,U.S. House,2,DEM,Dave Loebsack,24,0,21,3,0
Scott,(B11) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,221,0,183,38,0
Scott,(B12) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,167,2,152,13,0
Scott,(B21) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,93,0,85,8,0
Scott,(B22) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,160,0,144,16,0
Scott,(B23) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,20,0,17,3,0
Scott,(B31) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,145,0,124,21,0
Scott,(B32) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,155,0,125,30,0
Scott,(B41) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,160,0,141,19,0
Scott,(B42) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,218,0,192,26,0
Scott,(B51) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,163,1,135,27,0
Scott,(B52) City of Bettendorf,U.S. House,2,DEM,Dave Loebsack,173,5,146,22,0
Scott,(BG) Blue Grass Township,U.S. House,2,DEM,Dave Loebsack,114,0,103,11,0
Scott,(BF) City of Buffalo,U.S. House,2,DEM,Dave Loebsack,34,0,33,1,0
Scott,(BU) Buffalo Township,U.S. House,2,DEM,Dave Loebsack,85,0,70,15,0
Scott,(D11) City of Davenport,U.S. House,2,DEM,Dave Loebsack,137,0,119,18,0
Scott,(D12) City of Davenport,U.S. House,2,DEM,Dave Loebsack,116,0,105,11,0
Scott,(D13) City of Davenport,U.S. House,2,DEM,Dave Loebsack,124,1,106,17,0
Scott,(D14) City of Davenport,U.S. House,2,DEM,Dave Loebsack,89,0,70,19,0
Scott,(D21) City of Davenport,U.S. House,2,DEM,Dave Loebsack,106,0,91,15,0
Scott,(D22) City of Davenport,U.S. House,2,DEM,Dave Loebsack,89,0,77,12,0
Scott,(D23) City of Davenport,U.S. House,2,DEM,Dave Loebsack,109,1,97,11,0
Scott,(D24) City of Davenport,U.S. House,2,DEM,Dave Loebsack,148,0,134,14,0
Scott,(D31) City of Davenport,U.S. House,2,DEM,Dave Loebsack,115,0,95,20,0
Scott,(D32) City of Davenport,U.S. House,2,DEM,Dave Loebsack,79,0,65,14,0
Scott,(D33) City of Davenport,U.S. House,2,DEM,Dave Loebsack,80,0,65,15,0
Scott,(D34) City of Davenport,U.S. House,2,DEM,Dave Loebsack,115,5,98,12,0
Scott,(D41) City of Davenport,U.S. House,2,DEM,Dave Loebsack,137,0,123,14,0
Scott,(D42) City of Davenport,U.S. House,2,DEM,Dave Loebsack,109,1,94,14,0
Scott,(D43) City of Davenport,U.S. House,2,DEM,Dave Loebsack,142,0,125,17,0
Scott,(D44) City of Davenport,U.S. House,2,DEM,Dave Loebsack,68,0,59,9,0
Scott,(D51) City of Davenport,U.S. House,2,DEM,Dave Loebsack,238,3,206,29,0
Scott,(D52) City of Davenport,U.S. House,2,DEM,Dave Loebsack,148,1,134,13,0
Scott,(D53) City of Davenport,U.S. House,2,DEM,Dave Loebsack,159,0,147,12,0
Scott,(D54) City of Davenport,U.S. House,2,DEM,Dave Loebsack,119,0,105,14,0
Scott,(D61) City of Davenport,U.S. House,2,DEM,Dave Loebsack,131,1,115,15,0
Scott,(D62) City of Davenport,U.S. House,2,DEM,Dave Loebsack,176,1,155,20,0
Scott,(D63) City of Davenport,U.S. House,2,DEM,Dave Loebsack,173,1,152,20,0
Scott,(D64) City of Davenport,U.S. House,2,DEM,Dave Loebsack,421,0,380,41,0
Scott,(D71) City of Davenport,U.S. House,2,DEM,Dave Loebsack,204,1,176,27,0
Scott,(D72) City of Davenport,U.S. House,2,DEM,Dave Loebsack,188,1,156,31,0
Scott,(D73) City of Davenport,U.S. House,2,DEM,Dave Loebsack,159,1,139,19,0
Scott,(D74) City of Davenport,U.S. House,2,DEM,Dave Loebsack,69,0,57,12,0
Scott,(D81) City of Davenport,U.S. House,2,DEM,Dave Loebsack,102,0,91,11,0
Scott,(D82) City of Davenport,U.S. House,2,DEM,Dave Loebsack,159,0,122,37,0
Scott,(D83) City of Davenport,U.S. House,2,DEM,Dave Loebsack,123,1,102,20,0
Scott,(D84) City of Davenport,U.S. House,2,DEM,Dave Loebsack,127,1,107,19,0
Scott,(DH) City of Donahue,U.S. House,2,DEM,Dave Loebsack,12,0,12,0,0
Scott,(EL1) City of Eldridge,U.S. House,2,DEM,Dave Loebsack,148,0,132,16,0
Scott,(EL2) City of Eldridge,U.S. House,2,DEM,Dave Loebsack,119,0,102,17,0
Scott,(HG) Hickory Grove Township,U.S. House,2,DEM,Dave Loebsack,24,0,16,8,0
Scott,(LC1) City of LeClaire,U.S. House,2,DEM,Dave Loebsack,107,1,96,10,0
Scott,(LC2) City of LeClaire,U.S. House,2,DEM,Dave Loebsack,75,0,65,10,0
Scott,(LCT) LeClaire Township,U.S. House,2,DEM,Dave Loebsack,51,0,44,7,0
Scott,(LB) Liberty Township,U.S. House,2,DEM,Dave Loebsack,20,0,18,2,0
Scott,(LG) City of Long Grove,U.S. House,2,DEM,Dave Loebsack,50,0,47,3,0
Scott,(MC) City of McCausland,U.S. House,2,DEM,Dave Loebsack,31,0,27,4,0
Scott,(PKV) Park View,U.S. House,2,DEM,Dave Loebsack,72,0,65,7,0
Scott,(PV) Pleasant Valley,U.S. House,2,DEM,Dave Loebsack,29,0,27,2,0
Scott,(PR) City of Princeton,U.S. House,2,DEM,Dave Loebsack,57,0,52,5,0
Scott,(RV) City of Riverdale,U.S. House,2,DEM,Dave Loebsack,29,0,27,2,0
Scott,(WC) City of Walcott,U.S. House,2,DEM,Dave Loebsack,58,0,55,3,0
Scott,(WF) Winfield Township,U.S. House,2,DEM,Dave Loebsack,41,0,38,3,0
Scott,(AG) Allen's Grove Township,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B11) City of Bettendorf,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(B12) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B21) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B22) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B23) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B31) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B32) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B41) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(B42) City of Bettendorf,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(B51) City of Bettendorf,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(B52) City of Bettendorf,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(BG) Blue Grass Township,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(BF) City of Buffalo,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(BU) Buffalo Township,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D11) City of Davenport,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(D12) City of Davenport,U.S. House,2,,Write-in,2,0,2,0,0
Scott,(D13) City of Davenport,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(D14) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D21) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D22) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D23) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D24) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D31) City of Davenport,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(D32) City of Davenport,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(D33) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D34) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
Scott,(D41) City of Davenport,U.S. House,2,,Write-in,1,0,1,0,0
Scott,(D42) City of Davenport,U.S. House,2,,Write-in,0,0,0,0,0
