county,precinct,office,district,party,candidate,votes,absentee,polling
Buena Vista,ACFC,U.S. House,4,REP,Cyndi Hanson,16,1,15
Buena Vista,ALNE,U.S. House,4,REP,Cyndi Hanson,20,2,18
Buena Vista,LKHM,U.S. House,4,REP,Cyndi Hanson,15,1,14
Buena Vista,NENP,U.S. House,4,REP,Cyndi Hanson,8,0,8
Buena Vista,SMLR,U.S. House,4,REP,Cyndi Hanson,24,5,19
Buena Vista,SL01,U.S. House,4,REP,Cyndi Hanson,8,0,8
Buena Vista,SL02,U.S. House,4,REP,Cyndi Hanson,3,0,3
Buena Vista,SL03,U.S. House,4,REP,Cyndi Hanson,20,5,15
Buena Vista,SL04,U.S. House,4,REP,Cyndi Hanson,15,1,14
Buena Vista,TRWG,U.S. House,4,REP,Cyndi Hanson,6,0,6
Buena Vista,ACFC,U.S. House,4,REP,Steve King,89,10,79
Buena Vista,ALNE,U.S. House,4,REP,Steve King,68,7,61
Buena Vista,LKHM,U.S. House,4,REP,Steve King,39,7,32
Buena Vista,NENP,U.S. House,4,REP,Steve King,65,8,57
Buena Vista,SMLR,U.S. House,4,REP,Steve King,97,12,85
Buena Vista,SL01,U.S. House,4,REP,Steve King,31,3,28
Buena Vista,SL02,U.S. House,4,REP,Steve King,15,4,11
Buena Vista,SL03,U.S. House,4,REP,Steve King,73,12,61
Buena Vista,SL04,U.S. House,4,REP,Steve King,35,1,34
Buena Vista,TRWG,U.S. House,4,REP,Steve King,25,4,21
Buena Vista,ACFC,U.S. House,4,,Write-in,0,0,0
Buena Vista,ALNE,U.S. House,4,,Write-in,0,0,0
Buena Vista,LKHM,U.S. House,4,,Write-in,0,0,0
Buena Vista,NENP,U.S. House,4,,Write-in,0,0,0
Buena Vista,SMLR,U.S. House,4,,Write-in,0,0,0
Buena Vista,SL01,U.S. House,4,,Write-in,0,0,0
Buena Vista,SL02,U.S. House,4,,Write-in,0,0,0
Buena Vista,SL03,U.S. House,4,,Write-in,0,0,0
Buena Vista,SL04,U.S. House,4,,Write-in,0,0,0
Buena Vista,TRWG,U.S. House,4,,Write-in,0,0,0
Buena Vista,ACFC,Governor,,REP,Kim Reynolds,98,10,88
Buena Vista,ALNE,Governor,,REP,Kim Reynolds,78,7,71
Buena Vista,LKHM,Governor,,REP,Kim Reynolds,48,7,41
Buena Vista,NENP,Governor,,REP,Kim Reynolds,68,7,61
Buena Vista,SMLR,Governor,,REP,Kim Reynolds,111,16,95
Buena Vista,SL01,Governor,,REP,Kim Reynolds,38,4,34
