county,precinct,office,district,party,candidate,votes,group3,group1,group2,group4
Woodbury,1 CHURCH OF JESUS CHRIST,United States Representative District 4,,DEM,Leann Jacobsen,17,0,17,0,0
Woodbury,2 CROSS POINTE CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,11,0,11,0,0
Woodbury,3 CONCORDIA LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,23,0,23,0,0
Woodbury,4 SIOUXLAND CENTER,United States Representative District 4,,DEM,Leann Jacobsen,8,0,8,0,0
Woodbury,5 RIVERSIDE LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,16,0,16,0,0
Woodbury,6 FAITH LUTHERAN CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,20,0,20,0,0
Woodbury,7 BRYANT/CRESCENT PARK,United States Representative District 4,,DEM,Leann Jacobsen,21,0,21,0,0
Woodbury,8 MT. ZION BAPTIST CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,13,0,13,0,0
Woodbury,9 BOYS & GIRLS HOME,United States Representative District 4,,DEM,Leann Jacobsen,5,0,5,0,0
Woodbury,10 FIRST CONGREGATIONAL,United States Representative District 4,,DEM,Leann Jacobsen,18,0,18,0,0
Woodbury,11 GIRLS INC,United States Representative District 4,,DEM,Leann Jacobsen,8,0,8,0,0
Woodbury,12 ST JOHN LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,23,0,23,0,0
Woodbury,13 SC TRANSIT SYSTEM,United States Representative District 4,,DEM,Leann Jacobsen,10,0,10,0,0
Woodbury,14 BOYS & GIRLS HOME,United States Representative District 4,,DEM,Leann Jacobsen,14,0,14,0,0
Woodbury,15 PEACE REFORMED/CONCORD,United States Representative District 4,,DEM,Leann Jacobsen,5,0,5,0,0
Woodbury,16 TRIMBLE UNITED METH CH,United States Representative District 4,,DEM,Leann Jacobsen,16,0,16,0,0
Woodbury,17 SC BAPTIST CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,17,0,17,0,0
Woodbury,18 CALVARY LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,15,0,15,0,0
Woodbury,19 CENTRAL BAPTIST CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,26,0,26,0,0
Woodbury,20 AUGUSTANA LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,13,0,13,0,0
Woodbury,21 M'SIDE LUTHERAN CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,9,0,9,0,0
Woodbury,22 MORNINGSIDE LIBRARY,United States Representative District 4,,DEM,Leann Jacobsen,22,0,22,0,0
Woodbury,23 IGLESIA RESTAURACION,United States Representative District 4,,DEM,Leann Jacobsen,19,0,19,0,0
Woodbury,24 WASHINGTON HEIGHTS,United States Representative District 4,,DEM,Leann Jacobsen,12,0,12,0,0
Woodbury,25 M'SIDE COLLEGE EPPLEY,United States Representative District 4,,DEM,Leann Jacobsen,16,0,16,0,0
Woodbury,26 MSIDE BIBLE CHURCH,United States Representative District 4,,DEM,Leann Jacobsen,6,0,6,0,0
Woodbury,27 ST JAMES UNITED METH.,United States Representative District 4,,DEM,Leann Jacobsen,15,0,15,0,0
Woodbury,28 REDEEMER LUTHERAN,United States Representative District 4,,DEM,Leann Jacobsen,22,0,22,0,0
Woodbury,29 SGT BLUFF EAST/WDBY,United States Representative District 4,,DEM,Leann Jacobsen,10,0,10,0,0
Woodbury,30 SGT BLUFF WEST,United States Representative District 4,,DEM,Leann Jacobsen,13,0,13,0,0
Woodbury,31 SALIX/LIB-LAK TWP,United States Representative District 4,,DEM,Leann Jacobsen,8,0,8,0,0
Woodbury,32 BRONSON/FLO-GRG TWP,United States Representative District 4,,DEM,Leann Jacobsen,0,0,0,0,0
Woodbury,33 PIERSON/RUTLAND TWP,United States Representative District 4,,DEM,Leann Jacobsen,3,0,3,0,0
Woodbury,34 C'VILLE/KED-UNI TWP,United States Representative District 4,,DEM,Leann Jacobsen,5,0,5,0,0
Woodbury,35 MOVILLE/ARL-MOV-WOL TW,United States Representative District 4,,DEM,Leann Jacobsen,6,0,6,0,0
