county,precinct,office,district,party,candidate,votes,election_day_total_votes
Appanoose,Bellair-Lincoln,U.S. House,2,REP,Christopher Peters,18,18
Appanoose,Centerville W1,U.S. House,2,REP,Christopher Peters,71,71
Appanoose,Centerville W2,U.S. House,2,REP,Christopher Peters,55,55
Appanoose,Centerville W3,U.S. House,2,REP,Christopher Peters,64,64
Appanoose,Caldwell,U.S. House,2,REP,Christopher Peters,32,32
Appanoose,Johns-Independence,U.S. House,2,REP,Christopher Peters,35,35
Appanoose,Pleasant-Franklin,U.S. House,2,REP,Christopher Peters,12,12
Appanoose,Taylor-Chariton,U.S. House,2,REP,Christopher Peters,40,40
Appanoose,Union-Udell,U.S. House,2,REP,Christopher Peters,32,32
Appanoose,Vermillion-Douglas-Sharon,U.S. House,2,REP,Christopher Peters,44,44
Appanoose,Walnut,U.S. House,2,REP,Christopher Peters,32,32
Appanoose,Washington-Wells,U.S. House,2,REP,Christopher Peters,49,49
Appanoose,Bellair-Lincoln,U.S. House,2,,Write-in,0,0
Appanoose,Centerville W1,U.S. House,2,,Write-in,0,0
Appanoose,Centerville W2,U.S. House,2,,Write-in,0,0
Appanoose,Centerville W3,U.S. House,2,,Write-in,0,0
Appanoose,Caldwell,U.S. House,2,,Write-in,0,0
Appanoose,Johns-Independence,U.S. House,2,,Write-in,0,0
Appanoose,Pleasant-Franklin,U.S. House,2,,Write-in,0,0
Appanoose,Taylor-Chariton,U.S. House,2,,Write-in,0,0
Appanoose,Union-Udell,U.S. House,2,,Write-in,0,0
Appanoose,Vermillion-Douglas-Sharon,U.S. House,2,,Write-in,0,0
Appanoose,Walnut,U.S. House,2,,Write-in,0,0
Appanoose,Washington-Wells,U.S. House,2,,Write-in,0,0
Appanoose,Bellair-Lincoln,U.S. House,2,DEM,Dave Loebsack,36,36
Appanoose,Centerville W1,U.S. House,2,DEM,Dave Loebsack,87,87
Appanoose,Centerville W2,U.S. House,2,DEM,Dave Loebsack,61,61
Appanoose,Centerville W3,U.S. House,2,DEM,Dave Loebsack,63,63
Appanoose,Caldwell,U.S. House,2,DEM,Dave Loebsack,18,18
Appanoose,Johns-Independence,U.S. House,2,DEM,Dave Loebsack,30,30
Appanoose,Pleasant-Franklin,U.S. House,2,DEM,Dave Loebsack,27,27
Appanoose,Taylor-Chariton,U.S. House,2,DEM,Dave Loebsack,41,41
Appanoose,Union-Udell,U.S. House,2,DEM,Dave Loebsack,34,34
Appanoose,Vermillion-Douglas-Sharon,U.S. House,2,DEM,Dave Loebsack,36,36
Appanoose,Walnut,U.S. House,2,DEM,Dave Loebsack,32,32
Appanoose,Washington-Wells,U.S. House,2,DEM,Dave Loebsack,19,19
Appanoose,Bellair-Lincoln,Governor,,REP,Kim Reynolds,28,28
Appanoose,Centerville W1,Governor,,REP,Kim Reynolds,92,92
Appanoose,Centerville W2,Governor,,REP,Kim Reynolds,80,80
Appanoose,Centerville W3,Governor,,REP,Kim Reynolds,86,86
Appanoose,Caldwell,Governor,,REP,Kim Reynolds,43,43
