county,precinct,office,district,party,candidate,votes,absentee,polling
Benton,Belle Plaine 1,U.S. House,1,REP,Rod Blum,20,1,19
Benton,Belle Plaine 2,U.S. House,1,REP,Rod Blum,13,0,13
Benton,Belle Plaine 3,U.S. House,1,REP,Rod Blum,14,0,14
Benton,Benton - Canton - Shellsburg,U.S. House,1,REP,Rod Blum,51,6,45
Benton,Big Grove - Union - Van Horne,U.S. House,1,REP,Rod Blum,30,3,27
Benton,Bruce - Cedar - Mt Auburn,U.S. House,1,REP,Rod Blum,37,1,36
Benton,Eden - Harrison - Taylor,U.S. House,1,REP,Rod Blum,38,5,33
Benton,Eldorado - Newhall,U.S. House,1,REP,Rod Blum,33,1,32
Benton,Florence - St Clair - Norway,U.S. House,1,REP,Rod Blum,26,1,25
Benton,Fremont - Atkins,U.S. House,1,REP,Rod Blum,67,5,62
Benton,Homer - Monroe - Jackson - Garrison,U.S. House,1,REP,Rod Blum,21,0,21
Benton,Iowa - Leroy - Luzerne - Blairstown,U.S. House,1,REP,Rod Blum,53,2,51
Benton,Kane - Keystone,U.S. House,1,REP,Rod Blum,37,4,33
Benton,Polk - Urbana,U.S. House,1,REP,Rod Blum,46,2,44
Benton,Vinton 1,U.S. House,1,REP,Rod Blum,35,4,31
Benton,Vinton 2,U.S. House,1,REP,Rod Blum,11,3,8
Benton,Vinton 3,U.S. House,1,REP,Rod Blum,24,2,22
Benton,Vinton 4,U.S. House,1,REP,Rod Blum,33,8,25
Benton,Walford,U.S. House,1,REP,Rod Blum,18,2,16
Benton,Belle Plaine 1,U.S. House,1,,Write-in,0,0,0
Benton,Belle Plaine 2,U.S. House,1,,Write-in,0,0,0
Benton,Belle Plaine 3,U.S. House,1,,Write-in,0,0,0
Benton,Benton - Canton - Shellsburg,U.S. House,1,,Write-in,0,0,0
Benton,Big Grove - Union - Van Horne,U.S. House,1,,Write-in,0,0,0
Benton,Bruce - Cedar - Mt Auburn,U.S. House,1,,Write-in,0,0,0
Benton,Eden - Harrison - Taylor,U.S. House,1,,Write-in,0,0,0
