county,precinct,office,district,party,candidate,votes,absentee,polling
Cherokee,#1 Aurelia,U.S. House,4,REP,Cyndi Hanson,36,12,24
Cherokee,#2 Cleghorn,U.S. House,4,REP,Cyndi Hanson,44,13,31
Cherokee,#3 Quimby,U.S. House,4,REP,Cyndi Hanson,21,9,12
Cherokee,#4 Cherokee,U.S. House,4,REP,Cyndi Hanson,38,9,29
Cherokee,#5 Cherokee Ward 1,U.S. House,4,REP,Cyndi Hanson,93,30,63
Cherokee,#6 Cherokee Ward 2,U.S. House,4,REP,Cyndi Hanson,49,18,31
Cherokee,#7 Cherokee Ward 3,U.S. House,4,REP,Cyndi Hanson,49,14,35
Cherokee,#1 Aurelia,U.S. House,4,REP,Steve King,105,20,85
Cherokee,#2 Cleghorn,U.S. House,4,REP,Steve King,124,33,91
Cherokee,#3 Quimby,U.S. House,4,REP,Steve King,56,19,37
Cherokee,#4 Cherokee,U.S. House,4,REP,Steve King,113,33,80
Cherokee,#5 Cherokee Ward 1,U.S. House,4,REP,Steve King,163,57,106
Cherokee,#6 Cherokee Ward 2,U.S. House,4,REP,Steve King,60,13,47
Cherokee,#7 Cherokee Ward 3,U.S. House,4,REP,Steve King,102,40,62
Cherokee,#1 Aurelia,U.S. House,4,,Write-in,0,0,0
Cherokee,#2 Cleghorn,U.S. House,4,,Write-in,0,0,0
Cherokee,#3 Quimby,U.S. House,4,,Write-in,0,0,0
Cherokee,#4 Cherokee,U.S. House,4,,Write-in,0,0,0
Cherokee,#5 Cherokee Ward 1,U.S. House,4,,Write-in,0,0,0
Cherokee,#6 Cherokee Ward 2,U.S. House,4,,Write-in,0,0,0
Cherokee,#7 Cherokee Ward 3,U.S. House,4,,Write-in,0,0,0
Cherokee,#1 Aurelia,Governor,,REP,Kim Reynolds,123,24,99
Cherokee,#2 Cleghorn,Governor,,REP,Kim Reynolds,158,42,116
Cherokee,#3 Quimby,Governor,,REP,Kim Reynolds,68,23,45
Cherokee,#4 Cherokee,Governor,,REP,Kim Reynolds,140,41,99
Cherokee,#5 Cherokee Ward 1,Governor,,REP,Kim Reynolds,214,74,140
Cherokee,#6 Cherokee Ward 2,Governor,,REP,Kim Reynolds,85,23,62
Cherokee,#7 Cherokee Ward 3,Governor,,REP,Kim Reynolds,134,46,88
Cherokee,#1 Aurelia,Governor,,,Write-in,0,0,0
Cherokee,#2 Cleghorn,Governor,,,Write-in,0,0,0
Cherokee,#3 Quimby,Governor,,,Write-in,0,0,0
Cherokee,#4 Cherokee,Governor,,,Write-in,0,0,0
Cherokee,#5 Cherokee Ward 1,Governor,,,Write-in,0,0,0
Cherokee,#6 Cherokee Ward 2,Governor,,,Write-in,0,0,0
Cherokee,#7 Cherokee Ward 3,Governor,,,Write-in,0,0,0
Cherokee,#1 Aurelia,Secretary of State,,REP,Paul D. Pate,113,24,89
Cherokee,#2 Cleghorn,Secretary of State,,REP,Paul D. Pate,133,39,94
Cherokee,#3 Quimby,Secretary of State,,REP,Paul D. Pate,66,20,46
Cherokee,#4 Cherokee,Secretary of State,,REP,Paul D. Pate,126,36,90
Cherokee,#5 Cherokee Ward 1,Secretary of State,,REP,Paul D. Pate,192,64,128
Cherokee,#6 Cherokee Ward 2,Secretary of State,,REP,Paul D. Pate,77,22,55
Cherokee,#7 Cherokee Ward 3,Secretary of State,,REP,Paul D. Pate,111,36,75
Cherokee,#1 Aurelia,Secretary of State,,,Write-in,0,0,0
Cherokee,#2 Cleghorn,Secretary of State,,,Write-in,0,0,0
Cherokee,#3 Quimby,Secretary of State,,,Write-in,0,0,0
Cherokee,#4 Cherokee,Secretary of State,,,Write-in,0,0,0
Cherokee,#5 Cherokee Ward 1,Secretary of State,,,Write-in,1,0,1
Cherokee,#6 Cherokee Ward 2,Secretary of State,,,Write-in,0,0,0
Cherokee,#7 Cherokee Ward 3,Secretary of State,,,Write-in,0,0,0
Cherokee,#1 Aurelia,Auditor of State,,REP,Mary Mosiman,106,22,84
Cherokee,#2 Cleghorn,Auditor of State,,REP,Mary Mosiman,124,37,87
Cherokee,#3 Quimby,Auditor of State,,REP,Mary Mosiman,65,20,45
Cherokee,#4 Cherokee,Auditor of State,,REP,Mary Mosiman,121,35,86
Cherokee,#5 Cherokee Ward 1,Auditor of State,,REP,Mary Mosiman,178,57,121
Cherokee,#6 Cherokee Ward 2,Auditor of State,,REP,Mary Mosiman,72,19,53
Cherokee,#7 Cherokee Ward 3,Auditor of State,,REP,Mary Mosiman,109,35,74
Cherokee,#1 Aurelia,Auditor of State,,,Write-in,0,0,0
Cherokee,#2 Cleghorn,Auditor of State,,,Write-in,0,0,0
Cherokee,#3 Quimby,Auditor of State,,,Write-in,0,0,0
Cherokee,#4 Cherokee,Auditor of State,,,Write-in,0,0,0
Cherokee,#5 Cherokee Ward 1,Auditor of State,,,Write-in,1,0,1
Cherokee,#6 Cherokee Ward 2,Auditor of State,,,Write-in,0,0,0
Cherokee,#7 Cherokee Ward 3,Auditor of State,,,Write-in,0,0,0
Cherokee,#1 Aurelia,Treasurer of State,,REP,Eric Wester,0,0,0
Cherokee,#2 Cleghorn,Treasurer of State,,REP,Eric Wester,2,0,2
Cherokee,#3 Quimby,Treasurer of State,,REP,Eric Wester,0,0,0
Cherokee,#4 Cherokee,Treasurer of State,,REP,Eric Wester,0,0,0
Cherokee,#5 Cherokee Ward 1,Treasurer of State,,REP,Eric Wester,0,0,0
Cherokee,#6 Cherokee Ward 2,Treasurer of State,,REP,Eric Wester,0,0,0
