county,precinct,office,district,party,candidate,votes,av_counting_board,election_day
Cedar,CASS-CENTER-IOWA-ROCHESTER,United States Representative District 2,,REP,Christopher Peters,20,0,20
Cedar,DAYTON-FAIRFIELD,United States Representative District 2,,REP,Christopher Peters,37,0,37
Cedar,FARMINGTON-SUGAR CREEK,United States Representative District 2,,REP,Christopher Peters,51,0,51
Cedar,FREMONT-RED OAK,United States Representative District 2,,REP,Christopher Peters,25,0,25
Cedar,GOWER-SPRINGDALE,United States Representative District 2,,REP,Christopher Peters,28,0,28
Cedar,INLAND,United States Representative District 2,,REP,Christopher Peters,17,0,17
Cedar,LINN-PIONEER,United States Representative District 2,,REP,Christopher Peters,26,0,26
Cedar,MASSILLON-SPRINGFIELD,United States Representative District 2,,REP,Christopher Peters,40,0,40
Cedar,TIPTON 1,United States Representative District 2,,REP,Christopher Peters,20,0,20
Cedar,TIPTON 2,United States Representative District 2,,REP,Christopher Peters,21,0,21
Cedar,TIPTON 3,United States Representative District 2,,REP,Christopher Peters,35,0,35
Cedar,WEST BRANCH 1,United States Representative District 2,,REP,Christopher Peters,43,0,43
Cedar,CASS-CENTER-IOWA-ROCHESTER,United States Representative District 2,,,Write-in,0,0,0
Cedar,DAYTON-FAIRFIELD,United States Representative District 2,,,Write-in,1,0,1
Cedar,FARMINGTON-SUGAR CREEK,United States Representative District 2,,,Write-in,1,0,1
Cedar,FREMONT-RED OAK,United States Representative District 2,,,Write-in,0,0,0
Cedar,GOWER-SPRINGDALE,United States Representative District 2,,,Write-in,0,0,0
Cedar,INLAND,United States Representative District 2,,,Write-in,0,0,0
Cedar,LINN-PIONEER,United States Representative District 2,,,Write-in,0,0,0
Cedar,MASSILLON-SPRINGFIELD,United States Representative District 2,,,Write-in,0,0,0
Cedar,TIPTON 1,United States Representative District 2,,,Write-in,0,0,0
Cedar,TIPTON 2,United States Representative District 2,,,Write-in,0,0,0
Cedar,TIPTON 3,United States Representative District 2,,,Write-in,0,0,0
Cedar,WEST BRANCH 1,United States Representative District 2,,,Write-in,0,0,0
Cedar,CASS-CENTER-IOWA-ROCHESTER,United States Representative District 2,,DEM,Dave Loebsack,94,0,94
Cedar,DAYTON-FAIRFIELD,United States Representative District 2,,DEM,Dave Loebsack,50,0,50
Cedar,FARMINGTON-SUGAR CREEK,United States Representative District 2,,DEM,Dave Loebsack,64,0,64
Cedar,FREMONT-RED OAK,United States Representative District 2,,DEM,Dave Loebsack,37,0,37
Cedar,GOWER-SPRINGDALE,United States Representative District 2,,DEM,Dave Loebsack,127,0,127
Cedar,INLAND,United States Representative District 2,,DEM,Dave Loebsack,14,0,14
Cedar,LINN-PIONEER,United States Representative District 2,,DEM,Dave Loebsack,87,0,87
Cedar,MASSILLON-SPRINGFIELD,United States Representative District 2,,DEM,Dave Loebsack,45,0,45
Cedar,TIPTON 1,United States Representative District 2,,DEM,Dave Loebsack,29,0,29
Cedar,TIPTON 2,United States Representative District 2,,DEM,Dave Loebsack,55,0,55
Cedar,TIPTON 3,United States Representative District 2,,DEM,Dave Loebsack,69,0,69
Cedar,WEST BRANCH 1,United States Representative District 2,,DEM,Dave Loebsack,243,0,243
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,REP,Kim Reynolds,23,0,23
Cedar,DAYTON-FAIRFIELD,Governor,,REP,Kim Reynolds,44,0,44
Cedar,FARMINGTON-SUGAR CREEK,Governor,,REP,Kim Reynolds,59,0,59
Cedar,FREMONT-RED OAK,Governor,,REP,Kim Reynolds,30,0,30
Cedar,GOWER-SPRINGDALE,Governor,,REP,Kim Reynolds,25,0,25
Cedar,INLAND,Governor,,REP,Kim Reynolds,20,0,20
Cedar,LINN-PIONEER,Governor,,REP,Kim Reynolds,30,0,30
Cedar,MASSILLON-SPRINGFIELD,Governor,,REP,Kim Reynolds,46,0,46
Cedar,TIPTON 1,Governor,,REP,Kim Reynolds,23,0,23
Cedar,TIPTON 2,Governor,,REP,Kim Reynolds,21,0,21
Cedar,TIPTON 3,Governor,,REP,Kim Reynolds,47,0,47
Cedar,WEST BRANCH 1,Governor,,REP,Kim Reynolds,44,0,44
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,,Write-in,0,0,0
Cedar,DAYTON-FAIRFIELD,Governor,,,Write-in,0,0,0
Cedar,FARMINGTON-SUGAR CREEK,Governor,,,Write-in,0,0,0
Cedar,FREMONT-RED OAK,Governor,,,Write-in,0,0,0
Cedar,GOWER-SPRINGDALE,Governor,,,Write-in,0,0,0
Cedar,INLAND,Governor,,,Write-in,0,0,0
Cedar,LINN-PIONEER,Governor,,,Write-in,0,0,0
Cedar,MASSILLON-SPRINGFIELD,Governor,,,Write-in,0,0,0
Cedar,TIPTON 1,Governor,,,Write-in,0,0,0
Cedar,TIPTON 2,Governor,,,Write-in,0,0,0
Cedar,TIPTON 3,Governor,,,Write-in,0,0,0
Cedar,WEST BRANCH 1,Governor,,,Write-in,0,0,0
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,Nate Boulton,5,0,5
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,Nate Boulton,2,0,2
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,Nate Boulton,5,0,5
Cedar,FREMONT-RED OAK,Governor,,DEM,Nate Boulton,1,0,1
Cedar,GOWER-SPRINGDALE,Governor,,DEM,Nate Boulton,3,0,3
Cedar,INLAND,Governor,,DEM,Nate Boulton,1,0,1
Cedar,LINN-PIONEER,Governor,,DEM,Nate Boulton,2,0,2
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,Nate Boulton,2,0,2
Cedar,TIPTON 1,Governor,,DEM,Nate Boulton,0,0,0
Cedar,TIPTON 2,Governor,,DEM,Nate Boulton,3,0,3
Cedar,TIPTON 3,Governor,,DEM,Nate Boulton,3,0,3
Cedar,WEST BRANCH 1,Governor,,DEM,Nate Boulton,5,0,5
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,Cathy Glasson,21,0,21
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,Cathy Glasson,9,0,9
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,Cathy Glasson,20,0,20
Cedar,FREMONT-RED OAK,Governor,,DEM,Cathy Glasson,8,0,8
Cedar,GOWER-SPRINGDALE,Governor,,DEM,Cathy Glasson,33,0,33
Cedar,INLAND,Governor,,DEM,Cathy Glasson,3,0,3
Cedar,LINN-PIONEER,Governor,,DEM,Cathy Glasson,16,0,16
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,Cathy Glasson,5,0,5
Cedar,TIPTON 1,Governor,,DEM,Cathy Glasson,7,0,7
Cedar,TIPTON 2,Governor,,DEM,Cathy Glasson,21,0,21
Cedar,TIPTON 3,Governor,,DEM,Cathy Glasson,11,0,11
Cedar,WEST BRANCH 1,Governor,,DEM,Cathy Glasson,76,0,76
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,Fred Hubbell,64,0,64
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,Fred Hubbell,33,0,33
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,Fred Hubbell,32,0,32
Cedar,FREMONT-RED OAK,Governor,,DEM,Fred Hubbell,23,0,23
Cedar,GOWER-SPRINGDALE,Governor,,DEM,Fred Hubbell,72,0,72
Cedar,INLAND,Governor,,DEM,Fred Hubbell,7,0,7
Cedar,LINN-PIONEER,Governor,,DEM,Fred Hubbell,56,0,56
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,Fred Hubbell,35,0,35
Cedar,TIPTON 1,Governor,,DEM,Fred Hubbell,20,0,20
Cedar,TIPTON 2,Governor,,DEM,Fred Hubbell,32,0,32
Cedar,TIPTON 3,Governor,,DEM,Fred Hubbell,49,0,49
Cedar,WEST BRANCH 1,Governor,,DEM,Fred Hubbell,127,0,127
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,Andrea Andy McGuire,1,0,1
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,Andrea Andy McGuire,1,0,1
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,Andrea Andy McGuire,4,0,4
Cedar,FREMONT-RED OAK,Governor,,DEM,Andrea Andy McGuire,3,0,3
Cedar,GOWER-SPRINGDALE,Governor,,DEM,Andrea Andy McGuire,1,0,1
Cedar,INLAND,Governor,,DEM,Andrea Andy McGuire,2,0,2
Cedar,LINN-PIONEER,Governor,,DEM,Andrea Andy McGuire,5,0,5
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,Andrea Andy McGuire,0,0,0
Cedar,TIPTON 1,Governor,,DEM,Andrea Andy McGuire,0,0,0
Cedar,TIPTON 2,Governor,,DEM,Andrea Andy McGuire,1,0,1
Cedar,TIPTON 3,Governor,,DEM,Andrea Andy McGuire,6,0,6
Cedar,WEST BRANCH 1,Governor,,DEM,Andrea Andy McGuire,8,0,8
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,John Norris,8,0,8
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,John Norris,5,0,5
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,John Norris,9,0,9
Cedar,FREMONT-RED OAK,Governor,,DEM,John Norris,4,0,4
Cedar,GOWER-SPRINGDALE,Governor,,DEM,John Norris,27,0,27
Cedar,INLAND,Governor,,DEM,John Norris,3,0,3
Cedar,LINN-PIONEER,Governor,,DEM,John Norris,15,0,15
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,John Norris,3,0,3
Cedar,TIPTON 1,Governor,,DEM,John Norris,2,0,2
Cedar,TIPTON 2,Governor,,DEM,John Norris,4,0,4
Cedar,TIPTON 3,Governor,,DEM,John Norris,5,0,5
Cedar,WEST BRANCH 1,Governor,,DEM,John Norris,34,0,34
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,DEM,Ross Wilburn,2,0,2
Cedar,DAYTON-FAIRFIELD,Governor,,DEM,Ross Wilburn,1,0,1
Cedar,FARMINGTON-SUGAR CREEK,Governor,,DEM,Ross Wilburn,1,0,1
Cedar,FREMONT-RED OAK,Governor,,DEM,Ross Wilburn,0,0,0
Cedar,GOWER-SPRINGDALE,Governor,,DEM,Ross Wilburn,4,0,4
Cedar,INLAND,Governor,,DEM,Ross Wilburn,0,0,0
Cedar,LINN-PIONEER,Governor,,DEM,Ross Wilburn,2,0,2
Cedar,MASSILLON-SPRINGFIELD,Governor,,DEM,Ross Wilburn,0,0,0
Cedar,TIPTON 1,Governor,,DEM,Ross Wilburn,3,0,3
Cedar,TIPTON 2,Governor,,DEM,Ross Wilburn,0,0,0
Cedar,TIPTON 3,Governor,,DEM,Ross Wilburn,0,0,0
Cedar,WEST BRANCH 1,Governor,,DEM,Ross Wilburn,12,0,12
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,DAYTON-FAIRFIELD,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,FARMINGTON-SUGAR CREEK,Governor,,LIB,Marco Battaglia,1,0,1
Cedar,FREMONT-RED OAK,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,GOWER-SPRINGDALE,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,INLAND,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,LINN-PIONEER,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,MASSILLON-SPRINGFIELD,Governor,,LIB,Marco Battaglia,1,0,1
Cedar,TIPTON 1,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,TIPTON 2,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,TIPTON 3,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,WEST BRANCH 1,Governor,,LIB,Marco Battaglia,0,0,0
Cedar,CASS-CENTER-IOWA-ROCHESTER,Governor,,LIB,Jake Porter,0,0,0
Cedar,DAYTON-FAIRFIELD,Governor,,LIB,Jake Porter,2,0,2
Cedar,FARMINGTON-SUGAR CREEK,Governor,,LIB,Jake Porter,1,0,1
Cedar,FREMONT-RED OAK,Governor,,LIB,Jake Porter,0,0,0
Cedar,GOWER-SPRINGDALE,Governor,,LIB,Jake Porter,0,0,0
Cedar,INLAND,Governor,,LIB,Jake Porter,1,0,1
Cedar,LINN-PIONEER,Governor,,LIB,Jake Porter,2,0,2
Cedar,MASSILLON-SPRINGFIELD,Governor,,LIB,Jake Porter,0,0,0
Cedar,TIPTON 1,Governor,,LIB,Jake Porter,0,0,0
Cedar,TIPTON 2,Governor,,LIB,Jake Porter,0,0,0
Cedar,TIPTON 3,Governor,,LIB,Jake Porter,1,0,1
Cedar,WEST BRANCH 1,Governor,,LIB,Jake Porter,0,0,0
Cedar,CASS-CENTER-IOWA-ROCHESTER,Secretary of State,,REP,Paul D. Pate,25,0,25
Cedar,DAYTON-FAIRFIELD,Secretary of State,,REP,Paul D. Pate,42,0,42
Cedar,FARMINGTON-SUGAR CREEK,Secretary of State,,REP,Paul D. Pate,58,0,58
Cedar,FREMONT-RED OAK,Secretary of State,,REP,Paul D. Pate,28,0,28
Cedar,GOWER-SPRINGDALE,Secretary of State,,REP,Paul D. Pate,29,0,29
Cedar,INLAND,Secretary of State,,REP,Paul D. Pate,18,0,18
Cedar,LINN-PIONEER,Secretary of State,,REP,Paul D. Pate,28,0,28
Cedar,MASSILLON-SPRINGFIELD,Secretary of State,,REP,Paul D. Pate,46,0,46
Cedar,TIPTON 1,Secretary of State,,REP,Paul D. Pate,21,0,21
Cedar,TIPTON 2,Secretary of State,,REP,Paul D. Pate,20,0,20
Cedar,TIPTON 3,Secretary of State,,REP,Paul D. Pate,43,0,43
Cedar,WEST BRANCH 1,Secretary of State,,REP,Paul D. Pate,45,0,45
Cedar,CASS-CENTER-IOWA-ROCHESTER,Secretary of State,,,Write-in,0,0,0
Cedar,DAYTON-FAIRFIELD,Secretary of State,,,Write-in,0,0,0
Cedar,FARMINGTON-SUGAR CREEK,Secretary of State,,,Write-in,0,0,0
Cedar,FREMONT-RED OAK,Secretary of State,,,Write-in,0,0,0
Cedar,GOWER-SPRINGDALE,Secretary of State,,,Write-in,0,0,0
Cedar,INLAND,Secretary of State,,,Write-in,0,0,0
Cedar,LINN-PIONEER,Secretary of State,,,Write-in,0,0,0
Cedar,MASSILLON-SPRINGFIELD,Secretary of State,,,Write-in,0,0,0
Cedar,TIPTON 1,Secretary of State,,,Write-in,0,0,0
Cedar,TIPTON 2,Secretary of State,,,Write-in,0,0,0
Cedar,TIPTON 3,Secretary of State,,,Write-in,0,0,0
Cedar,WEST BRANCH 1,Secretary of State,,,Write-in,0,0,0
Cedar,CASS-CENTER-IOWA-ROCHESTER,Secretary of State,,DEM,Deidre DeJear,53,0,53
Cedar,DAYTON-FAIRFIELD,Secretary of State,,DEM,Deidre DeJear,31,0,31
Cedar,FARMINGTON-SUGAR CREEK,Secretary of State,,DEM,Deidre DeJear,49,0,49
Cedar,FREMONT-RED OAK,Secretary of State,,DEM,Deidre DeJear,15,0,15
Cedar,GOWER-SPRINGDALE,Secretary of State,,DEM,Deidre DeJear,74,0,74
Cedar,INLAND,Secretary of State,,DEM,Deidre DeJear,5,0,5
Cedar,LINN-PIONEER,Secretary of State,,DEM,Deidre DeJear,52,0,52
Cedar,MASSILLON-SPRINGFIELD,Secretary of State,,DEM,Deidre DeJear,20,0,20
Cedar,TIPTON 1,Secretary of State,,DEM,Deidre DeJear,12,0,12
Cedar,TIPTON 2,Secretary of State,,DEM,Deidre DeJear,29,0,29
Cedar,TIPTON 3,Secretary of State,,DEM,Deidre DeJear,37,0,37
Cedar,WEST BRANCH 1,Secretary of State,,DEM,Deidre DeJear,142,0,142
Cedar,CASS-CENTER-IOWA-ROCHESTER,Secretary of State,,DEM,Jim Mowrer,28,0,28
Cedar,DAYTON-FAIRFIELD,Secretary of State,,DEM,Jim Mowrer,15,0,15
Cedar,FARMINGTON-SUGAR CREEK,Secretary of State,,DEM,Jim Mowrer,18,0,18
Cedar,FREMONT-RED OAK,Secretary of State,,DEM,Jim Mowrer,20,0,20
Cedar,GOWER-SPRINGDALE,Secretary of State,,DEM,Jim Mowrer,45,0,45
Cedar,INLAND,Secretary of State,,DEM,Jim Mowrer,10,0,10
