county,precinct,office,district,party,candidate,votes,av_counting_board,election_day
Adair,1NW,U.S. House,3,REP,David Young,112,0,112
Adair,2NE,U.S. House,3,REP,David Young,78,0,78
Adair,3SW,U.S. House,3,REP,David Young,112,0,112
Adair,4SE,U.S. House,3,REP,David Young,114,0,114
Adair,5GF,U.S. House,3,REP,David Young,151,0,151
Adair,1NW,U.S. House,3,,Write-in,0,0,0
Adair,2NE,U.S. House,3,,Write-in,1,0,1
Adair,3SW,U.S. House,3,,Write-in,0,0,0
Adair,4SE,U.S. House,3,,Write-in,0,0,0
Adair,5GF,U.S. House,3,,Write-in,0,0,0
Adair,1NW,U.S. House,3,DEM,Cindy Axne,31,0,31
Adair,2NE,U.S. House,3,DEM,Cindy Axne,52,0,52
Adair,3SW,U.S. House,3,DEM,Cindy Axne,29,0,29
Adair,4SE,U.S. House,3,DEM,Cindy Axne,34,0,34
Adair,5GF,U.S. House,3,DEM,Cindy Axne,65,0,65
Adair,1NW,U.S. House,3,DEM,Pete D'Alessandro,7,0,7
Adair,2NE,U.S. House,3,DEM,Pete D'Alessandro,1,0,1
Adair,3SW,U.S. House,3,DEM,Pete D'Alessandro,2,0,2
Adair,4SE,U.S. House,3,DEM,Pete D'Alessandro,8,0,8
Adair,5GF,U.S. House,3,DEM,Pete D'Alessandro,13,0,13
Adair,1NW,U.S. House,3,DEM,Eddie J. Mauro,16,0,16
Adair,2NE,U.S. House,3,DEM,Eddie J. Mauro,20,0,20
Adair,3SW,U.S. House,3,DEM,Eddie J. Mauro,25,0,25
Adair,4SE,U.S. House,3,DEM,Eddie J. Mauro,16,0,16
Adair,5GF,U.S. House,3,DEM,Eddie J. Mauro,18,0,18
Adair,1NW,U.S. House,3,LIB,Bryan Jack Holder,0,0,0
Adair,2NE,U.S. House,3,LIB,Bryan Jack Holder,3,0,3
Adair,3SW,U.S. House,3,LIB,Bryan Jack Holder,0,0,0
Adair,4SE,U.S. House,3,LIB,Bryan Jack Holder,2,0,2
Adair,5GF,U.S. House,3,LIB,Bryan Jack Holder,2,0,2
Adair,1NW,Governor,,REP,Kim Reynolds,110,0,110
Adair,2NE,Governor,,REP,Kim Reynolds,76,0,76
Adair,3SW,Governor,,REP,Kim Reynolds,115,0,115
Adair,4SE,Governor,,REP,Kim Reynolds,114,0,114
Adair,5GF,Governor,,REP,Kim Reynolds,156,0,156
Adair,1NW,Governor,,,Write-in,0,0,0
Adair,2NE,Governor,,,Write-in,2,0,2
Adair,3SW,Governor,,,Write-in,0,0,0
Adair,4SE,Governor,,,Write-in,0,0,0
Adair,5GF,Governor,,,Write-in,0,0,0
Adair,1NW,Governor,,DEM,Nate Boulton,2,0,2
Adair,2NE,Governor,,DEM,Nate Boulton,2,0,2
Adair,3SW,Governor,,DEM,Nate Boulton,5,0,5
Adair,4SE,Governor,,DEM,Nate Boulton,5,0,5
Adair,5GF,Governor,,DEM,Nate Boulton,3,0,3
Adair,1NW,Governor,,DEM,Cathy Glasson,9,0,9
Adair,2NE,Governor,,DEM,Cathy Glasson,14,0,14
Adair,3SW,Governor,,DEM,Cathy Glasson,11,0,11
Adair,4SE,Governor,,DEM,Cathy Glasson,10,0,10
Adair,5GF,Governor,,DEM,Cathy Glasson,10,0,10
Adair,1NW,Governor,,DEM,Fred Hubbell,34,0,34
Adair,2NE,Governor,,DEM,Fred Hubbell,37,0,37
Adair,3SW,Governor,,DEM,Fred Hubbell,31,0,31
Adair,4SE,Governor,,DEM,Fred Hubbell,32,0,32
Adair,5GF,Governor,,DEM,Fred Hubbell,36,0,36
Adair,1NW,Governor,,DEM,Andrea Andy McGuire,1,0,1
Adair,2NE,Governor,,DEM,Andrea Andy McGuire,4,0,4
Adair,3SW,Governor,,DEM,Andrea Andy McGuire,3,0,3
Adair,4SE,Governor,,DEM,Andrea Andy McGuire,2,0,2
Adair,5GF,Governor,,DEM,Andrea Andy McGuire,2,0,2
Adair,1NW,Governor,,DEM,John Norris,8,0,8
Adair,2NE,Governor,,DEM,John Norris,15,0,15
