county,precinct,office,district,party,candidate,votes,group3,group1,group2,group4
Clayton,BOARDMAN-HIGHLAND,U.S. House,1,DEM,Abby Finkenauer,81,0,69,12,0
Clayton,BUENA VISTA,U.S. House,1,DEM,Abby Finkenauer,8,0,6,2,0
Clayton,CASS,U.S. House,1,DEM,Abby Finkenauer,39,0,30,9,0
Clayton,CLAYTON-GARNAVILLO,U.S. House,1,DEM,Abby Finkenauer,30,0,23,7,0
Clayton,COX CREEK-SPERRY,U.S. House,1,DEM,Abby Finkenauer,30,0,30,0,0
Clayton,ELK-MALLORY-VOLGA,U.S. House,1,DEM,Abby Finkenauer,32,0,29,3,0
Clayton,FARMERSBURG-WAGNER,U.S. House,1,DEM,Abby Finkenauer,24,0,23,1,0
Clayton,GIARD-LUANA-MONONA,U.S. House,1,DEM,Abby Finkenauer,43,0,41,2,0
Clayton,GRAND MEADOW,U.S. House,1,DEM,Abby Finkenauer,4,0,4,0,0
Clayton,JEFFERSON-MILLVILLE,U.S. House,1,DEM,Abby Finkenauer,88,0,78,10,0
Clayton,LODOMILLO,U.S. House,1,DEM,Abby Finkenauer,4,0,4,0,0
Clayton,MARION,U.S. House,1,DEM,Abby Finkenauer,3,0,1,2,0
Clayton,MENDON,U.S. House,1,DEM,Abby Finkenauer,54,0,46,8,0
Clayton,READ,U.S. House,1,DEM,Abby Finkenauer,1,0,0,1,0
Clayton,BOARDMAN-HIGHLAND,U.S. House,1,DEM,Thomas Heckroth,57,0,49,8,0
Clayton,BUENA VISTA,U.S. House,1,DEM,Thomas Heckroth,1,0,1,0,0
Clayton,CASS,U.S. House,1,DEM,Thomas Heckroth,35,0,28,7,0
Clayton,CLAYTON-GARNAVILLO,U.S. House,1,DEM,Thomas Heckroth,8,0,8,0,0
Clayton,COX CREEK-SPERRY,U.S. House,1,DEM,Thomas Heckroth,15,0,12,3,0
Clayton,ELK-MALLORY-VOLGA,U.S. House,1,DEM,Thomas Heckroth,7,0,7,0,0
Clayton,FARMERSBURG-WAGNER,U.S. House,1,DEM,Thomas Heckroth,3,0,3,0,0
Clayton,GIARD-LUANA-MONONA,U.S. House,1,DEM,Thomas Heckroth,16,0,16,0,0
Clayton,GRAND MEADOW,U.S. House,1,DEM,Thomas Heckroth,3,0,3,0,0
Clayton,JEFFERSON-MILLVILLE,U.S. House,1,DEM,Thomas Heckroth,26,0,25,1,0
Clayton,LODOMILLO,U.S. House,1,DEM,Thomas Heckroth,3,0,3,0,0
Clayton,MARION,U.S. House,1,DEM,Thomas Heckroth,1,0,1,0,0
Clayton,MENDON,U.S. House,1,DEM,Thomas Heckroth,17,0,13,4,0
