county,precinct,office,district,party,candidate,votes,absentee,polling
Hancock,Precinct #1,U.S. House,4,REP,Cyndi Hanson,22,2,20
Hancock,Precinct #2,U.S. House,4,REP,Cyndi Hanson,13,0,13
Hancock,Precinct #3,U.S. House,4,REP,Cyndi Hanson,11,0,11
Hancock,Precinct #4,U.S. House,4,REP,Cyndi Hanson,50,4,46
Hancock,Precinct #5,U.S. House,4,REP,Cyndi Hanson,8,0,8
Hancock,Precinct #6,U.S. House,4,REP,Cyndi Hanson,78,10,68
Hancock,Precinct #7,U.S. House,4,REP,Cyndi Hanson,15,3,12
Hancock,Precinct #8,U.S. House,4,REP,Cyndi Hanson,6,0,6
Hancock,Precinct #9,U.S. House,4,REP,Cyndi Hanson,9,2,7
Hancock,Precinct #10,U.S. House,4,REP,Cyndi Hanson,5,0,5
Hancock,Precinct #1,U.S. House,4,REP,Steve King,45,0,45
Hancock,Precinct #2,U.S. House,4,REP,Steve King,24,0,24
Hancock,Precinct #3,U.S. House,4,REP,Steve King,19,0,19
Hancock,Precinct #4,U.S. House,4,REP,Steve King,157,20,137
Hancock,Precinct #5,U.S. House,4,REP,Steve King,18,3,15
Hancock,Precinct #6,U.S. House,4,REP,Steve King,142,23,119
Hancock,Precinct #7,U.S. House,4,REP,Steve King,42,1,41
Hancock,Precinct #8,U.S. House,4,REP,Steve King,17,0,17
Hancock,Precinct #9,U.S. House,4,REP,Steve King,43,6,37
Hancock,Precinct #10,U.S. House,4,REP,Steve King,8,0,8
Hancock,Precinct #1,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #2,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #3,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #4,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #5,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #6,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #7,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #8,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #9,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #10,U.S. House,4,,Write-in,0,0,0
Hancock,Precinct #1,Governor,,REP,Kim Reynolds,66,3,63
Hancock,Precinct #2,Governor,,REP,Kim Reynolds,34,0,34
Hancock,Precinct #3,Governor,,REP,Kim Reynolds,29,0,29
Hancock,Precinct #4,Governor,,REP,Kim Reynolds,193,22,171
Hancock,Precinct #5,Governor,,REP,Kim Reynolds,25,3,22
Hancock,Precinct #6,Governor,,REP,Kim Reynolds,204,34,170
Hancock,Precinct #7,Governor,,REP,Kim Reynolds,54,4,50
Hancock,Precinct #8,Governor,,REP,Kim Reynolds,22,0,22
Hancock,Precinct #9,Governor,,REP,Kim Reynolds,52,7,45
Hancock,Precinct #10,Governor,,REP,Kim Reynolds,12,0,12
Hancock,Precinct #1,Governor,,,Write-in,0,0,0
Hancock,Precinct #2,Governor,,,Write-in,0,0,0
Hancock,Precinct #3,Governor,,,Write-in,0,0,0
Hancock,Precinct #4,Governor,,,Write-in,0,0,0
Hancock,Precinct #5,Governor,,,Write-in,0,0,0
Hancock,Precinct #6,Governor,,,Write-in,0,0,0
Hancock,Precinct #7,Governor,,,Write-in,0,0,0
Hancock,Precinct #8,Governor,,,Write-in,0,0,0
Hancock,Precinct #9,Governor,,,Write-in,0,0,0
Hancock,Precinct #10,Governor,,,Write-in,0,0,0
Hancock,Precinct #1,Secretary of State,,REP,Paul D. Pate,65,3,62
Hancock,Precinct #2,Secretary of State,,REP,Paul D. Pate,28,0,28
Hancock,Precinct #3,Secretary of State,,REP,Paul D. Pate,27,0,27
Hancock,Precinct #4,Secretary of State,,REP,Paul D. Pate,174,20,154
Hancock,Precinct #5,Secretary of State,,REP,Paul D. Pate,19,2,17
Hancock,Precinct #6,Secretary of State,,REP,Paul D. Pate,183,27,156
Hancock,Precinct #7,Secretary of State,,REP,Paul D. Pate,44,4,40
Hancock,Precinct #8,Secretary of State,,REP,Paul D. Pate,19,0,19
Hancock,Precinct #9,Secretary of State,,REP,Paul D. Pate,45,5,40
Hancock,Precinct #10,Secretary of State,,REP,Paul D. Pate,9,0,9
Hancock,Precinct #1,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #2,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #3,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #4,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #5,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #6,Secretary of State,,,Write-in,1,0,1
Hancock,Precinct #7,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #8,Secretary of State,,,Write-in,0,0,0
Hancock,Precinct #9,Secretary of State,,,Write-in,0,0,0
