county,precinct,office,district,party,candidate,votes,absentee,polling
Washington,Ainsworth Precinct,U.S. House,2,REP,Christopher Peters,24,2,22
Washington,Brighton/Marion/Crawford Precinct,U.S. House,2,REP,Christopher Peters,92,20,72
Washington,Kalona Precinct,U.S. House,2,REP,Christopher Peters,38,3,35
Washington,Riverside Precinct,U.S. House,2,REP,Christopher Peters,18,0,18
Washington,Ward One Precinct,U.S. House,2,REP,Christopher Peters,37,5,32
Washington,Ward Two Precinct,U.S. House,2,REP,Christopher Peters,39,4,35
Washington,Ward Three Precinct,U.S. House,2,REP,Christopher Peters,70,8,62
Washington,Ward Four Precinct,U.S. House,2,REP,Christopher Peters,55,16,39
Washington,Wellman Precinct,U.S. House,2,REP,Christopher Peters,55,1,54
Washington,West Chester Precinct,U.S. House,2,REP,Christopher Peters,31,5,26
Washington,Ainsworth Precinct,U.S. House,2,REP,Ginny Caligiuri,5,0,5
Washington,Brighton/Marion/Crawford Precinct,U.S. House,2,REP,Ginny Caligiuri,14,10,4
Washington,Kalona Precinct,U.S. House,2,REP,Ginny Caligiuri,59,4,55
Washington,Riverside Precinct,U.S. House,2,REP,Ginny Caligiuri,5,0,5
Washington,Ward One Precinct,U.S. House,2,REP,Ginny Caligiuri,0,0,0
Washington,Ward Two Precinct,U.S. House,2,REP,Ginny Caligiuri,2,2,0
Washington,Ward Three Precinct,U.S. House,2,REP,Ginny Caligiuri,5,0,5
Washington,Ward Four Precinct,U.S. House,2,REP,Ginny Caligiuri,4,1,3
Washington,Wellman Precinct,U.S. House,2,REP,Ginny Caligiuri,32,0,32
Washington,West Chester Precinct,U.S. House,2,REP,Ginny Caligiuri,6,0,6
Washington,Ainsworth Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Brighton/Marion/Crawford Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Kalona Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Riverside Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Ward One Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Ward Two Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Ward Three Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Ward Four Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Wellman Precinct,U.S. House,2,,Write-in,0,0,0
Washington,West Chester Precinct,U.S. House,2,,Write-in,0,0,0
Washington,Ainsworth Precinct,Governor,,REP,Kim Reynolds,31,2,29
Washington,Brighton/Marion/Crawford Precinct,Governor,,REP,Kim Reynolds,130,38,92
Washington,Kalona Precinct,Governor,,REP,Kim Reynolds,92,9,83
Washington,Riverside Precinct,Governor,,REP,Kim Reynolds,26,0,26
Washington,Ward One Precinct,Governor,,REP,Kim Reynolds,41,5,36
