county,precinct,office,district,party,candidate,votes,absentee,polling
Union,Afton Methodist Church,U.S. House,3,REP,David Young,101,12,89
Union,Arispe Methodist Church,U.S. House,3,REP,David Young,44,9,35
Union,Salem Lutheran Church,U.S. House,3,REP,David Young,35,10,25
Union,SWCC,U.S. House,3,REP,David Young,153,28,125
Union,Trinity Lutheran Church,U.S. House,3,REP,David Young,39,5,34
Union,Supertel,U.S. House,3,REP,David Young,44,7,37
Union,Crest Baptist Church,U.S. House,3,REP,David Young,114,20,94
Union,Lorimor City Hall,U.S. House,3,REP,David Young,66,9,57
Union,Afton Methodist Church,U.S. House,3,,Write-in,0,0,0
Union,Arispe Methodist Church,U.S. House,3,,Write-in,0,0,0
Union,Salem Lutheran Church,U.S. House,3,,Write-in,0,0,0
Union,SWCC,U.S. House,3,,Write-in,0,0,0
Union,Trinity Lutheran Church,U.S. House,3,,Write-in,0,0,0
Union,Supertel,U.S. House,3,,Write-in,0,0,0
Union,Crest Baptist Church,U.S. House,3,,Write-in,0,0,0
Union,Lorimor City Hall,U.S. House,3,,Write-in,0,1,-1
Union,Afton Methodist Church,Governor,,REP,Kim Reynolds,108,11,97
Union,Arispe Methodist Church,Governor,,REP,Kim Reynolds,46,8,38
Union,Salem Lutheran Church,Governor,,REP,Kim Reynolds,35,9,26
Union,SWCC,Governor,,REP,Kim Reynolds,153,28,125
Union,Trinity Lutheran Church,Governor,,REP,Kim Reynolds,39,6,33
Union,Supertel,Governor,,REP,Kim Reynolds,49,10,39
Union,Crest Baptist Church,Governor,,REP,Kim Reynolds,121,23,98
Union,Lorimor City Hall,Governor,,REP,Kim Reynolds,65,11,54
Union,Afton Methodist Church,Governor,,,Write-in,0,0,0
Union,Arispe Methodist Church,Governor,,,Write-in,0,0,0
Union,Salem Lutheran Church,Governor,,,Write-in,0,0,0
Union,SWCC,Governor,,,Write-in,0,0,0
Union,Trinity Lutheran Church,Governor,,,Write-in,0,0,0
Union,Supertel,Governor,,,Write-in,0,0,0
Union,Crest Baptist Church,Governor,,,Write-in,0,0,0
Union,Lorimor City Hall,Governor,,,Write-in,0,1,-1
Union,Afton Methodist Church,Secretary of State,,REP,Paul D. Pate,91,12,79
Union,Arispe Methodist Church,Secretary of State,,REP,Paul D. Pate,38,8,30
Union,Salem Lutheran Church,Secretary of State,,REP,Paul D. Pate,33,9,24
Union,SWCC,Secretary of State,,REP,Paul D. Pate,143,28,115
Union,Trinity Lutheran Church,Secretary of State,,REP,Paul D. Pate,41,5,36
Union,Supertel,Secretary of State,,REP,Paul D. Pate,45,7,38
Union,Crest Baptist Church,Secretary of State,,REP,Paul D. Pate,109,22,87
Union,Lorimor City Hall,Secretary of State,,REP,Paul D. Pate,61,8,53
Union,Afton Methodist Church,Secretary of State,,,Write-in,0,0,0
Union,Arispe Methodist Church,Secretary of State,,,Write-in,0,0,0
Union,Salem Lutheran Church,Secretary of State,,,Write-in,0,0,0
Union,SWCC,Secretary of State,,,Write-in,0,0,0
Union,Trinity Lutheran Church,Secretary of State,,,Write-in,0,0,0
Union,Supertel,Secretary of State,,,Write-in,0,0,0
Union,Crest Baptist Church,Secretary of State,,,Write-in,0,0,0
Union,Lorimor City Hall,Secretary of State,,,Write-in,0,1,-1
Union,Afton Methodist Church,Auditor of State,,REP,Mary Mosiman,85,11,74
Union,Arispe Methodist Church,Auditor of State,,REP,Mary Mosiman,36,8,28
Union,Salem Lutheran Church,Auditor of State,,REP,Mary Mosiman,30,7,23
Union,SWCC,Auditor of State,,REP,Mary Mosiman,138,28,110
Union,Trinity Lutheran Church,Auditor of State,,REP,Mary Mosiman,40,5,35
Union,Supertel,Auditor of State,,REP,Mary Mosiman,43,8,35
Union,Crest Baptist Church,Auditor of State,,REP,Mary Mosiman,106,21,85
Union,Lorimor City Hall,Auditor of State,,REP,Mary Mosiman,55,8,47
Union,Afton Methodist Church,Auditor of State,,,Write-in,0,0,0
Union,Arispe Methodist Church,Auditor of State,,,Write-in,0,0,0
Union,Salem Lutheran Church,Auditor of State,,,Write-in,0,0,0
Union,SWCC,Auditor of State,,,Write-in,0,0,0
Union,Trinity Lutheran Church,Auditor of State,,,Write-in,0,0,0
Union,Supertel,Auditor of State,,,Write-in,0,0,0
Union,Crest Baptist Church,Auditor of State,,,Write-in,0,0,0
Union,Lorimor City Hall,Auditor of State,,,Write-in,0,1,-1
Union,Afton Methodist Church,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Arispe Methodist Church,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Salem Lutheran Church,Treasurer of State,,REP,Dillon Daugherbaugh,1,0,1
Union,SWCC,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Trinity Lutheran Church,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Supertel,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Crest Baptist Church,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Lorimor City Hall,Treasurer of State,,REP,Dillon Daugherbaugh,0,0,0
Union,Afton Methodist Church,Treasurer of State,,REP,Blank,0,0,0
Union,Arispe Methodist Church,Treasurer of State,,REP,Blank,1,0,1
Union,Salem Lutheran Church,Treasurer of State,,REP,Blank,1,0,1
Union,SWCC,Treasurer of State,,REP,Blank,2,0,2
Union,Trinity Lutheran Church,Treasurer of State,,REP,Blank,1,0,1
Union,Supertel,Treasurer of State,,REP,Blank,1,0,1
Union,Crest Baptist Church,Treasurer of State,,REP,Blank,0,0,0
Union,Lorimor City Hall,Treasurer of State,,REP,Blank,0,0,0
Union,Afton Methodist Church,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Arispe Methodist Church,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Salem Lutheran Church,Treasurer of State,,REP,Dick Cook,0,0,0
Union,SWCC,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Trinity Lutheran Church,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Supertel,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Crest Baptist Church,Treasurer of State,,REP,Dick Cook,1,0,1
Union,Lorimor City Hall,Treasurer of State,,REP,Dick Cook,0,0,0
Union,Afton Methodist Church,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,Arispe Methodist Church,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,Salem Lutheran Church,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,SWCC,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,Trinity Lutheran Church,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,Supertel,Treasurer of State,,REP,Kelly Busch,0,0,0
Union,Crest Baptist Church,Treasurer of State,,REP,Kelly Busch,1,0,1
Union,Lorimor City Hall,Treasurer of State,,REP,Kelly Busch,1,0,1
Union,Afton Methodist Church,Treasurer of State,,REP,Ron Corbott,0,0,0
Union,Arispe Methodist Church,Treasurer of State,,REP,Ron Corbott,0,0,0
Union,Salem Lutheran Church,Treasurer of State,,REP,Ron Corbott,0,0,0
Union,SWCC,Treasurer of State,,REP,Ron Corbott,1,0,1
Union,Trinity Lutheran Church,Treasurer of State,,REP,Ron Corbott,0,0,0
