county,precinct,office,district,party,candidate,votes,absentee,polling
Clarke,MIDDLE PRECINCT,United States Representative District 2,,REP,Christopher Peters,74,12,62
Clarke,MURRAY PRECINCT,United States Representative District 2,,REP,Christopher Peters,113,3,110
Clarke,NORTH EAST PRECINCT,United States Representative District 2,,REP,Christopher Peters,42,2,40
Clarke,OSCEOLA 1ST WARD PRECINCT,United States Representative District 2,,REP,Christopher Peters,33,4,29
Clarke,OSCEOLA 2ND WARD PRECINCT,United States Representative District 2,,REP,Christopher Peters,28,6,22
Clarke,OSCEOLA 3RD WARD PRECINCT,United States Representative District 2,,REP,Christopher Peters,49,6,43
Clarke,WOODBURN PRECINCT,United States Representative District 2,,REP,Christopher Peters,29,2,27
Clarke,MIDDLE PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,31,12,19
Clarke,MURRAY PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,16,1,15
Clarke,NORTH EAST PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,31,6,25
Clarke,OSCEOLA 1ST WARD PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,16,0,16
Clarke,OSCEOLA 2ND WARD PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,15,1,14
Clarke,OSCEOLA 3RD WARD PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,32,12,20
Clarke,WOODBURN PRECINCT,United States Representative District 2,,REP,Ginny Caligiuri,2,0,2
Clarke,MIDDLE PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,MURRAY PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,NORTH EAST PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,OSCEOLA 1ST WARD PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,OSCEOLA 2ND WARD PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,OSCEOLA 3RD WARD PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,WOODBURN PRECINCT,United States Representative District 2,,,Write-in,0,0,0
Clarke,MIDDLE PRECINCT,Governor,,REP,Kim Reynolds,128,28,100
Clarke,MURRAY PRECINCT,Governor,,REP,Kim Reynolds,172,10,162
Clarke,NORTH EAST PRECINCT,Governor,,REP,Kim Reynolds,86,9,77
Clarke,OSCEOLA 1ST WARD PRECINCT,Governor,,REP,Kim Reynolds,50,4,46
Clarke,OSCEOLA 2ND WARD PRECINCT,Governor,,REP,Kim Reynolds,50,8,42
Clarke,OSCEOLA 3RD WARD PRECINCT,Governor,,REP,Kim Reynolds,81,14,67
Clarke,WOODBURN PRECINCT,Governor,,REP,Kim Reynolds,39,3,36
Clarke,MIDDLE PRECINCT,Governor,,,Write-in,0,0,0
Clarke,MURRAY PRECINCT,Governor,,,Write-in,0,0,0
Clarke,NORTH EAST PRECINCT,Governor,,,Write-in,0,0,0
Clarke,OSCEOLA 1ST WARD PRECINCT,Governor,,,Write-in,0,0,0
Clarke,OSCEOLA 2ND WARD PRECINCT,Governor,,,Write-in,0,0,0
Clarke,OSCEOLA 3RD WARD PRECINCT,Governor,,,Write-in,0,0,0
Clarke,WOODBURN PRECINCT,Governor,,,Write-in,0,0,0
Clarke,MIDDLE PRECINCT,Secretary of State,,REP,Paul D. Pate,108,22,86
Clarke,MURRAY PRECINCT,Secretary of State,,REP,Paul D. Pate,136,6,130
Clarke,NORTH EAST PRECINCT,Secretary of State,,REP,Paul D. Pate,75,6,69
Clarke,OSCEOLA 1ST WARD PRECINCT,Secretary of State,,REP,Paul D. Pate,48,4,44
Clarke,OSCEOLA 2ND WARD PRECINCT,Secretary of State,,REP,Paul D. Pate,43,6,37
Clarke,OSCEOLA 3RD WARD PRECINCT,Secretary of State,,REP,Paul D. Pate,76,14,62
Clarke,WOODBURN PRECINCT,Secretary of State,,REP,Paul D. Pate,34,2,32
Clarke,MIDDLE PRECINCT,Secretary of State,,,Write-in,0,0,0
Clarke,MURRAY PRECINCT,Secretary of State,,,Write-in,0,0,0
Clarke,NORTH EAST PRECINCT,Secretary of State,,,Write-in,0,0,0
Clarke,OSCEOLA 1ST WARD PRECINCT,Secretary of State,,,Write-in,0,0,0
Clarke,OSCEOLA 2ND WARD PRECINCT,Secretary of State,,,Write-in,0,0,0
