county,precinct,office,district,party,candidate,votes,absentee,polling
Taylor,Blockton Community Center,United States Representative District 3,,REP,David Young,29,2,27
Taylor,Clearfield City Hall,United States Representative District 3,,REP,David Young,14,0,14
Taylor,Gravity Fire Station,United States Representative District 3,,REP,David Young,30,1,29
Taylor,New Market Community Center,United States Representative District 3,,REP,David Young,40,1,39
Taylor,Lenox Community Center,United States Representative District 3,,REP,David Young,84,5,79
Taylor,City - Bedford American Legion,United States Representative District 3,,REP,David Young,42,4,38
Taylor,Townships - Bedford American Legion,United States Representative District 3,,REP,David Young,15,0,15
Taylor,Blockton Community Center,United States Representative District 3,,,Write-in,0,0,0
Taylor,Clearfield City Hall,United States Representative District 3,,,Write-in,0,0,0
Taylor,Gravity Fire Station,United States Representative District 3,,,Write-in,0,0,0
Taylor,New Market Community Center,United States Representative District 3,,,Write-in,0,0,0
Taylor,Lenox Community Center,United States Representative District 3,,,Write-in,0,0,0
Taylor,City - Bedford American Legion,United States Representative District 3,,,Write-in,0,0,0
Taylor,Townships - Bedford American Legion,United States Representative District 3,,,Write-in,0,0,0
Taylor,Blockton Community Center,Governor,,REP,Kim Reynolds,31,2,29
Taylor,Clearfield City Hall,Governor,,REP,Kim Reynolds,14,0,14
Taylor,Gravity Fire Station,Governor,,REP,Kim Reynolds,30,2,28
Taylor,New Market Community Center,Governor,,REP,Kim Reynolds,37,1,36
Taylor,Lenox Community Center,Governor,,REP,Kim Reynolds,77,3,74
Taylor,City - Bedford American Legion,Governor,,REP,Kim Reynolds,39,4,35
Taylor,Townships - Bedford American Legion,Governor,,REP,Kim Reynolds,16,0,16
Taylor,Blockton Community Center,Governor,,,Write-in,0,0,0
Taylor,Clearfield City Hall,Governor,,,Write-in,0,0,0
Taylor,Gravity Fire Station,Governor,,,Write-in,0,0,0
Taylor,New Market Community Center,Governor,,,Write-in,0,0,0
Taylor,Lenox Community Center,Governor,,,Write-in,0,0,0
Taylor,City - Bedford American Legion,Governor,,,Write-in,0,0,0
Taylor,Townships - Bedford American Legion,Governor,,,Write-in,0,0,0
Taylor,Blockton Community Center,Secretary of State,,REP,Paul D. Pate,27,2,25
Taylor,Clearfield City Hall,Secretary of State,,REP,Paul D. Pate,12,0,12
Taylor,Gravity Fire Station,Secretary of State,,REP,Paul D. Pate,30,1,29
Taylor,New Market Community Center,Secretary of State,,REP,Paul D. Pate,36,1,35
Taylor,Lenox Community Center,Secretary of State,,REP,Paul D. Pate,71,3,68
Taylor,City - Bedford American Legion,Secretary of State,,REP,Paul D. Pate,36,4,32
Taylor,Townships - Bedford American Legion,Secretary of State,,REP,Paul D. Pate,12,0,12
Taylor,Blockton Community Center,Secretary of State,,,Write-in,0,0,0
Taylor,Clearfield City Hall,Secretary of State,,,Write-in,0,0,0
Taylor,Gravity Fire Station,Secretary of State,,,Write-in,0,0,0
Taylor,New Market Community Center,Secretary of State,,,Write-in,0,0,0
Taylor,Lenox Community Center,Secretary of State,,,Write-in,0,0,0
Taylor,City - Bedford American Legion,Secretary of State,,,Write-in,0,0,0
Taylor,Townships - Bedford American Legion,Secretary of State,,,Write-in,0,0,0
Taylor,Blockton Community Center,Auditor of State,,REP,Mary Mosiman,27,2,25
Taylor,Clearfield City Hall,Auditor of State,,REP,Mary Mosiman,9,0,9
Taylor,Gravity Fire Station,Auditor of State,,REP,Mary Mosiman,30,1,29
Taylor,New Market Community Center,Auditor of State,,REP,Mary Mosiman,37,1,36
Taylor,Lenox Community Center,Auditor of State,,REP,Mary Mosiman,70,3,67
Taylor,City - Bedford American Legion,Auditor of State,,REP,Mary Mosiman,37,4,33
Taylor,Townships - Bedford American Legion,Auditor of State,,REP,Mary Mosiman,11,0,11
