county,precinct,office,district,party,candidate,votes,absentee,polling
Monroe,No. 1 - Albia First Ward,U.S. House,2,REP,Christopher Peters,44,5,39
Monroe,No. 2 - Albia Second Ward,U.S. House,2,REP,Christopher Peters,35,3,32
Monroe,No. 3 - Albia Third Ward,U.S. House,2,REP,Christopher Peters,22,5,17
Monroe,No. 4 - Albia Fourth Ward,U.S. House,2,REP,Christopher Peters,26,5,21
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",U.S. House,2,REP,Christopher Peters,106,10,96
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",U.S. House,2,REP,Christopher Peters,44,1,43
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",U.S. House,2,REP,Christopher Peters,32,4,28
Monroe,No. 1 - Albia First Ward,U.S. House,2,REP,Ginny Caligiuri,1,0,1
Monroe,No. 2 - Albia Second Ward,U.S. House,2,REP,Ginny Caligiuri,2,2,0
Monroe,No. 3 - Albia Third Ward,U.S. House,2,REP,Ginny Caligiuri,3,0,3
Monroe,No. 4 - Albia Fourth Ward,U.S. House,2,REP,Ginny Caligiuri,1,0,1
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",U.S. House,2,REP,Ginny Caligiuri,18,10,8
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",U.S. House,2,REP,Ginny Caligiuri,3,2,1
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",U.S. House,2,REP,Ginny Caligiuri,1,1,0
Monroe,No. 1 - Albia First Ward,U.S. House,2,,Write-in,0,0,0
Monroe,No. 2 - Albia Second Ward,U.S. House,2,,Write-in,0,0,0
Monroe,No. 3 - Albia Third Ward,U.S. House,2,,Write-in,0,0,0
Monroe,No. 4 - Albia Fourth Ward,U.S. House,2,,Write-in,0,0,0
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",U.S. House,2,,Write-in,0,0,0
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",U.S. House,2,,Write-in,0,0,0
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",U.S. House,2,,Write-in,0,0,0
Monroe,No. 1 - Albia First Ward,Governor,,REP,Kim Reynolds,54,8,46
Monroe,No. 2 - Albia Second Ward,Governor,,REP,Kim Reynolds,45,8,37
Monroe,No. 3 - Albia Third Ward,Governor,,REP,Kim Reynolds,25,6,19
Monroe,No. 4 - Albia Fourth Ward,Governor,,REP,Kim Reynolds,31,5,26
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Governor,,REP,Kim Reynolds,149,25,124
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Governor,,REP,Kim Reynolds,53,4,49
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Governor,,REP,Kim Reynolds,46,7,39
Monroe,No. 1 - Albia First Ward,Governor,,,Write-in,0,0,0
Monroe,No. 2 - Albia Second Ward,Governor,,,Write-in,0,0,0
Monroe,No. 3 - Albia Third Ward,Governor,,,Write-in,0,0,0
Monroe,No. 4 - Albia Fourth Ward,Governor,,,Write-in,0,0,0
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Governor,,,Write-in,0,0,0
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Governor,,,Write-in,0,0,0
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Governor,,,Write-in,0,0,0
Monroe,No. 1 - Albia First Ward,Secretary of State,,REP,Paul D. Pate,48,7,41
Monroe,No. 2 - Albia Second Ward,Secretary of State,,REP,Paul D. Pate,40,7,33
Monroe,No. 3 - Albia Third Ward,Secretary of State,,REP,Paul D. Pate,25,5,20
Monroe,No. 4 - Albia Fourth Ward,Secretary of State,,REP,Paul D. Pate,28,4,24
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Secretary of State,,REP,Paul D. Pate,130,22,108
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Secretary of State,,REP,Paul D. Pate,52,4,48
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Secretary of State,,REP,Paul D. Pate,39,5,34
Monroe,No. 1 - Albia First Ward,Secretary of State,,,Write-in,0,0,0
Monroe,No. 2 - Albia Second Ward,Secretary of State,,,Write-in,0,0,0
Monroe,No. 3 - Albia Third Ward,Secretary of State,,,Write-in,0,0,0
Monroe,No. 4 - Albia Fourth Ward,Secretary of State,,,Write-in,0,0,0
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Secretary of State,,,Write-in,0,0,0
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Secretary of State,,,Write-in,0,0,0
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Secretary of State,,,Write-in,0,0,0
Monroe,No. 1 - Albia First Ward,Auditor of State,,REP,Mary Mosiman,48,7,41
Monroe,No. 2 - Albia Second Ward,Auditor of State,,REP,Mary Mosiman,39,6,33
Monroe,No. 3 - Albia Third Ward,Auditor of State,,REP,Mary Mosiman,24,5,19
Monroe,No. 4 - Albia Fourth Ward,Auditor of State,,REP,Mary Mosiman,27,4,23
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Auditor of State,,REP,Mary Mosiman,124,20,104
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Auditor of State,,REP,Mary Mosiman,47,2,45
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Auditor of State,,REP,Mary Mosiman,35,5,30
Monroe,No. 1 - Albia First Ward,Auditor of State,,,Write-in,0,0,0
Monroe,No. 2 - Albia Second Ward,Auditor of State,,,Write-in,0,0,0
Monroe,No. 3 - Albia Third Ward,Auditor of State,,,Write-in,0,0,0
Monroe,No. 4 - Albia Fourth Ward,Auditor of State,,,Write-in,0,0,0
Monroe,"No. 5 - Courthouse (PL, GL, TR, MT, UR and MN)",Auditor of State,,,Write-in,0,0,0
Monroe,"No.6 -Lovilia Comm Center (LV, Cty, BC, CE and UN)",Auditor of State,,,Write-in,0,0,0
Monroe,"No.7 - St. Patrick's Church (ML Cty,FR,JK and WY)",Auditor of State,,,Write-in,0,0,0
Monroe,No. 1 - Albia First Ward,Treasurer of State,,REP,Blank,1,1,0
