office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,21,Tim Ennis,Democrat,County,Adams,255
State Representative,21,Tom Moore,Republican,County,Adams,190
State Representative,21,Write-In,,County,Adams,0
State Representative,21,Under Votes,,County,Adams,0
State Representative,21,Over Votes,,County,Adams,0
State Representative,21,Tim Ennis,Democrat,County,Cass,327
State Representative,21,Tom Moore,Republican,County,Cass,731
State Representative,21,Write-In,,County,Cass,2
State Representative,21,Under Votes,,County,Cass,0
State Representative,21,Over Votes,,County,Cass,0
State Representative,21,Tim Ennis,Democrat,County,Pottawattamie,16
State Representative,21,Tom Moore,Republican,County,Pottawattamie,77
State Representative,21,Write-In,,County,Pottawattamie,0
State Representative,21,Under Votes,,County,Pottawattamie,0
State Representative,21,Over Votes,,County,Pottawattamie,0
State Representative,21,Tim Ennis,Democrat,County,Union,255
State Representative,21,Tom Moore,Republican,County,Union,414
State Representative,21,Write-In,,County,Union,0
State Representative,21,Under Votes,,County,Union,0
State Representative,21,Over Votes,,County,Union,0
