office,candidate,party,county,votes
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Adair,10
President/Vice President,Under Votes,,Adair,32
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Adair,127
President/Vice President,Over Votes,,Adair,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Adair,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Adair,10
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Adair,1133
President/Vice President,Jill Stein / Ajamu Baraka,Green,Adair,14
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Adair,3
President/Vice President,Donald Trump / Mike Pence,Republican,Adair,2461
President/Vice President,Total,,Adair,3848
President/Vice President,Write-In,,Adair,38
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Adair,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Adair,10
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Adams,6
President/Vice President,Under Votes,,Adams,22
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Adams,93
President/Vice President,Over Votes,,Adams,3
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Adams,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Adams,13
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Adams,565
President/Vice President,Jill Stein / Ajamu Baraka,Green,Adams,9
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Adams,1
President/Vice President,Donald Trump / Mike Pence,Republican,Adams,1395
President/Vice President,Total,,Adams,2131
President/Vice President,Write-In,,Adams,22
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Adams,1
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Adams,1
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Allamakee,34
President/Vice President,Under Votes,,Allamakee,91
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Allamakee,227
President/Vice President,Over Votes,,Allamakee,21
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Allamakee,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Allamakee,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Allamakee,2421
President/Vice President,Jill Stein / Ajamu Baraka,Green,Allamakee,46
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Allamakee,1
President/Vice President,Donald Trump / Mike Pence,Republican,Allamakee,4093
President/Vice President,Total,,Allamakee,7035
President/Vice President,Write-In,,Allamakee,49
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Allamakee,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Allamakee,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Appanoose,24
President/Vice President,Under Votes,,Appanoose,54
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Appanoose,139
President/Vice President,Over Votes,,Appanoose,6
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Appanoose,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Appanoose,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Appanoose,1814
President/Vice President,Jill Stein / Ajamu Baraka,Green,Appanoose,42
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Appanoose,1
President/Vice President,Donald Trump / Mike Pence,Republican,Appanoose,4033
President/Vice President,Total,,Appanoose,6196
President/Vice President,Write-In,,Appanoose,37
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Appanoose,8
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Appanoose,11
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Audubon,9
President/Vice President,Under Votes,,Audubon,69
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Audubon,107
President/Vice President,Over Votes,,Audubon,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Audubon,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Audubon,17
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Audubon,1080
President/Vice President,Jill Stein / Ajamu Baraka,Green,Audubon,24
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Audubon,2
President/Vice President,Donald Trump / Mike Pence,Republican,Audubon,2136
President/Vice President,Total,,Audubon,3486
President/Vice President,Write-In,,Audubon,30
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Audubon,2
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Audubon,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Benton,70
President/Vice President,Under Votes,,Benton,111
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Benton,542
President/Vice President,Over Votes,,Benton,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Benton,4
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Benton,61
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Benton,4678
President/Vice President,Jill Stein / Ajamu Baraka,Green,Benton,86
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Benton,2
President/Vice President,Donald Trump / Mike Pence,Republican,Benton,8232
President/Vice President,Total,,Benton,13971
President/Vice President,Write-In,,Benton,139
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Benton,17
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Benton,13
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Black Hawk,490
President/Vice President,Under Votes,,Black Hawk,491
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Black Hawk,2368
President/Vice President,Over Votes,,Black Hawk,111
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Black Hawk,11
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Black Hawk,203
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Black Hawk,32233
President/Vice President,Jill Stein / Ajamu Baraka,Green,Black Hawk,610
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Black Hawk,22
President/Vice President,Donald Trump / Mike Pence,Republican,Black Hawk,27476
President/Vice President,Total,,Black Hawk,65007
President/Vice President,Write-In,,Black Hawk,835
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Black Hawk,60
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Black Hawk,97
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Boone,158
President/Vice President,Under Votes,,Boone,98
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Boone,643
President/Vice President,Over Votes,,Boone,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Boone,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Boone,56
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Boone,5541
