office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
State Senate,13,Total Votes,,precinct,Indianola 1,Polling,82
State Senate,13,Julian Garrett,,precinct,Indianola 1,Polling,47
State Senate,13,Mark Davin,,precinct,Indianola 1,Polling,34
State Senate,13,Write In,,precinct,Indianola 1,Polling,1
State Senate,13,Total Votes,,precinct,Indianola 1,Absentee,48
State Senate,13,Julian Garrett,,precinct,Indianola 1,Absentee,17
State Senate,13,Mark Davin,,precinct,Indianola 1,Absentee,31
State Senate,13,Write In,,precinct,Indianola 1,Absentee,0
State Senate,13,Total Votes,,precinct,Indlanola 2,Polling,207
State Senate,13,Julian Garrett,,precinct,Indlanola 2,Polling,124
State Senate,13,Mark Davin,,precinct,Indlanola 2,Polling,82
State Senate,13,Write In,,precinct,Indlanola 2,Polling,1
State Senate,13,Total Votes,,precinct,Indlanola 2,Absentee,144
State Senate,13,Julian Garrett,,precinct,Indlanola 2,Absentee,51
State Senate,13,Mark Davin,,precinct,Indlanola 2,Absentee,93
State Senate,13,Write In,,precinct,Indlanola 2,Absentee,0
State Senate,13,Total Votes,,precinct,Indianola 3,Polling,98
State Senate,13,Julian Garrett,,precinct,Indianola 3,Polling,47
State Senate,13,Mark Davin,,precinct,Indianola 3,Polling,51
State Senate,13,Write In,,precinct,Indianola 3,Polling,0
State Senate,13,Total Votes,,precinct,Indianola 3,Absentee,74
State Senate,13,Julian Garrett,,precinct,Indianola 3,Absentee,29
State Senate,13,Mark Davin,,precinct,Indianola 3,Absentee,45
State Senate,13,Write In,,precinct,Indianola 3,Absentee,0
State Senate,13,Total Votes,,precinct,Indianola 4,Polling,384
State Senate,13,Julian Garrett,,precinct,Indianola 4,Polling,194
State Senate,13,Mark Davin,,precinct,Indianola 4,Polling,189
State Senate,13,Write In,,precinct,Indianola 4,Polling,1
State Senate,13,Total Votes,,precinct,Indianola 4,Absentee,233
State Senate,13,Julian Garrett,,precinct,Indianola 4,Absentee,104
State Senate,13,Mark Davin,,precinct,Indianola 4,Absentee,133
State Senate,13,Write In,,precinct,Indianola 4,Absentee,1
State Senate,13,Total Votes,,precinct,Indianola 5,Polling,209
State Senate,13,Julian Garrett,,precinct,Indianola 5,Polling,105
State Senate,13,Mark Davin,,precinct,Indianola 5,Polling,104
State Senate,13,Write In,,precinct,Indianola 5,Polling,0
State Senate,13,Total Votes,,precinct,Indianola 5,Absentee,114
State Senate,13,Julian Garrett,,precinct,Indianola 5,Absentee,51
State Senate,13,Mark Davin,,precinct,Indianola 5,Absentee,63
State Senate,13,Write In,,precinct,Indianola 5,Absentee,0
State Senate,13,Total Votes,,precinct,Indianola 6,Polling,179
State Senate,13,Julian Garrett,,precinct,Indianola 6,Polling,100
State Senate,13,Mark Davin,,precinct,Indianola 6,Polling,79
State Senate,13,Write In,,precinct,Indianola 6,Polling,0
State Senate,13,Total Votes,,precinct,Indianola 6,Absentee,71
State Senate,13,Julian Garrett,,precinct,Indianola 6,Absentee,40
State Senate,13,Mark Davin,,precinct,Indianola 6,Absentee,31
State Senate,13,Write In,,precinct,Indianola 6,Absentee,0
State Senate,13,Total Votes,,precinct,Indianola 7,Polling,215
State Senate,13,Julian Garrett,,precinct,Indianola 7,Polling,113
State Senate,13,Mark Davin,,precinct,Indianola 7,Polling,101
State Senate,13,Write In,,precinct,Indianola 7,Polling,1
State Senate,13,Total Votes,,precinct,Indianola 7,Absentee,105
State Senate,13,Julian Garrett,,precinct,Indianola 7,Absentee,46
State Senate,13,Mark Davin,,precinct,Indianola 7,Absentee,59
State Senate,13,Write In,,precinct,Indianola 7,Absentee,0
State Senate,13,Total Votes,,precinct,Jackson,Polling,145
State Senate,13,Julian Garrett,,precinct,Jackson,Polling,68
State Senate,13,Mark Davin,,precinct,Jackson,Polling,75
State Senate,13,Write In,,precinct,Jackson,Polling,2
State Senate,13,Total Votes,,precinct,Jackson,Absentee,26
State Senate,13,Julian Garrett,,precinct,Jackson,Absentee,15
State Senate,13,Mark Davin,,precinct,Jackson,Absentee,11
State Senate,13,Write In,,precinct,Jackson,Absentee,0
State Senate,13,Total Votes,,precinct,Jefferson,Polling,204
State Senate,13,Julian Garrett,,precinct,Jefferson,Polling,114
State Senate,13,Mark Davin,,precinct,Jefferson,Polling,50
State Senate,13,Write In,,precinct,Jefferson,Polling,0
State Senate,13,Total Votes,,precinct,Jefferson,Absentee,95
State Senate,13,Julian Garrett,,precinct,Jefferson,Absentee,53
State Senate,13,Mark Davin,,precinct,Jefferson,Absentee,42
State Senate,13,Write In,,precinct,Jefferson,Absentee,0
State Senate,13,Total Votes,,precinct,Liberty,Polling,71
State Senate,13,Julian Garrett,,precinct,Liberty,Polling,50
State Senate,13,Mark Davin,,precinct,Liberty,Polling,19
State Senate,13,Write In,,precinct,Liberty,Polling,2
State Senate,13,Total Votes,,precinct,Liberty,Absentee,16
State Senate,13,Julian Garrett,,precinct,Liberty,Absentee,13
State Senate,13,Mark Davin,,precinct,Liberty,Absentee,3
State Senate,13,Write In,,precinct,Liberty,Absentee,0
State Senate,13,Total Votes,,precinct,Lincoln 1,Polling,68
State Senate,13,Julian Garrett,,precinct,Lincoln 1,Polling,41
State Senate,13,Mark Davin,,precinct,Lincoln 1,Polling,27
State Senate,13,Write In,,precinct,Lincoln 1,Polling,0
State Senate,13,Total Votes,,precinct,Lincoln 1,Absentee,51
State Senate,13,Julian Garrett,,precinct,Lincoln 1,Absentee,30
State Senate,13,Mark Davin,,precinct,Lincoln 1,Absentee,21
State Senate,13,Write In,,precinct,Lincoln 1,Absentee,0
State Senate,13,Total Votes,,precinct,Norwalk 1,Polling,246
State Senate,13,Julian Garrett,,precinct,Norwalk 1,Polling,152
State Senate,13,Mark Davin,,precinct,Norwalk 1,Polling,94
State Senate,13,Write In,,precinct,Norwalk 1,Polling,0
State Senate,13,Total Votes,,precinct,Norwalk 1,Absentee,61
State Senate,13,Julian Garrett,,precinct,Norwalk 1,Absentee,41
State Senate,13,Mark Davin,,precinct,Norwalk 1,Absentee,20
State Senate,13,Write In,,precinct,Norwalk 1,Absentee,0
State Senate,13,Total Votes,,precinct,Norwalk 2/Greenfield 1,Polling,135
State Senate,13,Julian Garrett,,precinct,Norwalk 2/Greenfield 1,Polling,84
State Senate,13,Mark Davin,,precinct,Norwalk 2/Greenfield 1,Polling,51
State Senate,13,Write In,,precinct,Norwalk 2/Greenfield 1,Polling,0
State Senate,13,Total Votes,,precinct,Norwalk 2/Greenfield 1,Absentee,31
State Senate,13,Julian Garrett,,precinct,Norwalk 2/Greenfield 1,Absentee,18
State Senate,13,Mark Davin,,precinct,Norwalk 2/Greenfield 1,Absentee,13
State Senate,13,Write In,,precinct,Norwalk 2/Greenfield 1,Absentee,0
State Senate,13,Total Votes,,precinct,Norwalk 3/Linn,Polling,295
State Senate,13,Julian Garrett,,precinct,Norwalk 3/Linn,Polling,170
State Senate,13,Mark Davin,,precinct,Norwalk 3/Linn,Polling,125
State Senate,13,Write In,,precinct,Norwalk 3/Linn,Polling,0
State Senate,13,Total Votes,,precinct,Norwalk 3/Linn,Absentee,91
State Senate,13,Julian Garrett,,precinct,Norwalk 3/Linn,Absentee,58
State Senate,13,Mark Davin,,precinct,Norwalk 3/Linn,Absentee,33
State Senate,13,Write In,,precinct,Norwalk 3/Linn,Absentee,0
State Senate,13,Total Votes,,precinct,Norwalk 4,Polling,138
State Senate,13,Julian Garrett,,precinct,Norwalk 4,Polling,80
State Senate,13,Mark Davin,,precinct,Norwalk 4,Polling,58
State Senate,13,Write In,,precinct,Norwalk 4,Polling,0
State Senate,13,Total Votes,,precinct,Norwalk 4,Absentee,63
State Senate,13,Julian Garrett,,precinct,Norwalk 4,Absentee,44
State Senate,13,Mark Davin,,precinct,Norwalk 4,Absentee,19
State Senate,13,Write In,,precinct,Norwalk 4,Absentee,0
State Senate,13,Total Votes,,precinct,Otter/Milo,Polling,173
State Senate,13,Julian Garrett,,precinct,Otter/Milo,Polling,97
State Senate,13,Mark Davin,,precinct,Otter/Milo,Polling,76
State Senate,13,Write In,,precinct,Otter/Milo,Polling,0
State Senate,13,Total Votes,,precinct,Otter/Milo,Absentee,46
State Senate,13,Julian Garrett,,precinct,Otter/Milo,Absentee,30
State Senate,13,Mark Davin,,precinct,Otter/Milo,Absentee,16
State Senate,13,Write In,,precinct,Otter/Milo,Absentee,0
State Senate,13,Total Votes,,precinct,Palmyra,Polling,63
State Senate,13,Julian Garrett,,precinct,Palmyra,Polling,39
State Senate,13,Mark Davin,,precinct,Palmyra,Polling,24
State Senate,13,Write In,,precinct,Palmyra,Polling,0
State Senate,13,Total Votes,,precinct,Palmyra,Absentee,16
State Senate,13,Julian Garrett,,precinct,Palmyra,Absentee,15
State Senate,13,Mark Davin,,precinct,Palmyra,Absentee,1
State Senate,13,Write In,,precinct,Palmyra,Absentee,0
State Senate,13,Total Votes,,precinct,RlchIand/Palmyra,Polling,105
State Senate,13,Julian Garrett,,precinct,RlchIand/Palmyra,Polling,60
State Senate,13,Mark Davin,,precinct,RlchIand/Palmyra,Polling,45
State Senate,13,Write In,,precinct,RlchIand/Palmyra,Polling,0
State Senate,13,Total Votes,,precinct,RlchIand/Palmyra,Absentee,24
State Senate,13,Julian Garrett,,precinct,RlchIand/Palmyra,Absentee,14
State Senate,13,Mark Davin,,precinct,RlchIand/Palmyra,Absentee,10
State Senate,13,Write In,,precinct,RlchIand/Palmyra,Absentee,0
State Senate,13,Total Votes,,precinct,Squaw Creek,Polling,78
State Senate,13,Julian Garrett,,precinct,Squaw Creek,Polling,57
State Senate,13,Mark Davin,,precinct,Squaw Creek,Polling,21
State Senate,13,Write In,,precinct,Squaw Creek,Polling,0
State Senate,13,Total Votes,,precinct,Squaw Creek,Absentee,28
State Senate,13,Julian Garrett,,precinct,Squaw Creek,Absentee,22
State Senate,13,Mark Davin,,precinct,Squaw Creek,Absentee,6
State Senate,13,Write In,,precinct,Squaw Creek,Absentee,0
State Senate,13,Total Votes,,precinct,Union,Polling,68
State Senate,13,Julian Garrett,,precinct,Union,Polling,41
State Senate,13,Mark Davin,,precinct,Union,Polling,27
State Senate,13,Write In,,precinct,Union,Polling,0
State Senate,13,Total Votes,,precinct,Union,Absentee,22
State Senate,13,Julian Garrett,,precinct,Union,Absentee,8
State Senate,13,Mark Davin,,precinct,Union,Absentee,14
State Senate,13,Write In,,precinct,Union,Absentee,0
State Senate,13,Total Votes,,precinct,Virginia,Polling,145
State Senate,13,Julian Garrett,,precinct,Virginia,Polling,95
State Senate,13,Mark Davin,,precinct,Virginia,Polling,50
State Senate,13,Write In,,precinct,Virginia,Polling,0
State Senate,13,Total Votes,,precinct,Virginia,Absentee,37
State Senate,13,Julian Garrett,,precinct,Virginia,Absentee,28
State Senate,13,Mark Davin,,precinct,Virginia,Absentee,9
State Senate,13,Write In,,precinct,Virginia,Absentee,0
State Senate,13,Total Votes,,precinct,White Breast,Polling,100
State Senate,13,Julian Garrett,,precinct,White Breast,Polling,56
State Senate,13,Mark Davin,,precinct,White Breast,Polling,44
State Senate,13,Write In,,precinct,White Breast,Polling,0
State Senate,13,Total Votes,,precinct,White Breast,Absentee,11
State Senate,13,Julian Garrett,,precinct,White Breast,Absentee,5
State Senate,13,Mark Davin,,precinct,White Breast,Absentee,6
State Senate,13,Write In,,precinct,White Breast,Absentee,0
State Senate,13,Total Votes,,precinct,White Oak,Polling,116
State Senate,13,Julian Garrett,,precinct,White Oak,Polling,86
State Senate,13,Mark Davin,,precinct,White Oak,Polling,29
State Senate,13,Write In,,precinct,White Oak,Polling,1
State Senate,13,Total Votes,,precinct,White Oak,Absentee,40
State Senate,13,Julian Garrett,,precinct,White Oak,Absentee,30
State Senate,13,Mark Davin,,precinct,White Oak,Absentee,10
State Senate,13,Write In,,precinct,White Oak,Absentee,0
State Senate,13,Total Votes,,precinct,Total,Polling,4403
State Senate,13,Julian Garrett,,precinct,Total,Polling,2499
State Senate,13,Mark Davin,,precinct,Total,Polling,1895
State Senate,13,Write In,,precinct,Total,Polling,9
State Senate,13,Total Votes,,precinct,Total,Absentee,1892
State Senate,13,Julian Garrett,,precinct,Total,Absentee,993
State Senate,13,Mark Davin,,precinct,Total,Absentee,897
State Senate,13,Write In,,precinct,Total,Absentee,2
State Senate,13,Total Votes,,precinct,Total,Total,6295
State Senate,13,Julian Garrett,,precinct,Total,Total,3492
State Senate,13,Mark Davin,,precinct,Total,Total,2792
State Senate,13,Write In,,precinct,Total,Total,11
