office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
State Senate,13,Total Votes,,precinct,Allen 2,Polling,182
State Senate,13,Julian Garrett,,precinct,Allen 2,Polling,105
State Senate,13,Mark Davin,,precinct,Allen 2,Polling,77
State Senate,13,Write In,,precinct,Allen 2,Polling,0
State Senate,13,Total Votes,,precinct,Allen 2,Absentee,34
State Senate,13,Julian Garrett,,precinct,Allen 2,Absentee,18
State Senate,13,Mark Davin,,precinct,Allen 2,Absentee,16
State Senate,13,Write In,,precinct,Allen 2,Absentee,0
State Senate,13,Total Votes,,precinct,Allen 3,Polling,190
State Senate,13,Julian Garrett,,precinct,Allen 3,Polling,98
State Senate,13,Mark Davin,,precinct,Allen 3,Polling,92
State Senate,13,Write In,,precinct,Allen 3,Polling,0
State Senate,13,Total Votes,,precinct,Allen 3,Absentee,76
State Senate,13,Julian Garrett,,precinct,Allen 3,Absentee,30
State Senate,13,Mark Davin,,precinct,Allen 3,Absentee,45
State Senate,13,Write In,,precinct,Allen 3,Absentee,1
State Senate,13,Total Votes,,precinct,Belmont,Polling,65
State Senate,13,Julian Garrett,,precinct,Belmont,Polling,53
State Senate,13,Mark Davin,,precinct,Belmont,Polling,12
State Senate,13,Write In,,precinct,Belmont,Polling,0
State Senate,13,Total Votes,,precinct,Belmont,Absentee,9
State Senate,13,Julian Garrett,,precinct,Belmont,Absentee,9
State Senate,13,Mark Davin,,precinct,Belmont,Absentee,0
State Senate,13,Write In,,precinct,Belmont,Absentee,0
State Senate,13,Total Votes,,precinct,Greenfield 1,Polling,91
State Senate,13,Julian Garrett,,precinct,Greenfield 1,Polling,39
State Senate,13,Mark Davin,,precinct,Greenfield 1,Polling,52
State Senate,13,Write In,,precinct,Greenfield 1,Polling,0
State Senate,13,Total Votes,,precinct,Greenfield 1,Absentee,86
State Senate,13,Julian Garrett,,precinct,Greenfield 1,Absentee,59
State Senate,13,Mark Davin,,precinct,Greenfield 1,Absentee,27
State Senate,13,Write In,,precinct,Greenfield 1,Absentee,0
State Senate,13,Total Votes,,precinct,Greenfield 1/DM85,Polling,129
State Senate,13,Julian Garrett,,precinct,Greenfield 1/DM85,Polling,49
State Senate,13,Mark Davin,,precinct,Greenfield 1/DM85,Polling,80
State Senate,13,Write In,,precinct,Greenfield 1/DM85,Polling,0
State Senate,13,Total Votes,,precinct,Greenfield 1/DM85,Absenth,89
State Senate,13,Julian Garrett,,precinct,Greenfield 1/DM85,Absenth,33
State Senate,13,Mark Davin,,precinct,Greenfield 1/DM85,Absenth,56
State Senate,13,Write In,,precinct,Greenfield 1/DM85,Absenth,0
State Senate,13,Total Votes,,precinct,Greenfield 1/DM86,Polling,22
State Senate,13,Julian Garrett,,precinct,Greenfield 1/DM86,Polling,7
State Senate,13,Mark Davin,,precinct,Greenfield 1/DM86,Polling,15
State Senate,13,Write In,,precinct,Greenfield 1/DM86,Polling,0
State Senate,13,Total Votes,,precinct,Greenfield 1/DM86,Absentee,1
State Senate,13,Julian Garrett,,precinct,Greenfield 1/DM86,Absentee,0
State Senate,13,Mark Davin,,precinct,Greenfield 1/DM86,Absentee,1
State Senate,13,Write In,,precinct,Greenfield 1/DM86,Absentee,0
State Senate,13,Total Votes,,precinct,Greenfield 2/Lincoln,Polling,200
State Senate,13,Julian Garrett,,precinct,Greenfield 2/Lincoln,Polling,128
State Senate,13,Mark Davin,,precinct,Greenfield 2/Lincoln,Polling,72
State Senate,13,Write In,,precinct,Greenfield 2/Lincoln,Polling,0
State Senate,13,Total Votes,,precinct,Greenfield 2/Lincoln,Absentee,145
State Senate,13,Julian Garrett,,precinct,Greenfield 2/Lincoln,Absentee,82
State Senate,13,Mark Davin,,precinct,Greenfield 2/Lincoln,Absentee,63
State Senate,13,Write In,,precinct,Greenfield 2/Lincoln,Absentee,0
