county,precinct,office,district,party,candidate,absentee,election_date,votes
Clay,Douglas-Peterson,President/Vice President,,Republican,Mitt Romney Paul Ryan,76.0,171.0,247.0
Clay,Douglas-Peterson,President/Vice President,,Democratic,Barack Obama Joe Biden,48.0,84.0,132.0
Clay,Douglas-Peterson,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Clay,Douglas-Peterson,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,2.0,2.0
Clay,Douglas-Peterson,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,1.0,1.0
Clay,Douglas-Peterson,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Clay,Douglas-Peterson,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Clay,Douglas-Peterson,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Clay,Douglas-Peterson,President/Vice President,,,Write-In,1.0,1.0,2.0
Clay,Douglas-Peterson,President/Vice President,,,Under Votes,1.0,3.0,4.0
Clay,Douglas-Peterson,President/Vice President,,,Over Votes,0.0,0.0,0.0
Clay,Garfield-Herdland,President/Vice President,,Republican,Mitt Romney Paul Ryan,40.0,113.0,153.0
Clay,Garfield-Herdland,President/Vice President,,Democratic,Barack Obama Joe Biden,26.0,64.0,90.0
Clay,Garfield-Herdland,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Clay,Garfield-Herdland,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Clay,Garfield-Herdland,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,2.0,2.0
Clay,Garfield-Herdland,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Clay,Garfield-Herdland,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Clay,Garfield-Herdland,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Clay,Garfield-Herdland,President/Vice President,,,Write-In,1.0,1.0,2.0
Clay,Garfield-Herdland,President/Vice President,,,Under Votes,0.0,1.0,1.0
Clay,Garfield-Herdland,President/Vice President,,,Over Votes,0.0,0.0,0.0
Clay,Lake-Freeman,President/Vice President,,Republican,Mitt Romney Paul Ryan,53.0,101.0,154.0
