county,precinct,office,district,party,candidate,absentee,election_date,votes
Fayette,AUBURN TWP,President/Vice President,,Republican,Mitt Romney Paul Ryan,32.0,108.0,140.0
Fayette,AUBURN TWP,President/Vice President,,Democratic,Barack Obama Joe Biden,61.0,87.0,148.0
Fayette,AUBURN TWP,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Fayette,AUBURN TWP,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Fayette,AUBURN TWP,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,1.0,2.0
Fayette,AUBURN TWP,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Fayette,AUBURN TWP,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,0.0,1.0
Fayette,AUBURN TWP,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Fayette,AUBURN TWP,President/Vice President,,,Write-In,0.0,1.0,1.0
Fayette,AUBURN TWP,President/Vice President,,,Under Votes,2.0,1.0,3.0
Fayette,AUBURN TWP,President/Vice President,,,Over Votes,0.0,0.0,0.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Republican,Mitt Romney Paul Ryan,70.0,183.0,253.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Democratic,Barack Obama Joe Biden,82.0,149.0,231.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,0.0,1.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,,Write-In,0.0,3.0,3.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,,Under Votes,0.0,1.0,1.0
Fayette,BANKS-FREMONT TWP,President/Vice President,,,Over Votes,0.0,0.0,0.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Republican,Mitt Romney Paul Ryan,73.0,173.0,246.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Democratic,Barack Obama Joe Biden,99.0,198.0,297.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,1.0,2.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,1.0,3.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,1.0,1.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Fayette,BETHEL-WINDSOR TWP,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
