county,precinct,office,district,party,candidate,absentee,election_date,votes
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Republican,Mitt Romney Paul Ryan,131.0,261.0,392.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Democratic,Barack Obama Joe Biden,114.0,173.0,287.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,3.0,3.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,0.0,1.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,3.0,4.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,2.0,2.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,2.0,0.0,2.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,,Write-In,2.0,3.0,5.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,,Under Votes,5.0,2.0,7.0
Wayne,A-01 Allerton-Clio-Lineville,President/Vice President,,,Over Votes,0.0,0.0,0.0
Wayne,C-02 Corydon,President/Vice President,,Republican,Mitt Romney Paul Ryan,217.0,293.0,510.0
Wayne,C-02 Corydon,President/Vice President,,Democratic,Barack Obama Joe Biden,176.0,223.0,399.0
Wayne,C-02 Corydon,President/Vice President,,Constitution,Virgil Goode James Clymer,3.0,2.0,5.0
Wayne,C-02 Corydon,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,2.0,3.0
Wayne,C-02 Corydon,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,4.0,6.0
Wayne,C-02 Corydon,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,1.0,1.0,2.0
Wayne,C-02 Corydon,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Wayne,C-02 Corydon,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,2.0,2.0
Wayne,C-02 Corydon,President/Vice President,,,Write-In,2.0,3.0,5.0
Wayne,C-02 Corydon,President/Vice President,,,Under Votes,1.0,0.0,1.0
Wayne,C-02 Corydon,President/Vice President,,,Over Votes,0.0,0.0,0.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Republican,Mitt Romney Paul Ryan,130.0,202.0,332.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Democratic,Barack Obama Joe Biden,132.0,151.0,283.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,5.0,5.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,3.0,4.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,2.0,3.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,2.0,2.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,,Write-In,1.0,0.0,1.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,,Under Votes,0.0,3.0,3.0
Wayne,H-03 Humeston-Millerton,President/Vice President,,,Over Votes,0.0,0.0,0.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Republican,Mitt Romney Paul Ryan,116.0,233.0,349.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Democratic,Barack Obama Joe Biden,99.0,183.0,282.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Libertarian,Gary Johnson James P. Gray,3.0,5.0,8.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Wayne,S-04 Seymour-Promise City,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
