county,precinct,office,district,party,candidate,absentee,election_date,votes
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Republican,Mitt Romney Paul Ryan,81.0,198.0,279.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Democratic,Barack Obama Joe Biden,55.0,67.0,122.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,1.0,3.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,,Write-In,0.0,3.0,3.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,,Under Votes,0.0,1.0,1.0
Jefferson,Blackhawk-Polk-Packwood,President/Vice President,,,Over Votes,0.0,0.0,0.0
Jefferson,Buchanan Township,President/Vice President,,Republican,Mitt Romney Paul Ryan,85.0,122.0,207.0
Jefferson,Buchanan Township,President/Vice President,,Democratic,Barack Obama Joe Biden,81.0,62.0,143.0
Jefferson,Buchanan Township,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Jefferson,Buchanan Township,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Jefferson,Buchanan Township,President/Vice President,,Libertarian,Gary Johnson James P. Gray,3.0,4.0,7.0
Jefferson,Buchanan Township,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Jefferson,Buchanan Township,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Jefferson,Buchanan Township,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,2.0,0.0,2.0
Jefferson,Buchanan Township,President/Vice President,,,Write-In,0.0,2.0,2.0
Jefferson,Buchanan Township,President/Vice President,,,Under Votes,1.0,3.0,4.0
Jefferson,Buchanan Township,President/Vice President,,,Over Votes,0.0,0.0,0.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Republican,Mitt Romney Paul Ryan,188.0,254.0,442.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Democratic,Barack Obama Joe Biden,456.0,158.0,614.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,1.0,2.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,4.0,4.0,8.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Libertarian,Gary Johnson James P. Gray,5.0,5.0,10.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,,Write-In,5.0,4.0,9.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,,Under Votes,2.0,1.0,3.0
Jefferson,Center-Cedar-Maharishi Vedic City,President/Vice President,,,Over Votes,1.0,0.0,1.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Republican,Mitt Romney Paul Ryan,299.0,162.0,461.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Democratic,Barack Obama Joe Biden,474.0,183.0,657.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,3.0,4.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Libertarian,Gary Johnson James P. Gray,4.0,9.0,13.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,1.0,0.0,1.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Jefferson,Fairfield 1st Ward,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Jefferson,Fairfield 1st Ward,President/Vice President,,,Write-In,7.0,3.0,10.0
Jefferson,Fairfield 1st Ward,President/Vice President,,,Under Votes,5.0,2.0,7.0
Jefferson,Fairfield 1st Ward,President/Vice President,,,Over Votes,5.0,0.0,5.0
