county,precinct,office,district,party,candidate,absentee,election_date,votes
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Republican,Mitt Romney Paul Ryan,88.0,296.0,384.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Democratic,Barack Obama Joe Biden,66.0,123.0,189.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,2.0,3.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,2.0,2.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,,Write-In,2.0,1.0,3.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,,Under Votes,1.0,3.0,4.0
Buena Vista,Albert City-Fairfield-Coo,President/Vice President,,,Over Votes,1.0,0.0,1.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Republican,Mitt Romney Paul Ryan,159.0,520.0,679.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Democratic,Barack Obama Joe Biden,125.0,360.0,485.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Constitution,Virgil Goode James Clymer,3.0,1.0,4.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,4.0,4.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,8.0,10.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,,Write-In,1.0,5.0,6.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,,Under Votes,2.0,0.0,2.0
Buena Vista,Alta-Nokomis-Elk,President/Vice President,,,Over Votes,1.0,1.0,2.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Republican,Mitt Romney Paul Ryan,168.0,304.0,472.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Democratic,Barack Obama Joe Biden,98.0,170.0,268.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,1.0,2.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,2.0,3.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Buena Vista,Lakeside-Hayes-Maple Vall,President/Vice President,,,Write-In,1.0,0.0,1.0
