county,precinct,office,district,party,candidate,absentee,election_date,votes
Linn,CR01 River of Life Ministries,President/Vice President,,Republican,Mitt Romney Paul Ryan,203.0,430.0,633.0
Linn,CR01 River of Life Ministries,President/Vice President,,Democratic,Barack Obama Joe Biden,360.0,464.0,824.0
Linn,CR01 River of Life Ministries,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Linn,CR01 River of Life Ministries,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,0.0,1.0
Linn,CR01 River of Life Ministries,President/Vice President,,Libertarian,Gary Johnson James P. Gray,9.0,16.0,25.0
Linn,CR01 River of Life Ministries,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Linn,CR01 River of Life Ministries,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Linn,CR01 River of Life Ministries,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Linn,CR01 River of Life Ministries,President/Vice President,,,Write-In,2.0,9.0,11.0
Linn,CR01 River of Life Ministries,President/Vice President,,,Under Votes,1.0,2.0,3.0
Linn,CR01 River of Life Ministries,President/Vice President,,,Over Votes,0.0,0.0,0.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,198.0,380.0,578.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Democratic,Barack Obama Joe Biden,348.0,473.0,821.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,4.0,4.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,2.0,3.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,3.0,12.0,15.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,1.0,2.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,,Write-In,1.0,3.0,4.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,,Under Votes,2.0,0.0,2.0
Linn,CR02 Northbrook Baptist Church,President/Vice President,,,Over Votes,0.0,0.0,0.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,130.0,376.0,506.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Democratic,Barack Obama Joe Biden,216.0,275.0,491.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,2.0,2.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,6.0,7.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,1.0,2.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,,Write-In,2.0,2.0,4.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,,Under Votes,1.0,2.0,3.0
Linn,CR03 Noelridge Christian Church,President/Vice President,,,Over Votes,1.0,0.0,1.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,274.0,503.0,777.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Democratic,Barack Obama Joe Biden,306.0,295.0,601.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,4.0,7.0,11.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,,Write-In,0.0,3.0,3.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,,Under Votes,0.0,1.0,1.0
Linn,CR04 St Marks Lutheran Church,President/Vice President,,,Over Votes,0.0,0.0,0.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,190.0,396.0,586.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Democratic,Barack Obama Joe Biden,432.0,482.0,914.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,0.0,2.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,2.0,4.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,5.0,15.0,20.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,,Write-In,1.0,6.0,7.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,,Under Votes,0.0,1.0,1.0
Linn,CR05 Mt Zion Missionary Baptist Church,President/Vice President,,,Over Votes,0.0,0.0,0.0
