county,precinct,office,district,party,candidate,absentee,election_date,votes
Taylor,Blockton,President/Vice President,,Republican,Mitt Romney Paul Ryan,29.0,93.0,122.0
Taylor,Blockton,President/Vice President,,Democratic,Barack Obama Joe Biden,11.0,62.0,73.0
Taylor,Blockton,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Taylor,Blockton,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Taylor,Blockton,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,1.0,1.0
Taylor,Blockton,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Taylor,Blockton,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Taylor,Blockton,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Taylor,Blockton,President/Vice President,,,Write-In,0.0,0.0,0.0
Taylor,Blockton,President/Vice President,,,Under Votes,0.0,2.0,2.0
Taylor,Blockton,President/Vice President,,,Over Votes,0.0,0.0,0.0
Taylor,City of Bedford,President/Vice President,,Republican,Mitt Romney Paul Ryan,124.0,283.0,407.0
Taylor,City of Bedford,President/Vice President,,Democratic,Barack Obama Joe Biden,113.0,174.0,287.0
Taylor,City of Bedford,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,2.0,3.0
Taylor,City of Bedford,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Taylor,City of Bedford,President/Vice President,,Libertarian,Gary Johnson James P. Gray,3.0,3.0,6.0
Taylor,City of Bedford,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Taylor,City of Bedford,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Taylor,City of Bedford,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Taylor,City of Bedford,President/Vice President,,,Write-In,0.0,3.0,3.0
