county,precinct,office,district,party,candidate,absentee,election_date,votes
Des Moines,PCT 1T,President/Vice President,,Republican,Mitt Romney Paul Ryan,345.0,486.0,831.0
Des Moines,PCT 1T,President/Vice President,,Democratic,Barack Obama Joe Biden,526.0,354.0,880.0
Des Moines,PCT 1T,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,3.0,3.0
Des Moines,PCT 1T,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,3.0,4.0
Des Moines,PCT 1T,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,8.0,10.0
Des Moines,PCT 1T,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Des Moines,PCT 1T,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,0.0,1.0
Des Moines,PCT 1T,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Des Moines,PCT 1T,President/Vice President,,,Write-In,6.0,3.0,9.0
Des Moines,PCT 1T,President/Vice President,,,Under Votes,3.0,4.0,7.0
Des Moines,PCT 1T,President/Vice President,,,Over Votes,1.0,0.0,1.0
Des Moines,PCT 2,President/Vice President,,Republican,Mitt Romney Paul Ryan,241.0,283.0,524.0
Des Moines,PCT 2,President/Vice President,,Democratic,Barack Obama Joe Biden,572.0,456.0,1028.0
Des Moines,PCT 2,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,0.0,2.0
Des Moines,PCT 2,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,1.0,3.0
Des Moines,PCT 2,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,6.0,8.0
Des Moines,PCT 2,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Des Moines,PCT 2,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Des Moines,PCT 2,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,1.0,2.0
Des Moines,PCT 2,President/Vice President,,,Write-In,4.0,6.0,10.0
Des Moines,PCT 2,President/Vice President,,,Under Votes,10.0,2.0,12.0
Des Moines,PCT 2,President/Vice President,,,Over Votes,2.0,0.0,2.0
Des Moines,PCT 3,President/Vice President,,Republican,Mitt Romney Paul Ryan,138.0,287.0,425.0
Des Moines,PCT 3,President/Vice President,,Democratic,Barack Obama Joe Biden,403.0,508.0,911.0
Des Moines,PCT 3,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,1.0,3.0
Des Moines,PCT 3,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,7.0,9.0
Des Moines,PCT 3,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,15.0,16.0
Des Moines,PCT 3,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Des Moines,PCT 3,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,1.0,2.0
Des Moines,PCT 3,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Des Moines,PCT 3,President/Vice President,,,Write-In,1.0,6.0,7.0
Des Moines,PCT 3,President/Vice President,,,Under Votes,2.0,3.0,5.0
Des Moines,PCT 3,President/Vice President,,,Over Votes,2.0,0.0,2.0
Des Moines,PCT 4,President/Vice President,,Republican,Mitt Romney Paul Ryan,118.0,213.0,331.0
Des Moines,PCT 4,President/Vice President,,Democratic,Barack Obama Joe Biden,481.0,455.0,936.0
Des Moines,PCT 4,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,4.0,6.0
Des Moines,PCT 4,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,4.0,5.0
Des Moines,PCT 4,President/Vice President,,Libertarian,Gary Johnson James P. Gray,5.0,10.0,15.0
Des Moines,PCT 4,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Des Moines,PCT 4,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Des Moines,PCT 4,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Des Moines,PCT 4,President/Vice President,,,Write-In,2.0,6.0,8.0
Des Moines,PCT 4,President/Vice President,,,Under Votes,1.0,3.0,4.0
Des Moines,PCT 4,President/Vice President,,,Over Votes,5.0,0.0,5.0
