office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Total,,county,Woodbury,,45292
President/Vice President,,Over Votes,,county,Woodbury,,137
President/Vice President,,Under Votes,,county,Woodbury,,136
President/Vice President,,Write-In,,county,Woodbury,,306
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Woodbury,,21
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Woodbury,,14
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Woodbury,,16
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Woodbury,,334
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Woodbury,,91
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Woodbury,,94
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Woodbury,,22302
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Woodbury,,21841
President/Vice President,,Total,,county,Story,,47265
President/Vice President,,Over Votes,,county,Story,,20
President/Vice President,,Under Votes,,county,Story,,95
President/Vice President,,Write-In,,county,Story,,250
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Story,,85
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Story,,12
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Story,,12
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Story,,727
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Story,,139
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Story,,65
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Story,,26192
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Story,,19668
President/Vice President,,Total,,county,Page,,7109
President/Vice President,,Over Votes,,county,Page,,8
President/Vice President,,Under Votes,,county,Page,,22
President/Vice President,,Write-In,,county,Page,,30
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Page,,5
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Page,,12
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Page,,1
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Page,,43
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Page,,12
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Page,,15
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Page,,2613
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Page,,4348
President/Vice President,,Total,,county,Madison,,8509
President/Vice President,,Over Votes,,county,Madison,,12
President/Vice President,,Under Votes,,county,Madison,,39
