county,precinct,office,district,party,candidate,absentee,election_date,votes
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Republican,Mitt Romney Paul Ryan,129.0,431.0,560.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Democratic,Barack Obama Joe Biden,161.0,344.0,505.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,4.0,4.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,12.0,14.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,,Write-In,0.0,2.0,2.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,,Under Votes,1.0,1.0,2.0
Black Hawk,Barclay Lester Dunkerton,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,Republican,Mitt Romney Paul Ryan,59.0,117.0,176.0
Black Hawk,Bennington,President/Vice President,,Democratic,Barack Obama Joe Biden,45.0,62.0,107.0
Black Hawk,Bennington,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,4.0,4.0
Black Hawk,Bennington,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,5.0,5.0
Black Hawk,Bennington,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,,Write-In,0.0,0.0,0.0
Black Hawk,Bennington,President/Vice President,,,Under Votes,1.0,0.0,1.0
Black Hawk,Bennington,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,Big Creek La Porte,President/Vice President,,Republican,Mitt Romney Paul Ryan,197.0,425.0,622.0
Black Hawk,Big Creek La Porte,President/Vice President,,Democratic,Barack Obama Joe Biden,267.0,423.0,690.0
Black Hawk,Big Creek La Porte,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,3.0,4.0
Black Hawk,Big Creek La Porte,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,3.0,5.0
Black Hawk,Big Creek La Porte,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,10.0,11.0
Black Hawk,Big Creek La Porte,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,Big Creek La Porte,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,2.0,0.0,2.0
Black Hawk,Big Creek La Porte,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,Big Creek La Porte,President/Vice President,,,Write-In,2.0,4.0,6.0
Black Hawk,Big Creek La Porte,President/Vice President,,,Under Votes,1.0,3.0,4.0
Black Hawk,Big Creek La Porte,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Republican,Mitt Romney Paul Ryan,289.0,766.0,1055.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Democratic,Barack Obama Joe Biden,312.0,500.0,812.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,0.0,2.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,3.0,3.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,14.0,16.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,,Write-In,0.0,5.0,5.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,,Under Votes,0.0,2.0,2.0
Black Hawk,Black Hawk Hudson Lincoln,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,Cedar Orange,President/Vice President,,Republican,Mitt Romney Paul Ryan,166.0,343.0,509.0
Black Hawk,Cedar Orange,President/Vice President,,Democratic,Barack Obama Joe Biden,250.0,365.0,615.0
Black Hawk,Cedar Orange,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Black Hawk,Cedar Orange,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Black Hawk,Cedar Orange,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,8.0,10.0
Black Hawk,Cedar Orange,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Black Hawk,Cedar Orange,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,Cedar Orange,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,Cedar Orange,President/Vice President,,,Write-In,0.0,2.0,2.0
Black Hawk,Cedar Orange,President/Vice President,,,Under Votes,5.0,4.0,9.0
Black Hawk,Cedar Orange,President/Vice President,,,Over Votes,1.0,0.0,1.0
Black Hawk,CF W1 P1,President/Vice President,,Republican,Mitt Romney Paul Ryan,100.0,302.0,402.0
Black Hawk,CF W1 P1,President/Vice President,,Democratic,Barack Obama Joe Biden,277.0,374.0,651.0
Black Hawk,CF W1 P1,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Black Hawk,CF W1 P1,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,3.0,3.0
Black Hawk,CF W1 P1,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,13.0,15.0
Black Hawk,CF W1 P1,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,CF W1 P1,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,CF W1 P1,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Black Hawk,CF W1 P1,President/Vice President,,,Write-In,1.0,3.0,4.0
Black Hawk,CF W1 P1,President/Vice President,,,Under Votes,0.0,2.0,2.0
Black Hawk,CF W1 P1,President/Vice President,,,Over Votes,1.0,0.0,1.0
Black Hawk,CF W1 P2,President/Vice President,,Republican,Mitt Romney Paul Ryan,253.0,496.0,749.0
Black Hawk,CF W1 P2,President/Vice President,,Democratic,Barack Obama Joe Biden,575.0,509.0,1084.0
Black Hawk,CF W1 P2,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Black Hawk,CF W1 P2,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,5.0,3.0,8.0
Black Hawk,CF W1 P2,President/Vice President,,Libertarian,Gary Johnson James P. Gray,6.0,15.0,21.0
Black Hawk,CF W1 P2,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Black Hawk,CF W1 P2,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,CF W1 P2,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,CF W1 P2,President/Vice President,,,Write-In,2.0,8.0,10.0
Black Hawk,CF W1 P2,President/Vice President,,,Under Votes,2.0,2.0,4.0
Black Hawk,CF W1 P2,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,CF W1 P3,President/Vice President,,Republican,Mitt Romney Paul Ryan,166.0,366.0,532.0
Black Hawk,CF W1 P3,President/Vice President,,Democratic,Barack Obama Joe Biden,484.0,440.0,924.0
Black Hawk,CF W1 P3,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Black Hawk,CF W1 P3,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Black Hawk,CF W1 P3,President/Vice President,,Libertarian,Gary Johnson James P. Gray,3.0,15.0,18.0
Black Hawk,CF W1 P3,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,CF W1 P3,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Black Hawk,CF W1 P3,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,CF W1 P3,President/Vice President,,,Write-In,9.0,7.0,16.0
Black Hawk,CF W1 P3,President/Vice President,,,Under Votes,1.0,2.0,3.0
Black Hawk,CF W1 P3,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,Republican,Mitt Romney Paul Ryan,49.0,128.0,177.0
Black Hawk,CF W2 P1,President/Vice President,,Democratic,Barack Obama Joe Biden,139.0,151.0,290.0
Black Hawk,CF W2 P1,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Black Hawk,CF W2 P1,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,11.0,13.0
Black Hawk,CF W2 P1,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,,Write-In,0.0,4.0,4.0
Black Hawk,CF W2 P1,President/Vice President,,,Under Votes,0.0,0.0,0.0
Black Hawk,CF W2 P1,President/Vice President,,,Over Votes,0.0,0.0,0.0
Black Hawk,CF W2 P2 & CF Twp,President/Vice President,,Republican,Mitt Romney Paul Ryan,353.0,455.0,808.0
Black Hawk,CF W2 P2 & CF Twp,President/Vice President,,Democratic,Barack Obama Joe Biden,473.0,380.0,853.0
Black Hawk,CF W2 P2 & CF Twp,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,4.0,4.0
Black Hawk,CF W2 P2 & CF Twp,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,3.0,3.0,6.0
