county,precinct,office,district,party,candidate,absentee,election_date,votes
Union,Afton Methodist Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,124.0,227.0,351.0
Union,Afton Methodist Church,President/Vice President,,Democratic,Barack Obama Joe Biden,172.0,231.0,403.0
Union,Afton Methodist Church,President/Vice President,,Constitution,Virgil Goode James Clymer,3.0,1.0,4.0
Union,Afton Methodist Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Union,Afton Methodist Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,4.0,3.0,7.0
Union,Afton Methodist Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Union,Afton Methodist Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Union,Afton Methodist Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,2.0,3.0
Union,Afton Methodist Church,President/Vice President,,,Write-In,3.0,3.0,6.0
Union,Afton Methodist Church,President/Vice President,,,Under Votes,3.0,1.0,4.0
Union,Afton Methodist Church,President/Vice President,,,Over Votes,0.0,0.0,0.0
Union,Arispe Methodist Church,President/Vice President,,Republican,Mitt Romney Paul Ryan,64.0,90.0,154.0
Union,Arispe Methodist Church,President/Vice President,,Democratic,Barack Obama Joe Biden,40.0,61.0,101.0
Union,Arispe Methodist Church,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,0.0,2.0
Union,Arispe Methodist Church,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Union,Arispe Methodist Church,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,3.0,3.0
Union,Arispe Methodist Church,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Union,Arispe Methodist Church,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Union,Arispe Methodist Church,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Union,Arispe Methodist Church,President/Vice President,,,Write-In,0.0,0.0,0.0
